AU,year,title,journal,citations,DOI link
"Kharmanda, G|Olhoff, N|Mohamed, A|Lemaire, M",2004,Reliability-based topology optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,148,https://dx.doi.org/10.1007/s00158-003-0322-7
"Gersborg-Hansen, A|Sigmund, O|Haber, RB",2005,Topology optimization of channel flow problems,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,130,https://dx.doi.org/10.1007/s00158-004-0508-7
"Gersborg-Hansen, A|Bendsoe, MP|Sigmund, O",2006,Topology optimization of heat conduction problems using the finite volume method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,117,https://dx.doi.org/10.1007/s00158-005-0584-3
"Zhang, XS|Srinivasan, R|Bosch, D",2009,Calibration and uncertainty analysis of the SWAT model using Genetic Algorithms and Bayesian Model Averaging,JOURNAL OF HYDROLOGY,113,https://dx.doi.org/10.1016/j.jhydrol.2009.06.023
"Gunawan, S|Azarm, S",2005,Multi-objective robust optimization using a sensitivity region concept,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,104,https://dx.doi.org/10.1007/s00158-004-0450-8
"Ma, X|Zabaras, N",2010,An adaptive high-dimensional stochastic model representation technique for the solution of stochastic partial differential equations,JOURNAL OF COMPUTATIONAL PHYSICS,98,https://dx.doi.org/10.1016/j.jcp.2010.01.033
"Takezawa, A|Nishiwaki, S|Kitamura, M",2010,Shape and topology optimization based on the phase field method and sensitivity analysis,JOURNAL OF COMPUTATIONAL PHYSICS,97,https://dx.doi.org/10.1016/j.jcp.2009.12.017
"Doostan, A|Ghanem, RG|Red-Horse, J",2007,Stochastic model reduction for chaos representations,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,96,https://dx.doi.org/10.1016/j.cma.2006.10.047
"Sieber, A|Uhlenbrook, S",2005,Sensitivity analyses of a distributed catchment model to verify the model structure,JOURNAL OF HYDROLOGY,94,https://dx.doi.org/10.1016/j.jhydrol.2005.01.004
"Kang, Z|Luo, YJ",2009,Non-probabilistic reliability-based topology optimization of geometrically nonlinear structures using convex models,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,92,https://dx.doi.org/10.1016/j.cma.2009.06.001
"Eckhardt, K|Breuer, L|Frede, HG",2003,Parameter uncertainty and the significance of simulated land use change effects,JOURNAL OF HYDROLOGY,91,https://dx.doi.org/10.1016/S0022-1694(02)00395-5
"Lee, SH|Chen, W",2009,A comparative study of uncertainty propagation methods for black-box-type problems,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,89,https://dx.doi.org/10.1007/s00158-008-0234-7
"Espinosa, HD|Dwivedi, S|Lu, HC",2000,Modeling impact induced delamination of woven fiber reinforced composites with contact/cohesive laws,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,88,https://dx.doi.org/10.1016/S0045-7825(99)00222-4
"Zou, T|Mahadevan, S",2006,A direct decoupling approach for efficient reliability-based design optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,88,https://dx.doi.org/10.1007/s00158-005-0572-7
"Georgakakos, KP",2006,Analytical results for operational flash flood guidance,JOURNAL OF HYDROLOGY,88,https://dx.doi.org/10.1016/j.jhydrol.2005.05.009
"Youn, BD|Choi, KK|Du, L",2005,Adaptive probability analysis using an enhanced hybrid mean value method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,86,https://dx.doi.org/10.1007/s00158-004-0452-6
"Strauch, M|Bernhofer, C|Koide, S|Volk, M|Lorz, C|Makeschin, F",2012,Using precipitation data ensemble for uncertainty analysis in SWAT streamflow simulation,JOURNAL OF HYDROLOGY,82,https://dx.doi.org/10.1016/j.jhydrol.2011.11.014
"Guo, J|Du, XP",2009,Reliability sensitivity analysis with random and interval variables,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,72,https://dx.doi.org/10.1002/nme.2543
"Doostan, A|Iaccarino, G",2009,A least-squares approximation of partial differential equations with high-dimensional random inputs,JOURNAL OF COMPUTATIONAL PHYSICS,71,https://dx.doi.org/10.1016/j.jcp.2009.03.006
"Galbally, D|Fidkowski, K|Willcox, K|Ghattas, O",2010,Non-linear model reduction for uncertainty quantification in large-scale inverse problems,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,67,https://dx.doi.org/10.1002/nme.2746
"Beran, PS|Pettit, CL|Millman, DR",2006,Uncertainty quantification of limit-cycle oscillations,JOURNAL OF COMPUTATIONAL PHYSICS,64,https://dx.doi.org/10.1016/j.jcp.2006.03.038
"Wang, YQ|Luo, Z|Kang, Z|Zhang, N",2015,A multi-material level set-based topology and shape optimization method,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,63,https://dx.doi.org/10.1016/j.cma.2014.11.002
"Bonnet, M|Guzina, BB",2004,Sounding of finite solid bodies by way of topological derivative,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,63,https://dx.doi.org/10.1002/nme.1153
"Hu, C|Youn, BD",2011,Adaptive-sparse polynomial chaos expansion for reliability analysis and design of complex engineering systems,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,62,https://dx.doi.org/10.1007/s00158-010-0568-9
"Jin, BT|Marin, L",2007,The method of fundamental solutions for inverse source problems associated with the steady-state heat conduction,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,60,https://dx.doi.org/10.1002/nme.1826
"Sinha, K",2007,Reliability-based multiobjective optimization for automotive crashworthiness and occupant safety,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,58,https://dx.doi.org/10.1007/s00158-006-0050-x
"Graham, IG|Kuo, FY|Nuyens, D|Scheichl, R|Sloan, IH",2011,Quasi-Monte Carlo methods for elliptic PDEs with random coefficients and applications,JOURNAL OF COMPUTATIONAL PHYSICS,57,https://dx.doi.org/10.1016/j.jcp.2011.01.023
"Yoon, GH|Kim, YY|Bendsoe, MP|Sigmund, O",2004,Hinge-free topology optimization with embedded translation-invariant differentiable wavelet shrinkage,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,57,https://dx.doi.org/10.1007/s00158-004-0378-z
"Mignolet, MP|Soize, C",2008,Stochastic reduced order models for uncertain geometrically nonlinear dynamical systems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,57,https://dx.doi.org/10.1016/j.cma.2008.03.032
"Rahman, S",2008,A polynomial dimensional decomposition for stochastic computing,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,57,https://dx.doi.org/10.1002/nme.2394
"Najm, HN|Debusschere, BJ|Marzouk, YA|Widmer, S|Le Maitre, OP",2009,Uncertainty quantification in chemical systems,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,53,https://dx.doi.org/10.1002/nme.2551
"Poette, G|Despres, B|Lucor, D",2009,Uncertainty quantification for systems of conservation laws,JOURNAL OF COMPUTATIONAL PHYSICS,53,https://dx.doi.org/10.1016/j.jcp.2008.12.018
"Luo, Z|Tong, LY",2008,A level set method for shape and topology optimization of large-displacement compliant mechanisms,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,50,https://dx.doi.org/10.1002/nme.2352
"Novotny, AA|Feijoo, RA|TaroCo, E|Padra, C",2007,Topological sensitivity analysis for three-dimensional linear elasticity problem,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,50,https://dx.doi.org/10.1016/j.cma.2007.05.006
"Keaveny, EE|Maxey, MR",2008,Modeling the magnetic interactions between paramagnetic beads in magnetorheological fluids,JOURNAL OF COMPUTATIONAL PHYSICS,48,https://dx.doi.org/10.1016/j.jcp.2008.07.008
"Soize, C",2010,Identification of high-dimension polynomial chaos expansions with random coefficients for non-Gaussian tensor-valued random fields using partial and limited experimental data,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,48,https://dx.doi.org/10.1016/j.cma.2010.03.013
"Kiendl, J|Schmidt, R|Wuchner, R|Bletzinger, KU",2014,Isogeometric shape optimization of shells using semi-analytical sensitivity analysis and sensitivity weighting,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,47,https://dx.doi.org/10.1016/j.cma.2014.02.001
"Jensen, HA|Valdebenito, MA|Schueller, GI|Kusanovic, DS",2009,Reliability-based optimization of stochastic systems using line search,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,45,https://dx.doi.org/10.1016/j.cma.2009.08.016
"Kim, YI|Park, GJ",2010,Nonlinear dynamic response structural optimization using equivalent static loads,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,44,https://dx.doi.org/10.1016/j.cma.2009.10.014
"Hiriyur, B|Waisman, H|Deodatis, G",2011,Uncertainty quantification in homogenization of heterogeneous microstructures modeled by XFEM,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,42,https://dx.doi.org/10.1002/nme.3174
