,year,title,copyright,AU,SO
478,2002,Sensitivity analysis of a soil leachability model for petroleum fate and transport in the vadose zone, (C) 2002 Elsevier Science Ltd. All rights reserved.,"Gribb, MM|Bene, KJ|Shrader, A",ADVANCES IN ENVIRONMENTAL RESEARCH
480,2016,Conditional VAR and Expected Shortfall: A New Functional Approach,,"Ferraty, F|Quintela-del-Rio, A",ECONOMETRIC REVIEWS
484,2006,Lung cancer risk among former uranium miners of the WISMUT Company in Germany,,"Bruske-Hohlfeld, I|Rosario, AS|Wolke, G|Heinrich, J|Kreuzer, M|Kreienbrock, L|Wichmann, HE",HEALTH PHYSICS
489,2004,Sensitivity and uncertainty analysis for river quality modelling,,"Radwan, M|Willems, P|Berlamont, J",JOURNAL OF HYDROINFORMATICS
498,2017,Improving the effectiveness of aid: an evaluation of prospective Mekong irrigation investments,,"Kandulu, JM|Connor, JD",INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT
500,2004,Parameterised inventories for life cycle assessment - Systematically relating design parameters to the life cycle inventory,,"Mueller, KG|Lamperth, MU|Kimura, F",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
510,2017,An integrated framework for sustainable supplier selection and evaluation in supply chains, Elsevier Ltd. All rights reserved.,"Luthra, S|Govindan, K|Kannan, D|Mangla, SK|Garg, CP",JOURNAL OF CLEANER PRODUCTION
514,2011,SBML-PET-MPI: a parallel parameter estimation tool for Systems Biology Markup Language based models,,"Zi, ZK",BIOINFORMATICS
519,2017,Uncertainty Quantification for the Horseshoe (with Discussion) comment,,"Belitser, E|Nurushev, N",BAYESIAN ANALYSIS
532,2012,"INVESTIGATION ON THE DYNAMIC ENVIRONMENTAL BEHAVIOUR OF PETROLEUM-DERIVED POLYCYCLIC AROMATIC HYDROCARBONS IN AN OILFIELD, CHINA",,"Li, Y|Hu, Y|Du, XY|Wang, Y",FRESENIUS ENVIRONMENTAL BULLETIN
545,2017,Eco-efficiency assessment of coal-fired combined heat and power plants in Chinese eco-industrial parks, Elsevier Ltd. All rights reserved.,"Guo, Y|Liu, W|Tian, JP|He, RA|Che, LJ",JOURNAL OF CLEANER PRODUCTION
554,2009,Toxicity of pulp and paper solid organic waste constituents to soil organisms, Elsevier Ltd. All rights reserved.,"Fraser, DS|O'Halloran, K|van den Heuvel, MR",CHEMOSPHERE
566,2012,Estimating the effect of a variable in a high-dimensional linear model,,"Jensen, PS|Wurtz, AH",ECONOMETRICS JOURNAL
568,2017,"Smart K-d-values, their uncertainties and sensitivities - Applying a new approach for realistic distribution coefficients in geochemical modeling of complex systems", Elsevier Ltd. All rights reserved.,"Stockmann, M|Schikora, J|Becker, DA|Flugge, J|Noseck, U|Brendler, V",CHEMOSPHERE
594,2017,The Life Cycle Assessment of an Energy-Positive Peri-Urban Residence in a Tropical Regime,,"Bukoski, JJ|Chaiwiwatworakul, P|Gheewala, SH",JOURNAL OF INDUSTRIAL ECOLOGY
596,2000,The algorithm for recognition of subsurface cracks,,"Gawrylczyk, KM",COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING
604,2003,On deriving and validating comparative statics of a symmetric model of advertising competition,,"Mesak, HI",COMPUTERS & OPERATIONS RESEARCH
632,2008,The simulation of gene knock-out in scale-free random Boolean models of genetic networks,,"Serra, R|Villani, M|Graudenzi, A|Colacci, A|Kauffman, SA",NETWORKS AND HETEROGENEOUS MEDIA
646,2016,Application of continuous normal-lognormal bivariate density functions in a sensitivity analysis of municipal solid waste landfill, Elsevier Ltd. All rights reserved.,"Petrovic, I|Hip, I|Fredlund, MD",WASTE MANAGEMENT
669,2014,Formalization of a technical procedure for process ecodesign dedicated to drinking water treatment plants, Elsevier Ltd. All rights reserved.,"Mery, Y|Tiruta-Barna, L|Baudin, I|Benetto, E|Igos, E",JOURNAL OF CLEANER PRODUCTION
673,2017,Life cycle energy and costs of sprawling and compact neighborhoods,,"Sosa, RO|Espinoza, AH|Royo, MG|Galvez, DM",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
686,2016,LCA and LCC of the world's longest pier: a case study on nickel-containing stainless steel rebar,,"Mistry, M|Koffler, C|Wong, S",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
688,2011,Multi-object segmentation approach based on topological derivative and level set method,,"Machado, DA|Giraldi, G|Novotny, AA",INTEGRATED COMPUTER-AIDED ENGINEERING
694,2011,Logical models for the propagation of disparate information and uncertainty across effectivity trees,,"Ross, T|Taha, MR|Kim, JJ|Gilfeather, F",INTEGRATED COMPUTER-AIDED ENGINEERING
699,2015,Strategies for adaptive optimization with aggregation constraints using interior-point methods, Elsevier Ltd. All rights reserved.,"Kennedy, GJ",COMPUTERS & STRUCTURES
712,2017,A carbon efficiency evaluation method for manufacturing process chain decision-making, Elsevier Ltd. All rights reserved.,"Zhu, S|Jiang, ZG|Zhang, H|Tian, GD|Wang, YN",JOURNAL OF CLEANER PRODUCTION
727,2017,Environmental and energy assessment of the substitution of chemical fertilizers for industrial wastes of ethanol production in sugarcane cultivation in Brazil,,"Moore, CCS|Nogueira, AR|Kulay, L",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
740,2017,Investigating multi-regional cross-industrial linkage based on sustainability assessment and sensitivity analysis: A case of construction industry in China, Elsevier Ltd. All rights reserved.,"Yan, JN|Zhao, T|Lin, T|Li, YJ",JOURNAL OF CLEANER PRODUCTION
750,2015,Life cycle assessment of fast pyrolysis of municipal solid waste in North Carolina of USA, Elsevier Ltd. All rights reserved.,"Wang, H|Wang, LJ|Shahbazi, A",JOURNAL OF CLEANER PRODUCTION
753,2006,A generic multi-attribute analysis system, Elsevier Ltd. All rights reserved.,"Jimenez, A|Rios-Insua, S|Mateos, A",COMPUTERS & OPERATIONS RESEARCH
759,2011,Optimal production planning for a multi-product closed loop system with uncertain demand and return, Elsevier Ltd. All rights reserved.,"Shi, JM|Zhang, GQ|Sha, JC",COMPUTERS & OPERATIONS RESEARCH
769,2015,Global warming potential of hydrogen and methane production from renewable electricity via power-to-gas technology,,"Reiter, G|Lindorfer, J",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
782,2003,Bootstrap approach to inference and power analysis based on three test statistics for covariance structure models,,"Yuan, KH|Hayashi, K",BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY
788,2013,Comparative streamlined life cycle assessment for two types of municipal solid waste incinerator, Elsevier Ltd. All rights reserved.,"Ning, SK|Chang, NB|Hung, MC",JOURNAL OF CLEANER PRODUCTION
796,2010,Effects of different infiltration models on the simulation of extreme events in headwater catchments,,"Ludwig, K|Moretti, G|Verzano, K",HYDROLOGIE UND WASSERBEWIRTSCHAFTUNG
798,2004,Impact of within-field variability in soil hydraulic properties on transpiration fluxes and crop yields: A numerical study,,"Hupet, F|van Dam, JC|Vanclooster, M",VADOSE ZONE JOURNAL
801,2017,A quadratic manifold for model order reduction of nonlinear structural dynamics, Elsevier Ltd. All rights reserved.,"Jain, S|Tiso, P|Rutzmoser, JB|Rixen, DJ",COMPUTERS & STRUCTURES
814,2014,"A Cost-Benefit Analysis of Indigenous Soil and Water Conservation Measures in Sikkim Himalaya, India",,"Mishra, PK|Rai, SC",MOUNTAIN RESEARCH AND DEVELOPMENT
839,2012,Effective Parameter Predictions in Metals Transport from the Zanjan Zinc Mine Tailings using PHREEQC,,"Damuchali, AM|Asadollahfardi, G|Khodadadi, A",MINE WATER AND THE ENVIRONMENT
842,2003,Evaluating uncertainties in regional photochemicalair quality modeling,,"Fine, J|Vuilleumier, L|Reynolds, S|Roth, P|Brown, N",ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES
858,2005,The dynamics of bilateral exchange and division of labor,,"Hausken, K|Moxnes, JF",INTERNATIONAL JOURNAL OF MODERN PHYSICS C
862,2015,Multi-source capacitated lot-sizing for economically viable and clean biofuel production, Elsevier Ltd. All rights reserved.,"Kantas, AB|Cobuloglu, HI|Buyuktahtakin, IE",JOURNAL OF CLEANER PRODUCTION
868,2005,Optimization of fully coupled interaction electrostatic-fluid-structure problems, Elsevier Ltd. All rights reserved.,"Raulli, M|Maute, K",COMPUTERS & STRUCTURES
875,2011,Economic-balance hybrid LCA extended with uncertainty analysis: case study of a laptop computer, Elsevier Ltd. All rights reserved.,"Deng, LQ|Babbitt, CW|Williams, ED",JOURNAL OF CLEANER PRODUCTION
877,2011,A unified approach to nonlinear buckling optimization of composite structures, Elsevier Ltd. All rights reserved.,"Lindgaard, E|Lund, E",COMPUTERS & STRUCTURES
881,2017,Developing a robust assessment system for the passive design approach in the green building rating scheme of Hong Kong, Elsevier Ltd. All rights reserved.,"Chen, X|Yang, HX|Wang, T",JOURNAL OF CLEANER PRODUCTION
883,2017,Environmental benefits of coatings based on nano-tungsten-carbide cobalt ceramics, Elsevier Ltd. All rights reserved.,"Wigger, H|Steinfeldt, M|Bianchin, A",JOURNAL OF CLEANER PRODUCTION
884,2000,An educational tool to illustrate cost-effectiveness in diagnostic pathways for - Coronary artery disease,,"Jacklin, PB|West, PA|Sariklis, D|Beech, R|Maisey, MN",M D COMPUTING
889,2002,Sensitivity analysis and optimization of truss/beam components of arbitrary cross-section II. Shear stresses, (C) 2002 Elsevier Science Ltd. All rights reserved.,"Apostol, V|Santos, JLT|Paiva, M",COMPUTERS & STRUCTURES
898,2011,Optimal time-consistent investment and reinsurance policies for mean-variance insurers, (C) 2011 Elsevier B.V. All rights reserved.,"Zeng, Y|Li, ZF",INSURANCE MATHEMATICS & ECONOMICS
911,2014,Average Heights in Partially Ordered Sets,,"Bruggemann, R|Annoni, P",MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY
917,2005,Sensitivity analysis of the CERES-wheat model for variations in CO2 and meteorological factors in Northwest Turkey,,"Caldag, B|Saylan, L",INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION
922,2014,A life cycle assessment of packaging options for contrast media delivery: comparing polymer bottle vs. glass bottle,,"Dhaliwal, H|Browne, M|Flanagan, W|Laurin, L|Hamilton, M",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
927,2012,Pressurized fluidized bed combustion and gasification based of a combined cycle power generation system: application for Turkish lignite,,"Atilgan, I",ENERGY EDUCATION SCIENCE AND TECHNOLOGY PART A-ENERGY SCIENCE AND RESEARCH
956,2016,GSA-Lightning: ultra-fast permutation-based gene set analysis,,"Chang, BHW|Tian, WD",BIOINFORMATICS
964,2013,Land use impacts on biodiversity in LCA: proposal of characterization factors based on functional diversity,,"Souza, DM|Flynn, DFB|DeClerck, F|Rosenbaum, RK|Lisboa, HD|Koellner, T",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
971,2017,Site selection of photovoltaic power plants in a value chain based on grey cumulative prospect theory for sustainability: A case study in Northwest China, Elsevier Ltd. All rights reserved.,"Liu, JC|Xu, FQ|Lin, SS",JOURNAL OF CLEANER PRODUCTION
972,2017,Singular path-independent energy integrals for elastic bodies with Euler-Bernoulli inclusions,,"Khludnev, AM|Shcherbakov, VV",MATHEMATICS AND MECHANICS OF SOLIDS
986,2011,Characterisation and applications of synthesised cation exchanger guar gum sulphonic acid (GSA) resin for removal and recovery of toxic metal ions from industrial wastewater,,"Singh, AV|Sharma, NK",WATER SA
987,2017,Life cycle assessment of biodiesel production from beef tallow in Brazil,,"Sousa, VMZ|Luz, SM|Caldeira-Pires, A|Machado, FS|Silveira, CM",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
997,2012,Why 'GSA: a gravitational search algorithm' is not genuinely based on the law of gravity,,"Gauci, M|Dodd, TJ|Gross, R",NATURAL COMPUTING
999,2013,SENSITIVITY ANALYSIS FOR STUDYING THE RELATION BETWEEN BIOCHEMICAL REACTIONS AND METABOLIC PHENOTYPES,,"Maj, C|Mosca, E|Merelli, I|Mauri, G|Milanesi, L",JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY
1000,2004,A behavioral model of landscape change in the Amazon Basin: The colonist case,,"Walker, R|Drzyzga, SA|Li, YL|Qi, JG|Caldas, M|Arima, E|Vergara, D",ECOLOGICAL APPLICATIONS
1011,2017,Hepatotoxicity and proteomic mechanism of Di-n-butyl-di-(4-chlorobenzohydroxamato)tin(IV) (DBDCT) in vivo, (C) 2017 Elsevier B.V. All rights reserved.,"Tang, L|Luo, JR|Li, YL|Ge, R|Li, QS",ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY
1012,2017,Energy and environmental life cycle assessment of a high concentration photovoltaic power plant in Morocco,,"Corona, B|Escudero, L|Quemere, G|Luque-Heredia, I|San Miguel, G",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
1015,2017,Life-cycle assessment of the soybean-sunflower production system in the Brazilian Cerrado,,"Matsuura, MISF|Dias, FRT|Picoli, JF|Lucas, KRG|de Castro, C|Hirakuri, MH",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
1021,2016,Estimating land transformation area caused by nickel mining considering regional variation,,"Tang, LL|Nakajima, K|Murakami, S|Itsubo, N|Matsuda, T",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
1034,2009,The use of uncertainty analysis as a food waste estimation tool,,"Langley, J|Yoxall, A|Manson, G|Lewis, W|Waterhouse, A|Thelwall, D|Thelwall, S|Parry, A|Leech, B",WASTE MANAGEMENT & RESEARCH
1042,2009,Risk aversion and the dynamics of optimal liquidation strategies in illiquid markets,,"Schied, A|Schoneborn, T",FINANCE AND STOCHASTICS
1043,2002,Shape optimization with hybrid-Trefftz displacement elements," Copyright (C) 2001 John Wiley & Sons, Ltd.","de Freitas, JA|Cismasiu, I",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING
1044,2005,Optimal design for sustainable development of a material recovery facility in a fast-growing urban setting, Elsevier Ltd. All rights reserved.,"Chang, NB|Davila, E|Dyson, B|Brown, R",WASTE MANAGEMENT
1056,2005,Truss optimization on shape and sizing with frequency constraints based on genetic algorithm,,"Wei, LY|Zhao, M|Wu, GM|Meng, G",COMPUTATIONAL MECHANICS
1059,2006,Including human health damages due to road traffic in life cycle assessment of dwellings,,"Meijer, A|Huijbregts, MAJ|Hertwich, E|Reijnders, L",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
1076,2001,"Impacts of urbanization on surface hydrology, Little Eagle Creek, Indiana, and analysis of LTHIA model sensitivity to data resolution",,"Grove, M|Harbor, J|Engel, B|Muthukrishnan, S",PHYSICAL GEOGRAPHY
1081,2008,On variational sensitivity analysis and configurational mechanics,,"Materna, D|Barthold, FJ",COMPUTATIONAL MECHANICS
