relevant,DOI,title,1,2,3,4,5
Yes,10.1016/j.rse.2017.06.007,Estimates of plant density of wheat crops at emergence from very low altitude UAV imagery (2017),"Further, a specific sensitivity analysis shows that the ground resolution of the images should be better than .",The application of the method on the  samples available over the three sites provides a RMSE and relative RMSE on estimates of .,Agisoft photoscan software was then used to derive the position of the cameras for each image.,The current limits and possible improvements of the method proposed are finally discussed.,Images were then projected on the ground surface to finally extract subsamples used to estimate the plant density.
No,10.1111/j.1523-1739.2006.00625.x,The boundary-quality penalty: a quantitative method for approximating species responses to fragmentation in reserve selection (2007),"The BQP can be estimated for any habitat model that includes neighborhood (connectivity) effects, and it can be introduced into reserve selection software in a standardized manner We used the BQP in a reserve-design case study of the Hunter Valley of southeastern Australia.","We implemented the BQP in the context of the Zonation method, but it could as well be implemented into any other spatially explicit reserve-planning framework.","Therefore, many reserve-design methods use qualitative heuristics, such as distance-based criteria or boundary-length penalties to induce reserve aggregation.",We devised a quantitative method that introduces aggregation into reserve networks.,
?,10.1007/s12665-016-6025-3,"Gulf war contamination assessment for optimal monitoring and remediation cost-benefit analysis, Kuwait (2016)","Also, new sampling locations were determined for further detailed site assessments based on the confidence and uncertainty analysis, which is more defensible and cost-optimized approach.",Advanced data analysis and visualization software (EVS-Pro) was used for groundwater contamination assessment analytes: total petroleum hydrocarbon (TPH) and total dissolved solids (TDS).,Site characterization was performed on an area of  km() around the strategically vital freshwater aquifers of the Al-Rawdhatain and Umm Al-Aish to assess the status of groundwater pollution as the result of Iraq invasion to Kuwait in .,"x () for the plume volumes and masses (dollars per volume and mass), respectively.",This will reduce the number of samples needed (saves time and money) and provide a superior assessment of the analytes distribution.
Yes - NEFCLASS-J,10.1016/j.jhydrol.2004.11.010,Applicability of neuro-fuzzy techniques in predicting ground-water vulnerability: a GIS-based sensitivity analysis (2005),The neuro-fuzzy models were developed using NEFCLASS-J software on a JAVA platform and were loosely integrated with a GIS.,The overall objective of this research is to examine the sensitivity of neuro-fuzzy models used to predict groundwater vulnerability in a spatial context by integrating GIS and neuro-fuzzy techniques.,"The sensitivity analysis showed that neuro-fuzzy models were sensitive to the shape of the fuzzy sets, number of fuzzy sets, nature of the rule weights, and validation techniques used during the learning processes.","However, few of these research studies have undertaken an extensive sensitivity analysis.","The specific objectives are to assess the sensitivity of neuro-fuzzy models in a spatial domain using GIS by varying (i) shape of the fuzzy sets, (ii) number of fuzzy sets, and (iii) learning and validation parameters (including rule weights)."
No (not related to environment),10.1155/2017/6825079,Numerical Study of the Performance and Emission of a Diesel-Syngas Dual Fuel Engine (2017),The Chemkin software with the detailed mechanism was utilized to calculate the effect of syngas addition on the combustion characteristics of diesel combustion.,"Based on the theory of direct relation graph (DRG) and the sensitivity analysis, a reduced mechanism for the diesel-syngas dual fuel was constructed.","According to the framework of the skeletal mechanism, the time-consuming approach of sensitivity analysis was employed for further simplification, and the skeletal mechanism was further reduced to the size of  elements and  reactions.",The D model was adopted to study the effect of syngas addition on the performance and exhaust emissions of the engine and the relevant data of the experiment was used in the calibration of the D model.,"Based on the reduced mechanism and engine parameters, a D model of the engine was constructed with the Forte code."
Yes - SGeMS,10.5194/hess-17-3245-2013,Analyzing the effects of geological and parameter uncertainty on prediction of groundwater head and travel time (2013),"Uncertainty of groundwater model predictions has in the past mostly been related to uncertainty in the hydraulic parameters, whereas uncertainty in the geological structure has not been considered to the same extent.",The analysis documented that the uncertainty on the conceptual geological model was as significant as the uncertainty related to the embedded hydraulic parameters.,Recent developments in theoretical methods for quantifying geological uncertainty have made it possible to consider this factor in groundwater modeling.,In this study we have applied the multiple-point geostatistical method (MPS) integrated in the Stanford Geostatistical Modeling Software (SGeMS) for exploring the impact of geological uncertainty on groundwater flow patterns for a site in Denmark.,The uncertainty analysis was carried out in three scenarios involving simulation of groundwater head distribution and travel time.
No,10.1007/s11270-012-1098-4,Numerical Modelling of Waste Stabilization Ponds: Where Do We Stand? (2012),"Models are compared by focussing on their key features like the presence and comprehensiveness of a water quality sub-model in terms of aerobic/anoxic and anaerobic carbon removal and nutrient removal; the type of hydraulic sub-model used (D, D, D or D); the software used for implementation and simulation; and whether or not sensitivity analysis, calibration and validation were done.","In spite of its relative simplicity of design, operation and maintenance, the various processes taking place in WSP have not been entirely quantified.",This paper aims at filling this gap.,"Furthermore, it is evident from the review of the different models that calibration and validation with full-scale WSP data is also scarce.","Lately, modelling has served as an important, low-cost tool for a better description and an improved understanding of the system."
No (not related to environment),10.1016/j.apm.2010.02.035,"Reducing lost-sales rate in (T,R,L) inventory model with controllable lead time (2010)",Two computational algorithms with the help of the software Matlab are furnished to determine the optimal solution.,"In addition, six numerical examples and sensitivity analysis are presented to illustrate the theoretical results and obtain some managerial insights.","Finally, the effect of lost-sales rate reduction is investigated.","By framing this new model, we observe that a significant amount of savings can be easily achieved to increase the competitive edge in business.","Moreover, we assume that the lost-sales rate can also be reduced by capital investment."
No (not related to environment),10.1016/j.asoc.2016.06.042,Identifying critical architectural components with spectral analysis of fault trees (2016),Increasing size and complexity of these hardware/software systems makes it necessary to evaluate reliability at the system architecture level.,We increasingly rely on software-intensive embedded systems.,"One aspect of this evaluation is sensitivity analysis, which aims at identifying critical components of the architecture.","In this paper, we propose a novel approach for sensitivity analysis based on spectral analysis of fault trees.",
No (not related to environment),10.1016/j.buildenv.2008.11.012,Artificial neural networks to predict daylight illuminance in office buildings (2009),The model was then subjected to sensitivity analysis to determine the relationship between the input and output variables.,Illuminance was used as the output variable.,A prediction model was developed to determine daylight illuminance for the office buildings by using artificial neural networks (ANNs).,"In ANN modeling, the data were divided into two groups; the first  of these data sets were used for training and the remaining  for testing.",Researchers and designers will benefit from this model in daylighting performance assessment of buildings by making predictions and comparisons and in the daylighting design process by determining illuminance.
Yes,10.1016/j.cageo.2016.08.007,On ISSM and leveraging the Cloud towards faster quantification of the uncertainty in ice-sheet mass balance projections (2016),"We demonstrate how this approach was used to carry out an extensive analysis of ice-flow projections on one of the largest basins in Greenland, the North-East Greenland Glacier, using the Ice Sheet System Model, the public-domain NASA-funded ice-flow modeling software.","We show how errors in the projections were accurately quantified using Monte-Carlo sampling analysis on the EC Cloud, and how a judicious mix of high-end parallel computing and Cloud use can best leverage existing infrastructures, and significantly accelerate delivery of potentially ground-breaking climate projections, and in particular, enable uncertainty quantification that were previously impossible to achieve.","Among specific applications of this new paradigm, we show here how uncertainty quantification in climate projections of polar ice sheets (Antarctica and Greenland) can be significantly accelerated using the Cloud.","Indeed, small-sized clusters are very efficient at delivering sensitivity and sampling analysis, core tools of uncertainty quantification.","In particular, faced with long wait periods on high-end clusters, the elasticity of the Cloud presents a unique opportunity of potentially ""infinite"" availability of small-sized clusters running on high-performance instances."
?,10.1007/s10596-017-9646-z,Bayesian inference of earthquake parameters from buoy data using a polynomial chaos-based surrogate (2017),"The tsunami numerical model is based on the GeoClaw software while the observational data is provided by a single DARTa""c buoy.","Finally, the construction of a reduced model dedicated to Bayesian inference is proposed.","This work addresses the estimation of the parameters of an earthquake model by the consequent tsunami, with an application to the Chile  event.","Second, the polynomial chaos model is subsequently improved to handle the variability of the arrival time of the wave, using a preconditioned non-intrusive spectral method.",We propose in this paper a methodology based on polynomial chaos expansion to construct a surrogate model of the wave height at the buoy location.
No,10.1016/j.envsoft.2015.05.007,"Individual-based modeling of soil organic matter in NetLogo: Transparent, user-friendly, and open (2015)","It was implemented in NetLogo, a widely used and easily accessible software platform especially designed for individual-based simulation models.","Here, we present a streamlined, user-friendly and open version of the individual-based model INDISIM-SOM, which describes the mineralization of soil carbon and nitrogen.",Most of the involved processes are driven by microorganisms.,,
Yes - FReET,10.1016/j.advengsoft.2013.06.011,FReET: Software for the statistical and reliability analysis of engineering problems and FReET-D: Degradation module (2014),Some of the interesting applications of the software are referenced in the paper.,"FReET-D software is capable of performing degradation modeling, in which a large number of reinforced concrete degradation models can be utilized under the main FReET software engine.","The objective of the paper is to present methods and software for the efficient statistical, sensitivity and reliability assessment of engineering problems.",The paper continues with a brief description of the user-friendly implementation of the theory within FReET commercial multipurpose reliability software.,Statistical correlation is imposed by the stochastic optimization technique - simulated annealing.
No,10.1007/s00477-014-1004-2,Estimation of evapotranspiration from ground-based meteorological data and global land data assimilation system (GLDAS) (2015),"Comparison of the ETref gathered from observation and GLDAS revealed that both of them showed similar seasonal variation, although ETref calculated from GLDAS were underestimated.","Results showed that the Penman (Proc R Soc Lond Ser A Math Phys Sci :-, ) FAO- Penman-Monteith,  Kpen equation (combination equations), the  Makkink, Priestley-Taylor equation (radiation based equation), and the  Hargreaves equation had a good overall rank.","In this study,  different equations provided in the Reference Evapotranspiration Calculator Software (REF-ET) were utilized for estimating ETref with GLDAS and point scale data collected at  observation sites in the Korean Peninsula during .","Using the six selected equations, seasonal analysis was conducted and evaluated using the bias and RMSE.",
No,10.1016/j.cej.2015.12.075,Prediction of fixed-bed breakthrough curves for H2S adsorption from biogas: Importance of axial dispersion for design (2016),"The comparison between the present and previous models, as well as a sensitivity analysis of the model and operational parameters, revealed that the overall mass transfer coefficient is usually underestimated when axial dispersion is neglected in a scale-up from lab scale, and hence, the importance of axial dispersion for design purposes of HS fixed-bed adsorption.",The model was implemented and solved numerically by Comsol Multiphysics software.,An axially dispersed plug flow model with non-linear isotherm based on the linear driving force (LDF) approximation was used to predict the fixed-bed breakthrough curves for HS adsorption from biogas on sewage sludge thermally treated.,,
Yes - R,10.1016/j.jhydrol.2016.03.061,Operational snow mapping with simplified data assimilation using the seNorge snow model (2016),"The model and analysis codes as well as the ""R"" statistical software are freely available.","The steps of the data assimilation procedure (evaluation, sensitivity analysis, optimization) and their contribution to significantly increased accuracy of the snow maps are demonstrated with a case from eastern Norway in winter /.","In this paper the revised seNorge snow model (v...) for snow mapping is described, and a simplified data assimilation procedure is introduced to correct detected snow model biases in near real-time.",The data assimilation procedure is theoretically based on the Bayesian updating paradigm and is meant to be pragmatic with modest computational and input data requirements.,"Frequently updated maps of snow conditions are useful for many applications, e.g., for avalanche and flood forecasting services, hydropower energy situation analysis, as well as for the general public."
No,10.1046/j.1523-1739.2002.99419.x,Emerging issues in population viability analysis (2002),"As model sophistication increases, and software programs that facilitate PVA without the need for modeling expertise become more available, there is greater potential for the misuse of models and increased confusion over interpreting their results.","We review extant issues that have become prominent in PTA, including spatially explicit modeling, sensitivity analysis, incorporating genetics into PVA, PVA in plants, and PVA software packages, but our coverage of emerging issues is not comprehensive.","Consequently, we discuss the practical use and limitations of PVA in conservation planning, and we discuss some emerging issues of PVA.",Population viability analysis (PVA) has become a commonly used tool in endangered species management.,"We conclude that PVA is a powerful tool in conservation biology for comparing alternative research plans and relative extinction risks among species, but the suggest caution in its use: () because PVA is a model, its validity depends on the appropriateness of the model's structure and data quality; () results should be presented with appropriate assessment of confidence; () model construction and results should be subject to external review, and () model structure, input, and results should be treated as hypotheses to be tested."
No (not related to environment),10.1023/A:1009691326989,Assessing the impact of managed-care on the distribution of length-of-stay using Bayesian hierarchical models (2000),The authors demonstrate elicitation and sensitivity analysis with respect to prior distributions.,All calculations for the posterior and predictive distributions were obtained using the software BUGS.,"In this paper, Bayesian inference through Markov Chain Monte Carlo methods is used for the analysis of a complex hierarchical log-normal model that shows the impact of a managed care strategy aimed at limiting length of hospital stays.",,
Yes - Promethee,10.1051/lhb/20150055,Uncertainties propagations in 1D hydraulic modeling (2015),"This coupled tool gives the possibility to realize sensitivity studies by probabilistic method, to parameter realistic and complex model rivers, and to study the influence of several inputs variations.","Numerical modeling tools, like Crue the D modeling software developed by CNR, are widely used to analyze hydraulic and hydrological behavior of rivers.","The tool Promethee, developed by IRSN, is able to realize uncertainties propagations, and two kinds of sensibility analysis: the first one, a determinist method (Morris) based on screening, is able to identify factors which influenced outputs variability; the second one, a probabilistic method (FAST) based on variance analysis of outputs regarding inputs variances, performs inputs ranking in function of outputs sensibilities.","Those tools are based on input parameters, with physical or numerical meaning; theses inputs are generally known with some uncertainties.",
,10.1016/j.ecoleng.2014.11.006,Development of the integrated fuzzy analytical hierarchy process with multidimensional scaling in selection of natural wastewater treatment alternatives (2015),"The method was evaluated via specific programming language software packages, and was applied to select natural wastewater treatment alternatives in a case study.",This is followed by the MDS method to determine the optimal alternative directly through the coordinates associated with each alternative in a two-dimensional configuration.,Sensitivity analysis was conducted and reflects the importance of weighing on alternative selection.,"Multi-criteria decision-making in selection of wastewater treatment alternatives has been explored widely, while few past studies comprehensively addressed the integration of various aspects (e.g., environmental, economical, ecological and management, and technical factors), which is a priority for decision-makers.",Results indicate the stabilization pond was the optimal alternative among five natural wastewater treatment systems.
Yes,10.1155/2014/870835,A Novel Closed-Form Solution for Circular Openings in Generalized Hoek-Brown Media (2014),"Parametric sensitivity analysis is carried out and the parameter a(r), tends to be the sensitive factor.","Results of several example cases are analyzed to show that, with the simplified assumption, a novel closed-form solution is derived and found to be in an excellent agreement with those obtained by using the exact integration method with mathematical software.",,,
No (not related to environment),10.1016/j.mcm.2004.10.021,Modeling distributed software defect removal effectiveness in the presence of code churn (2005),The defect detection ratio is identified to have the greatest contribution to the variance of the estimated number of remaining defects based on the sensitivity analysis using Monte-Carlo simulation.,Two types of discrete defect removal models that consider the dynamics of code churn behavior during software testing phases under distributed software development environment are proposed.,"Using the proposed models, we quantitatively show how to estimate the number of defects by varying the defect detection ratio, defect correction ratio, the percentage of added code, and the percentage of deleted code.",The mathematical relationship between the number of defects detected during a testing phase and the total estimated remaining defects at the end of the same testing phase for both models are elaborated in detail.,
Yes,10.5194/hess-19-2837-2015,A 2-D process-based model for suspended sediment dynamics: a first step towards ecological modeling (2015),This works aims to determine turbidity levels in the complex-geometry delta of the San Francisco estuary using a process-based approach (DelftD Flexible Mesh software).,"Our approach includes a detailed calibration against measured SSC levels, a sensitivity analysis on model parameters and the determination of a yearly sediment budget as well as an assessment of model results in terms of turbidity levels for a single year, water year (WY) .","A robust sediment transport model is a first step in developing a chain of models enabling simulations of contaminants, phytoplankton and habitat conditions.",The model may act as the base model for a chain of ecological models assessing the impact of climate change and management scenarios.,Model results show that our process-based approach is a valuable tool in assessing sediment dynamics and their related ecological parameters over a range of spatial and temporal scales.
Yes - SGEMS-UQ,10.1016/j.cageo.2013.09.009,SGEMS-UQ: An uncertainty quantification toolkit for SGEMS (2014),"This paper presents SGEMS-UQ a plugin for the SGEMS platform, that is used to perform distance-based uncertainty analysis on geostatistical simulations, and the resulting forward transfer function responses used in subsurface modeling and engineering.","Finally, we illustrate the versatility of the code-base on an application of modeling uncertainty in reservoir forecasts for an oil reservoir in the West Coast of Africa.","Consideration is given to the use of software engineering paradigms and design patterns to produce a code-base that is manageable, efficient, and extensible for future applications, while being scalable to work with large datasets.","While algorithms and methodologies to study uncertainty in the Earth Sciences are constantly evolving, there is currently no free integrated software that allows the general practitioners access to these developments.","A versatile XML-derived dialect is defined for communicating with external programs that reduces the need for ad-hoc linking of codes, and a relational database system is implemented to automate many of the steps in data mining the spatial and forward model parameters."
No (not related to environment),10.1080/17480930.2011.611615,Comparison of empirical and numerical methods in tunnel stability analysis (2012),"In this article, empirical methods and numerical modelling using UDEC software were used to conduct a stability analysis of the access tunnel at the Shahriar dam crest, which was one of the most important tunnels of this project.",This method allows the user to conduct sensitivity analysis.,"Therefore, in the absence of sufficient information for numerical analysis, the results of the empirical method can be used for this project.",In this method the environment and the geometry can be set by the user.,"Empirical methods are based on the experience gathered by researchers in various parts of the world whereas numerical modelling utilises computing power and, using various modelling techniques, can be a precise way of solving very complex problems."
No,10.1615/Int.J.UncertaintyQuantification.2012003960,UNCERTAINTY IN THE DEVELOPMENT AND USE OF EQUATION OF STATE MODELS (2013),In this paper we present the results from a series of focus groups on the visualization of uncertainty in equation-of-state (EOS) models.,An effective software tool for this community must be cognizant of this workflow and alleviate the bottlenecks and barriers within it.,"The initial goal was to identify the most effective ways to present EOS uncertainty to analysts, code developers, and material modelers.","Focus group participants, primarily from Sandia National Laboratories, evaluated particular features of the various techniques for different use cases and discussed their individual workflow processes, experiences with other visualization tools, and the impact of uncertainty on their work.","In this context, uncertainty propagation is difficult to reduce to the mathematical problem of estimating the uncertainty of an output from uncertain inputs."
No,10.1016/j.jhydrol.2007.05.029,Determination of skin and aquifer parameters for a slug test with wellbore-skin effect (2007),"It is worthy to note although the thickness of the wellbore-skin zone is usually taken as an input data for the data-analyzed software, it is actually an unknown parameter that cannot be measured directly.",The results indicate that the negative-skin cases generally give a better estimated result than that of the positive-skin cases.,Analysis of slug test data in a well with finite-thickness skin.,This paper proposes a methodology for estimating the thickness of the wellbore-skin zone with other hydraulic parameters at the same time.,"In: Memoirs of the th International Congress on the Hydrogeology of Rocks of Low Permeability, U.S.A. Members of the International Association of Hydrologists, Tucson, AZ, vol."
?,10.1016/j.desal.2010.02.032,The IAEA DEEP desalination economic model: A critical review (2010),"Throughout the years, the software was updated constantly.","Overall, the review proves that both the DEEP economic model and software implementation are solid for economic evaluation of dual purpose plants.","The IAEA DEEP software has been used worldwide for the economic evaluation of desalination plants (thermal or electrical) coupled with various energy sources (nuclear, fossil fueled or renewable).",Sensitivity analysis is used to identify the most important parameters in the DEEP model.,The validity of calculations as well as the identification of the most important parameters is presented.
?,10.1080/19443994.2013.852481,Second law and sensitivity analysis of large ME-TVC desalination units (2015),"A sensitivity analysis is also presented in this paper to investigate the system performance of Al-Jubail ME-TVC unit in KSA, which is considered as the largest ME-TVC desalination plant in the world.","This model is used to evaluate and improve the system performance of some new commercial ME-TVC units with capacities of ., ., and .","Results showed that the first effect was found to be responsible for about % of the total effects exergy destruction in Al-Jubail, compared to % in ALBA and % in Umm Al-Nar.","Hence, this technology becomes highly attractive and competitive against multi stage flash desalination system.",Large number of low temperature multi-effect thermal vapor compression (ME-TVC) desalination units have been installed recently in most of the GCC countries.
Yes,10.2166/wst.2006.029,A standard interface between simulation programs and systems analysis software (2006),This interface is designed to facilitate linkage of environmental simulation programs with systems analytical software and thus can contribute to remedying the deficiency in applying systems analytical techniques to environmental modelling studies.,It is open for implementation by academic and commercial simulation and systems analytical software developers and is very simple to implement.,A simple interface between simulation programs and systems analytical software is proposed.,"Its practicability is demonstrated by implementations for three environmental simulation packages (AQUASIM, SWAT and LEACHM) and two systems analytical program packages (UNCSIM, SUR).","Furthermore, such a development could stimulate the transfer of systems analytical techniques between different fields of application."
Yes - R-FME,10.3390/ijerph14070765,Modeling Nitrogen Dynamics in a Waste Stabilization Pond System Using Flexible Modeling Environment with MCMC (2017),"The proposed approach was designed for optimal parameterization, local sensitivity analysis, and global uncertainty analysis of a dynamic simulation model for the WSP by using the R software package Flexible Modeling Environment (R-FME) with the Markov chain Monte Carlo (MCMC) method.","Additionally, generalized likelihood uncertainty estimation (GLUE) was integrated into the FME to evaluate the major parameters that affect the simulation outputs in the study WSP.","However, Nitrosomonas growth rate, the denitrification constant, and the maximum growth rate at  degrees C were sensitive to ON-N and NO-N simulation, which was measured using global sensitivity.",This study presents an approach for obtaining realization sets of parameters for nitrogen removal in a pilot-scale waste stabilization pond (WSP) system.,"), successfully simulates the concentrations of ON-N, NH-N and NO-N."
No (not related to environment),10.1080/10255842.2013.843673,Geometric sensitivity of patient-specific finite element models of the spine to variability in user-selected anatomical landmarks (2015),This study presents a geometric sensitivity analysis of this software to assess the effect of intra-observer variability in user-selected anatomical landmarks.,"The intra-observer error in the anatomical measurements was low in comparison to the initial dimensions, with the exception of the angular measurements for disc wedge and zygapophyseal joint (z-joint) orientation and disc height.",FE models of the spine and ribcage were created using the reconstructed anatomy for each patient and these models were analysed for a loadcase simulating clinical flexibility assessment.,"This variability suggested that CT resolution may influence such angular measurements, particularly for small anatomical features, such as the z-joints, and may also affect disc height.",User-selected landmarks on the osseous anatomy were defined from CT data-sets for three scoliosis patients and these landmarks were used to reconstruct patient-specific anatomy of the spine and ribcage using parametric descriptions.
Yes,10.1071/EN05044,Kinetic model for the degradation of MTBE by Fenton's oxidation (2006),A set of stiff nonlinear ordinary differential equations that describe the rate of formation of each species in this batch system was solved using Matlab (R) software.,"Finally, a sensitivity analysis based on calculating the sum of the squares of the residuals (SSR) after making a perturbation of one rate constant at a time was applied to discern the effect of each reaction on MTBE disappearance.",A kinetic model for the degradation of methyl tert-butyl ether (MTBE) in batch reactors with Fenton's oxidation (Fe+/HO) in aqueous solutions was developed.,"The mechanisms of MTBE degradation, and the resultant pathways for the formation and degradation of the byproducts, were proposed on the basis of previous studies.","The degradation of MTBE by Fenton's oxidation is predicted well by the model, as are the formation and degradation of byproducts, especially methyl acetate (MA) and tert-butyl alcohol (TBA)."
Yes,10.1007/s12145-013-0137-z,Numerical and intelligent modeling of triaxial strength of anisotropic jointed rock specimens (2014),"Then FlAC, a commercially well-known software for FDM analysis, is applied to simulate the situation of triaxial test on anisotropic jointed specimens.","Furthermore, a sensitivity analysis is carried out based on the numerical process applied herein.",Reliability of this simulation in predicting the strength of jointed specimens has been verified by previous researches.,"In current study, it is aimed to theoretically evaluate the strength of anisotropic rocks with through-going discontinuity using numerical and intelligent methods.",The latter is more precise but also more expensive and time-consuming especially due to difficulties of preparing high-quality samples.
Yes,10.1016/j.jhydrol.2016.12.042,Infiltration under snow cover: Modeling approaches and predictive uncertainty (2017),"Further, our study demonstrated that an uncertainty analysis of model predictions is easily accomplished due to the low computational demand of the models and efficient calibration software and is absolutely worth the additional investment.","We then evaluated the uncertainty associated with the degree-day, a modified degree-day and energy balance snowmelt model predictions using the null space Monte Carlo approach.","This study shows that snowmelt model predictions can have considerable uncertainty, which may be reduced by the inclusion of more data that allows for the use of more complex approaches such as the energy balance method.","Lastly, development of a systematic instrumentation that evaluates the distributed, temporal evolution of snowpack drainage is vital for optimal understanding and management of cold-climate hydrologic systems.","Therefore, we established a snowmelt model calibration dataset that is both temporally dense and represents the integrated snowmelt infiltration signal for the Vers Chez le Brandt research catchment, which functions as a rather unique natural lysimeter."
