AU,year,title,journal,citations,DOI link
"Brun, R|Reichert, P|Kunsch, HR",2001,Practical identifiability analysis of large environmental simulation models,WATER RESOURCES RESEARCH,279,https://dx.doi.org/10.1029/2000WR900350
"Muleta, MK|Nicklow, JW",2005,Sensitivity and uncertainty analysis coupled with automatic calibration for a distributed watershed model,JOURNAL OF HYDROLOGY,259,https://dx.doi.org/10.1016/j.jhydrol.2004.09.005
"Pappenberger, F|Beven, KJ",2006,Ignorance is bliss: Or seven reasons not to use uncertainty analysis,WATER RESOURCES RESEARCH,244,https://dx.doi.org/10.1029/2005WR004820
"Thiemann, M|Trosset, M|Gupta, H|Sorooshian, S",2001,Bayesian recursive parameter estimation for hydrologic models,WATER RESOURCES RESEARCH,239,https://dx.doi.org/10.1029/2000WR900405
"Moens, D|Vandepitte, D",2005,A survey of non-probabilistic uncertainty treatment in finite element analysis,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,237,https://dx.doi.org/10.1016/j.cma.2004.03.019
"Jakeman, AJ|Letcher, RA",2003,"Integrated assessment and modelling: features, principles and examples for catchment management",ENVIRONMENTAL MODELLING & SOFTWARE,233,https://dx.doi.org/10.1016/S1364-8152(03)00024-0
"Schoups, G|Vrugt, JA",2010,"A formal likelihood function for parameter and predictive inference of hydrologic models with correlated, heteroscedastic, and non-Gaussian errors",WATER RESOURCES RESEARCH,226,https://dx.doi.org/10.1029/2009WR008933
"Tripathi, S|Srinivas, VV|Nanjundiah, RS",2006,Dowinscaling of precipitation for climate change scenarios: A support vector machine approach,JOURNAL OF HYDROLOGY,217,https://dx.doi.org/10.1016/j.jhydrot.2006.04.030
"Legesse, D|Vallet-Coulomb, C|Gasse, F",2003,Hydrological response of a catchment to climate and land use changes in Tropical Africa: case study South Central Ethiopia,JOURNAL OF HYDROLOGY,217,https://dx.doi.org/10.1016/S0022-1694(03)00019-2
"Schueller, GI|Jensen, HA",2008,Computational methods in optimization considering uncertainties - An overview,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,214,https://dx.doi.org/10.1016/j.cma.2008.05.004
"McVicar, TR|Van Niel, TG|Li, LT|Hutchinson, MF|Mu, XM|Liu, ZH",2007,Spatially distributing monthly reference evapotranspiration and pan evaporation considering topographic influences,JOURNAL OF HYDROLOGY,202,https://dx.doi.org/10.1016/j.jhydrol.2007.02.018
"van Dijk, NP|Maute, K|Langelaar, M|van Keulen, F",2013,Level-set methods for structural topology optimization: a review,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,199,https://dx.doi.org/10.1007/s00158-013-0912-y
"Pollino, CA|Woodberry, O|Nicholson, A|Korb, K|Hart, BT",2007,Parameterisation and evaluation of a Bayesian network for use in an ecological risk assessment,ENVIRONMENTAL MODELLING & SOFTWARE,194,https://dx.doi.org/10.1016/j.envsoft.2006.03.006
"Shan, SQ|Wang, GG",2010,Survey of modeling and optimization strategies to solve high-dimensional design problems with computationally-expensive black-box functions,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,192,https://dx.doi.org/10.1007/s00158-009-0420-2
"Yamada, T|Izui, K|Nishiwaki, S|Takezawa, A",2010,A topology optimization method based on the level set method incorporating a fictitious interface energy,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,189,https://dx.doi.org/10.1016/j.cma.2010.05.013
"Babuska, I|Tempone, R|Zouraris, GE",2005,Solving elliptic boundary value problems with uncertain coefficients by the finite element method: the stochastic formulation,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,181,https://dx.doi.org/10.1016/j.cma.2004.02.026
"Zoppou, C",2001,Review of urban storm water models,ENVIRONMENTAL MODELLING & SOFTWARE,170,https://dx.doi.org/10.1016/S1364-8152(00)00084-0
"Chen, Y|Yu, J|Khan, S",2010,Spatial sensitivity analysis of multi-criteria weights in GIS-based land suitability evaluation,ENVIRONMENTAL MODELLING & SOFTWARE,169,https://dx.doi.org/10.1016/j.envsoft.2010.06.001
"Roy, CJ|Oberkampf, WL",2011,"A comprehensive framework for verification, validation, and uncertainty quantification in scientific computing",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,168,https://dx.doi.org/10.1016/j.cma.2011.03.016
"Novotny, AA|Feijoo, RA|Taroco, E|Padra, C",2003,Topological sensitivity analysis,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,165,https://dx.doi.org/10.1016/S0045-7825(02)00599-6
"Doltsinis, I|Kang, Z",2004,Robust design of structures using optimization methods,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,152,https://dx.doi.org/10.1016/j.cma.2003.12.055
"Nossent, J|Elsen, P|Bauwens, W",2011,Sobol' sensitivity analysis of a complex environmental model,ENVIRONMENTAL MODELLING & SOFTWARE,149,https://dx.doi.org/10.1016/j.envsoft.2011.08.010
"Kharmanda, G|Olhoff, N|Mohamed, A|Lemaire, M",2004,Reliability-based topology optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,147,https://dx.doi.org/10.1007/s00158-003-0322-7
"Lindgren, LE",2006,Numerical modelling of welding,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,140,https://dx.doi.org/10.1016/j.cma.2005.08.018
"Stedinger, JR|Vogel, RM|Lee, SU|Batchelder, R",2008,Appraisal of the generalized likelihood uncertainty estimation (GLUE) method,WATER RESOURCES RESEARCH,138,https://dx.doi.org/10.1029/2008WR006822
"Gersborg-Hansen, A|Sigmund, O|Haber, RB",2005,Topology optimization of channel flow problems,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,130,https://dx.doi.org/10.1007/s00158-004-0508-7
"Li, H|Zhang, DX",2007,Probabilistic collocation method for flow in porous media: Comparisons with other stochastic methods,WATER RESOURCES RESEARCH,129,https://dx.doi.org/10.1029/2006WR005673
"Weiler, M|McGlynn, BL|McGuire, KJ|McDonnell, JJ",2003,How does rainfall become runoff? A combined tracer and runoff transfer function approach,WATER RESOURCES RESEARCH,129,https://dx.doi.org/10.1029/2003WR002331
"Vrugt, JA|Robinson, BA",2007,Treatment of uncertainty using ensemble methods: Comparison of sequential data assimilation and Bayesian model averaging,WATER RESOURCES RESEARCH,128,https://dx.doi.org/10.1029/2005WR004838
"van Vliet, MTH|Ludwig, F|Zwolsman, JJG|Weedon, GP|Kabat, P",2011,Global river temperatures and sensitivity to atmospheric warming and changes in river flow,WATER RESOURCES RESEARCH,127,https://dx.doi.org/10.1029/2010WR009198
"van Keulen, F|Haftka, RT|Kim, NH",2005,Review of options for structural design sensitivity analysis. Part 1: Linear systems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,126,https://dx.doi.org/10.1016/j.cma.2005.02.002
"Gersborg-Hansen, A|Bendsoe, MP|Sigmund, O",2006,Topology optimization of heat conduction problems using the finite volume method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,117,https://dx.doi.org/10.1007/s00158-005-0584-3
"Luo, YJ|Kang, Z|Luo, Z|Li, A",2009,Continuum topology optimization with non-probabilistic reliability constraints based on multi-ellipsoid convex model,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,110,https://dx.doi.org/10.1007/s00158-008-0329-1
"Dubourg, V|Sudret, B|Bourinet, JM",2011,Reliability-based design optimization using kriging surrogates and subset simulation,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,108,https://dx.doi.org/10.1007/s00158-011-0653-8
"Gunawan, S|Azarm, S",2005,Multi-objective robust optimization using a sensitivity region concept,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,104,https://dx.doi.org/10.1007/s00158-004-0450-8
"Allaire, G|Jouve, F",2005,A level-set method for vibration and multiple loads structural optimization,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,103,https://dx.doi.org/10.1016/j.cma.2004.12.018
"Kang, BS|Park, GJ|Arora, JS",2006,A review of optimization of structures subjected to transient loads,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,93,https://dx.doi.org/10.1007/s00158-005-0575-4
