,id,year,title,keywords,abstract,copyright,AU,SO,DE,DOI
16,WOS:000315974500021,2013,Distributed computation of large scale SWAT models on the Grid,PERSPECTIVES|SYSTEMS|TOOL,"The increasing interest in larger spatial and temporal scale models and high resolution input data processing comes at a price of higher computational demand. This price is evidently even higher when common modeling routines such as calibration and uncertainty analysis are involved. Likewise, methods and techniques for reducing computation time in large scale socio-environmental modeling software is growing. Recent advancements in distributed computing such as Grid infrastructure have provided further opportunity to this effort. In the interest of gaining computational efficiency, we developed generic tools and techniques for enabling the Soil and Water Assessment Tool (SWAT) model application to run on the EGEE (Enabling Grids for E-science projects in Europe) Grid. Various program components/scripts were written to split a large scale hydrological model of the Soil and Water Assessment Tool (SWAT), to submit the split models to the Grid, and to collect and merge results into single output format. A three-step procedure was applied to take advantage of the Grid. Firstly, a python script was run in order to split the SWAT model into several sub-models. Then, individual sub-models were submitted in parallel for execution on the Grid. Finally, the outputs of the sub-basins were collected and the reach routing process was performed with another script executing a modified SWAT program. We conducted experimental simulations with multiple temporal and spatial scale hydrological models on the Grid infrastructure. Results showed that, in spite of computing overheads, parallel computation of socio-environmental models on the Grid is beneficial for model applications especially with large spatial and temporal scales. In the end, we conclude by recommending methods for further reducing computational overheads while running large scale model applications on the Grid. (c) ", Elsevier Ltd. All rights reserved.,"Yalew, S.|van Griensven, A.|Ray, N.|Kokoszkiewicz, L.|Betrie, G. D.",ENVIRONMENTAL MODELLING & SOFTWARE,distributed computing|grid computing|hydrological models|swat|gridification,10.1016/j.envsoft.2012.08.002
18,WOS:000187422700003,2004,MULINO-DSS: a computer tool for sustainable use of water resources at the catchment scale,EXAMPLE|DESIGN|MODELS,"MULINO, an ongoing project financed by the European Commission, has released the prototype of a Decision Support System software (mDSS) for the sustainable management of water resources at the catchment scale. The software integrates socio-economic and environmental modelling, with geo-spatial information and multi-criteria analysis. The policy background refers to the EU Water Framework Directive. The challenging multi-disciplinary context was approached by developing an innovative and dynamic implementation of the DPSIR framework, originally proposed by the European Environmental Agency. In mDSS integrated assessment modelling provides the values of quantitative indicators to be used for transparent and participated decisions, through the application of value functions, weights and decision rules chosen by the end user. Simple routines for the sensitivity analysis and comparison of alternative weight vectors also provides effective decision support by exploring and finding compromises between conflicting interests/perspectives in a multi-stakeholder context.", (C) 2003 Published by Elsevier B.V on behalf of IMACS.,"Giupponi, C|Mysiak, J|Fassio, A|Cogan, ",MATHEMATICS AND COMPUTERS IN SIMULATION,dss software|water resources|sustainable use|catchment|modelling,10.1016/j.matcom.2003.07.003
19,WOS:000188167100002,2003,Uncertainty analysis of hydrologic and water quality predictions for a small watershed using SWAT2000,SOIL HYDRAULIC-PROPERTIES|RECHARGE RATE ESTIMATION|SPATIAL VARIABILITY|ARID ENVIRONMENTS|SOLUTE TRANSPORT|RISK-ASSESSMENT|PART 1|MODEL|CONSTRAINTS|VARIABLES,"Hydrologic and water quality (H/WQ) models are being used with increasing frequency to devise alternative pollution control strategies. It has been recognized that such models may have a large degree of uncertainty associated with their predictions, and that this uncertainty can significantly impact the utility of the model. In this study, ARRAMIS (Advanced Risk & Reliability Assessment Model) software package was used to analyze the uncertainty of the SWAT (Soil and Water Assessment Tool) outputs concerning nutrients and sediment losses from agricultural lands. ARRAMIS applies Monte Carlo simulation technique connected with Latin hypercube sampling (LHS) scheme. This technique is applied to the Warner Creek watershed located in the Piedmont physiographic region of Maryland, and it provides an interval estimate of a range of values with an associated probability instead of a point estimate of a particular pollutant constituent. Uncertainty of model outputs was investigated using LHS scheme with restricted pairing for the model input sampling. Probability distribution functions (pdfs) for each of the  model simulations were constructed from these results. Model output distributions of interest in this analysis were stream flow, sediment, organic nitrogen (organic-N), organic phosphorus (organic-P), nitrate, ammonium, and mineral phosphorus (mineral-P) transported with water. Developed probability distribution functions for the model provided information with desirable probability. Results indicate that consideration of input parameter uncertainty produces % less mean stream flow along with approximately .% larger sediment loading than obtained using mean input parameters. On the contrary, mean of outputs regarding nutrients such as nitrate, ammonia, organic-N, and organic-P (but not mineral-P) were almost the same as the one using mean input parameters. The uncertainty in predicted stream flow and sediment loading is large, but that for nutrient loadings is the same as that of the corresponding input parameters. This study concluded that using a best possible distribution for the input parameters to reflect the impact of soils and land use diversity in a small watershed on SWAT model outputs may be more accurate than using average values for each input parameter.",,"Sohrabi, TM|Shirmohammadi, A|Chu, TW|Montas, H|Nejadhashemi, AP",ENVIRONMENTAL FORENSICS,uncertainty|swat2000|latin hypercube sampling|monte carlo|nonpoint pollution|nutrient,10.1080/714044368
20,WOS:000269046900012,2009,IPH-TRIM3D-PCLake: A three-dimensional complex dynamic model for subtropical aquatic ecosystems,,"This paper presents IPH-TRIMD-PCLake, a three-dimensional complex dynamic model for subtropical aquatic ecosystems. It combines a spatially explicit hydrodynamic model with a water-quality and biotic model of ecological interactions. The software, which is freely available for research purposes, has a graphical user-friendly interface and a flexible design that allows the user to vary the complexity of the model. It also has built-in analysis tools such as Monte Carlo sensitivity analysis, a genetic algorithm for calibration, and plotting tools. (C) ", Elsevier Ltd. All rights reserved.,"Fragoso, Carlos R.|van Nes, Egbert H.|Janse, Jan H.|Marques, David da Motta",ENVIRONMENTAL MODELLING & SOFTWARE,aquatic ecosystem model|cascading trophic effects|subtropical ecosystems|3d model,10.1016/j.envsoft.2009.05.006
21,WOS:000178643700005,2002,A computer program for a Monte Carlo analysis of sensitivity in equations of environmental modelling obtained from experimental data,SYSTEMS,"In the construction of mathematical models from experimental data, it is possible to determine equations that model relations using several methodologies [Un nuevo algoritmo para la modelizacion de sistemas altamente estructurados (); Env. Model. Software  () ; Guide to Statistics , (); Regression models (); Ecosystems and Sustainable Development II ()]. These methodologies build equations that are in line with the experimental data and they analyse a dimension of adjustment and a dimension of error or distance between the experimental data and the data that is produced by the model. There are studies of sensitivity of the sample of data, as found by Bolado and Alonso [Proceedings SAMO ]. The authors consider that it is useful to obtain new parameters that relate the sensitivity of the equations to the variations that are produced by the experimental data. This will allow the selection of the model according to new criteria. On the one hand, the authors present a theoretical study of sensitivity of the models according to different points of view. On the other hand, they discuss a computing algorithm that allows the analysis of sensitivity (and stability) of the mathematical equations, which are built from any methodology. An interface has been incorporated into this algorithm to allow a graphic visualisation of the effects that are produced when modifications of the model are carried out.", (C) 2002 Elsevier Science Ltd. All rights reserved.,"Verdu, F|Villacampa, Y",ADVANCES IN ENGINEERING SOFTWARE,sensitivity analysis|environmental modelling|monte carlo,10.1016/S0965-9978(02)00023-6
27,WOS:000251683400002,2007,Anisotropic finite element modeling for patient-specific mandible,AUTOMATIC MESH GENERATION|MEDICAL IMAGES|QUALITY ASSESSMENT|CANCELLOUS BONE|CORTICAL BONE|CT|ALGORITHM|CAD|SEGMENTS|NUMBERS,"This paper presents an ad hoc modular software tool to quasi-automatically generate patient-specific three-dimensional (D) finite element (FE) model of the human mandible. The main task is taking into account the complex geometry of the individual mandible, as well as the inherent highly anisotropic material law. At first, by computed tomography data (CT), the individual geometry of the complete range of mandible was well reproduced, also the separation between cortical and cancellous bone. Then, taking advantage of the inherent shape nature as 'curve' long bone, the algorithm employed a pair of B-spline curves running along the entire upper and lower mandible borders as auxiliary baselines, whose directions are also compatible with that of the trajectory of maximum material stiffness throughout the cortical bone of the mandible. And under the guidance of this pair of auxiliary baselines, a sequence of B-spline surfaces were interpolated adaptively as curve cross-sections to cut the original geometry. Following, based on the produced curve contours and the corresponding curve cross-section surfaces, quite well structured FE volume meshes were constructed, as well as the inherent trajectory vector fields of the anisotropic material (orthotropic for cortical bone and transversely isotropic for cancellous bone). Finally, a sensitivity analysis comprising various D FE simulations was carried out to reveal the relevance of elastic anisotropy for the load carrying behavior of the mandible.", (C) 2007 Elsevier Ireland Ltd. All rights reserved.,"Liao, Sheng-Hui|Tong, Ruo-Feng|Dong, Jin-Xiang",COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,anisotropic material|automatic mesh generator (amg)|complete mandible model|patient-specific|finite element method,10.1016/j.cmpb.2007.09.009
28,WOS:000233938100033,2005,Utility of dynamic-landscape metapopulation models for sustainable forest management,BIRDS|INDICATORS|VIABILITY|FRAGMENTATION|BIODIVERSITY|FIRE,"We evaluated the utility of combining metapopulation models with landscape-level forest-dynamics models to assess the sustainability of forest management practices. We used the Brown Creeper (Certhia americana) in the boreal forests of northern Ontario as a case study. We selected the Brown Creeper as a potential indicator of sustainability because it is relatively common in the region but is dependent on snags and old trees for nesting and foraging; hence, it may be sensitive to timber harvesting. For the modeling we used RAMAS Landscape, a software package that integrates RAMAS GIS, population-modeling software, and LANDIS, forest-dynamics modeling software. Predictions about the future floristic composition and structure of the landscape tinder a variety of management and natural disturbance scenarios were derived using LANDIS. We modeled eight alternative forest management scenarios, ranging in intensity from no timber harvesting and a natural fire regime to intensive timber harvesting with salvage logging after fire. We predicted the response of The Brown Creeper metapopulation over a -year period and used future population size and expected minimum population size to compare the sustainability of the various management scenarios. The modeling methods were easy to apply and model predictions were sensitive to the differences among management scenarios, indicating that these methods may be useful for assessing and ranking the sustainability of forest management options. Primary concerns about the method are the practical difficulties associated with incorporating fire stochasticity in prediction uncertainty and the number of model assumptions that must be made and tested with sensitivity analysis. We wrote new software to bell) quantify the contribution of landscape stochasticity to model prediction uncertainty.",,"Wintle, BA|Bekessy, SA|Venier, LA|Pearce, JL|Chisholm, RA",CONSERVATION BIOLOGY,brown creeper|landscape ecology|population model|population viability analysis|succession model,10.1111/j.1523-1739.2005.00276.x
29,WOS:000366034200088,2015,Comprehensive Sensitivity Analysis in NLP Models in PSE Applications Using Space-Filling DOE Strategy,OPTIMIZATION|DESIGN,"Sensitivity analysis is an integral step in the interpretation of the solutions of optimization models, particularly when there are uncertainties in the numerical values of model parameters. Conventional approaches to sensitivity analysis rely on the use of shadow prices in linear models and Lagrange multipliers in non-linear models. Modern commercial optimization software packages are able to automatically generate such sensitivity coefficients to allow rapid post-optimality analysis. However, in the case of non-linear models, Lagrange multipliers have two distinct limitations. First, they represent only changes in the optimal value of an objective function with respect to small changes in parameter values, and thus remain valid only near the immediate vicinity of the nominal design point. Secondly, each Lagrange multiplier gives only the effect of the change of one parameter, assuming that all other parameters remain at their nominal values. Hence, they provide no information about joint effects or interactions caused by simultaneous changes in parameter values. In this paper, we present a strategy based on design of experiments (DOE) to generate a sensitivity surface, which we define as the mapping of the optimal model solution against a range of values of the optimization model parameters. Space-filling designs are used as a basis to generate proxy regression models with quadratic and interaction terms, in order to capture curvature of the sensitivity surface. The resulting proxy model contains more information than is available in conventional sensitivity analysis. In particular, this approach shows curvature and interaction effects that are not reflected when Lagrange multipliers are used. We present case studies based on problems drawn from process systems engineering (PSE) literature to illustrate this comprehensive sensitivity analysis strategy.",,"Tan, Raymond R.|Aviso, Kathleen B.|Uy, Oscar M.|Varbanov, PS|Klemes, JJ|Alwi, SRW|Yong, JY|Liu, ","PRES15: PROCESS INTEGRATION, MODELLING AND OPTIMISATION FOR ENERGY SAVING AND POLLUTION REDUCTION",,10.3303/CET1545088
34,WOS:000349876500012,2015,"Understanding the Day Cent model: Calibration, sensitivity, and identifiability through inverse modeling",NITROUS-OXIDE EMISSIONS|EVALUATING PARAMETER IDENTIFIABILITY|DAYCENT ECOSYSTEM MODEL|SOIL ORGANIC-MATTER|ERROR REDUCTION|2 STATISTICS|AUTOMATIC CALIBRATION|PRODUCTION SYSTEMS|N2O EMISSIONS|WATER-FLOW,"The ability of biogeochemical ecosystem models to represent agro-ecosystems depends on their correct integration with field observations. We report simultaneous calibration of  DayCent model parameters using multiple observation types through inverse modeling using the PEST parameter estimation software. Parameter estimation reduced the total sum of weighted squared residuals by % and improved model fit to crop productivity, soil carbon, volumetric soil water content, soil temperature, NO, and soil NO- compared to the default simulation. Inverse modeling substantially reduced predictive model error relative to the default model for all model predictions, except for soil NO- and NH+. Post-processing analyses provided insights into parameter-observation relationships based on parameter correlations, sensitivity and identifiability. Inverse modeling tools are shown to be a powerful way to systematize and accelerate the process of biogeochemical model interrogation, improving our understanding of model function and the underlying ecosystem biogeochemical processes that they represent. (C)  The Authors. Published by", Elsevier Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).,"Necpalova, Magdalena|Anex, Robert P.|Fienen, Michael N.|Del Grosso, Stephen J.|Castellano, Michael J.|Sawyer, John E.|Iqbal, Javed|Pantoja, Jose L.|Barker, Daniel W.",ENVIRONMENTAL MODELLING & SOFTWARE,daycent model|inverse modeling|pest|sensitivity analysis|parameter identifiability|parameter correlations,10.1016/j.envsoft.2014.12.011
35,WOS:000251865000019,2008,Synthetic microarray data generation with RANGE and NEMO,RECONSTRUCTION,"Motivation: For testing and sensitivity analysis purposes, it is beneficial to have known transcription networks of sufficient size and variability during development of microarray data and network deconvolution algorithms. Description of such networks in a simple language translatable to Systems Biology Markup Language would allow generation of model data for the networks. Results: Described herein is software (RANGE: RAndom Network GEnerator) to generate large random transcription networks in the NEMO (NEtwork MOtif) language. NEMO is recognized by a grammar for transcription network motifs using lex and yacc to output Systems Biology Markup Language models for either specified or randomized gene input functions. These models of known networks may be input to a biochemical simulator, allowing the generation of synthetic microarray data.",,"Long, James|Roth, Mitchell",BIOINFORMATICS,,10.1093/bioinformatics/btm529
36,WOS:000335707200019,2014,FReET: Software for the statistical and reliability analysis of engineering problems and FReET-D: Degradation module,LATIN HYPERCUBE SAMPLES|REINFORCEMENT CORROSION|INPUT VARIABLES|CONCRETE|SIZE|SIMULATION|CARBONATION|DURABILITY|FRACTURE|MODEL,"The objective of the paper is to present methods and software for the efficient statistical, sensitivity and reliability assessment of engineering problems. Attention is given to small-sample techniques which have been developed for the analysis of computationally intensive problems. The paper shows the possibility of ""randomizing"" computationally intensive problems in the manner of the Monte Carlo type of simulation. In order to keep the number of required simulations at an acceptable level, Latin Hypercube Sampling is utilized. The technique is used for both random variables and random fields. Sensitivity analysis is based on non-parametric rank-order correlation coefficients. Statistical correlation is imposed by the stochastic optimization technique - simulated annealing. A hierarchical sampling approach has been developed for the extension of the sample size in Latin Hypercube Sampling, enabling the addition of simulations to a current sample set while maintaining the desired correlation structure. The paper continues with a brief description of the user-friendly implementation of the theory within FReET commercial multipurpose reliability software. FReET-D software is capable of performing degradation modeling, in which a large number of reinforced concrete degradation models can be utilized under the main FReET software engine. Some of the interesting applications of the software are referenced in the paper. (C) ", Elsevier Ltd. All rights reserved.,"Novak, Drahomir|Vorechovsky, Miroslav|Teply, Bretislav",ADVANCES IN ENGINEERING SOFTWARE,statistical analysis|sensitivity|reliability|monte carlo simulation|latin hypercube sampling|simulated annealing|random fields|material degradation,10.1016/j.advengsoft.2013.06.011
