# Data from Clarivate Analytics' Web of Science, retrieved 5 December 2018
# This file generated on 2019-01-31 11:21:20
item,id,year,title,AU,SO,DE
10,WOS:000389394900030,2017,The uncertainty of nitrous oxide emissions from grazed grasslands: A New Zealand case study,"Kelliher, FM|Henderson, HV|Cox, NR",ATMOSPHERIC ENVIRONMENT,nitrous oxide soils agriculture inventory uncertainty
11,WOS:000335871000010,2014,Modelling soil carbon and nitrogen dynamics using measurable and conceptual soil organic matter pools in APSIM,"Luo, ZK|Wang, EL|Fillery, IRP|Macdonald, LM|Huth, N|Baldock, J",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,soil carbon soil nitrogen c:n ratio carbon fractions decomposition initialization mineralization sensitivity analysis
12,WOS:000089412000007,2000,Thermal-treated soil for mercury removal: Soil and phytotoxicity tests,"Roh, Y|Edwards, NT|Lee, SY|Stiles, CA|Armes, S|Foss, JE",JOURNAL OF ENVIRONMENTAL QUALITY,
13,WOS:000276556000062,2010,Application of an Uncertainty Analysis Approach to Strategic Environmental Assessment for Urban Planning,"Liu, Y|Chen, JN|He, WQ|Tong, QY|Li, WF",ENVIRONMENTAL SCIENCE & TECHNOLOGY,
14,WOS:000306677900014,2012,THE RELATIONSHIP BETWEEN CLIMATE AND RADIAL GROWTH FOR THE OAK (QUERCUS ROBUR L.) IN THE WESTERN PLAIN OF ROMANIA,"Nechita, C|Popa, I",CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES,dendrochronology quercus climatic sensitivity dendroclimatology spi
15,WOS:000355569100004,2015,Effects of rainfall data resolution on watershed-scale model performance in predicting runoff,"Wang, HL|Li, XY|Hao, SN",JOURNAL OF WATER AND CLIMATE CHANGE,hspf model model performance rainfall data spatial resolution temporal resolution
16,WOS:000404310600005,2017,Release of phosphorus from crop residue and cover crops over the non-growing season in a cool temperate region,"Lozier, TM|Macrae, ML|Brunke, R|Van Eerd, LL",AGRICULTURAL WATER MANAGEMENT,nutrient losses best management practices winter cover crops peak flow events surface runoff tile drainage
17,WOS:000237185600001,2006,Stability analysis of a controlled aluminium panel using neural network methodology,"Fall, H|Guessasma, S|Charon, W",COMPUTERS & STRUCTURES,active control of vibration sensitivity analysis actuators sensors neural network
18,WOS:000304291000002,2012,An idealised stochastic model of sea ice thickness dynamics,"Godlovitch, D|Monahan, A|Flato, G",COLD REGIONS SCIENCE AND TECHNOLOGY,sea ice sea ice thickness distribution sea ice dynamics
19,WOS:000398135300071,2017,Assessing wastewater treatment in Latin America and the Caribbean: Enhancing life cycle assessment interpretation by regionalization and impact assessment sensibility,"Hernandez-Padilla, F|Margni, M|Noyola, A|Guereca-Hernandez, L|Bulle, C",JOURNAL OF CLEANER PRODUCTION,wwtp extended aeration pond system life cycle assessment lcia methodologies regionalization latin america
20,WOS:000367759300018,2015,Impact of plant evapotranspiration rate and shrub albedo on temperature reduction in the tropical outdoor environment,"Tan, CL|Wong, NH|Tan, PY|Jusuf, SK|Chiam, ZQ",BUILDING AND ENVIRONMENT,rooftop greenery mean radiant temperature plant evapotranspiration rate shrub albedo
21,WOS:000396233500009,2017,Calibration of the 1D shallow water equations: a comparison of Monte Carlo and gradient-based optimization methods,"Lacasta, A|Morales-Hernandez, M|Burguete, J|Brufau, P|Garcia-Navarro, P",JOURNAL OF HYDROINFORMATICS,adjoint method calibration gradient method monte carlo shallow water equations
22,WOS:000354286000001,2015,An Entropy Model of Credit Risk Contagion in the CRT Market,"Chen, TQ|Chen, Y|Li, XD|Wang, JN",DISCRETE DYNAMICS IN NATURE AND SOCIETY,
23,WOS:000271163900004,2009,Heuristic Reusable Dynamic Programming: Efficient Updates of Local Sequence Alignment,"Hong, CJ|Tewfik, AH",IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,shortest path minimum spanning tree sensitivity analysis dynamic programming sequence alignment string edit suboptimal paths
24,WOS:000180485600022,2003,Comparison of heat transfer coefficient correlations for thermal desalination units,"Uche, J|Artal, J|Serra, L",DESALINATION,heat transfer coefficients correlation distillation simulator
25,WOS:000415699500014,2017,Matrix-free algorithm for the optimization of multidisciplinary systems,"Dener, A|Hicken, JE",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,multidisciplinary design optimization individual discipline feasible inexact-newton-krylov matrix-free second-order adjoint preconditioning
26,WOS:000395407900002,2017,Patient-specific parameter estimation in single-ventricle lumped circulation models under uncertainty,"Schiavazzi, DE|Baretta, A|Pennati, G|Hsia, TY|Marsden, AL",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING,bayesian estimation lumped circulation models patient-specific data assimilation uncertainty analysis of simulated physiology single-ventricle surgery norwood procedure
27,WOS:000245149200004,2007,Reactivity of high surface area CeO2 synthesized by surfactant-assisted method to ethanol decomposition with and without steam,"Laosiripojana, N|Sutthisripok, W|Assabumrungrat, S",CHEMICAL ENGINEERING JOURNAL,ethanol internal reforming hydrogen sofc ceo2
28,WOS:000240179700033,2006,Spatialised fate factors for nitrate in catchments: Modelling approach and implication for LCA results,"Basset-Mens, C|Anibar, L|Durand, P|van der Werf, HMG",SCIENCE OF THE TOTAL ENVIRONMENT,eutrophication environmental assessment life cycle assessment climate change inca denitrification riparian zone catchment hydrology
29,WOS:000303094300002,2012,A general framework for Dynamic Emulation Modelling in environmental problems,"Castelletti, A|Galelli, S|Ratto, M|Soncini-Sessa, R|Young, PC",ENVIRONMENTAL MODELLING & SOFTWARE,dynamic emulation modelling model reduction model complexity process-based models response surfaces metamodelling
30,WOS:000298245300014,2011,Parameter Estimation of Nonlinear Muskingum Models Using Nelder-Mead Simplex Algorithm,"Barati, R",JOURNAL OF HYDROLOGIC ENGINEERING,flood routing hydrologic models optimization algorithms
31,WOS:000326768300051,2013,Modeling of Cu oxidation in adiabatic fixed-bed reactor with N-2 recycling in a Ca/Cu chemical loop,"Fernandez, JR|Abanades, JC|Murillo, R",CHEMICAL ENGINEERING JOURNAL,cu oxidation adiabatic fixed-bed reactor chemical looping co2 capture recycle
32,WOS:000342943000001,2014,Aerodynamic Optimal Shape Design Based on Body-Fitted Grid Generation,"Mohebbi, F|Sellier, M",MATHEMATICAL PROBLEMS IN ENGINEERING,
33,WOS:000344408800009,2015,Considering Taguchi loss function on statistically constrained economic sum of squares exponentially weighted moving average charts,"Huang, CJ|Lu, SL",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,duncan's cost model economic-statistical design taguchi's loss function ss-ewma chart sensitivity analysis
34,WOS:000340336300020,2014,Life Cycle Assessment for desalination: A review on methodology feasibility and reliability,"Zhou, J|Chang, VWC|Fane, AG",WATER RESEARCH,environmental impacts sustainability life cycle impact assessment system boundary uncertainty analysis brine disposal
35,WOS:000408346900009,2017,Orbit covariance propagation via quadratic-order state transition matrix in curvilinear coordinates,"Hernando-Ayuso, J|Bombardelli, C",CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,state transition matrix curvilinear coordinates quadratic solution clohessy-wiltshire solution orbit uncertainty
36,WOS:000402381500012,2017,Combining global sensitivity analysis and multiobjective optimisation to estimate soil hydraulic properties and representations of various sole and mixed crops for the agro-hydrological SWAP model,"Stahn, P|Busch, S|Salzmann, T|Eichler-Lebermann, B|Miegel, K",ENVIRONMENTAL EARTH SCIENCES,mixed cropping soil-vegetation-atmosphere transfer modelling sensitivity analysis inverse modelling multiobjective optimisation
37,WOS:000089687900007,2000,Optimal operation of selective membrane separation processes for wastewater treatment,"Eliceche, AM|Alonso, AI|Ortiz, I",COMPUTERS & CHEMICAL ENGINEERING,selective membranes wastewater cr(vi) recovery optimal operation
38,WOS:000406381400006,2017,Symmetrical design for symmetrical global sensitivity analysis of model output,"Wang, XD|Chen, XP",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,symmetrical global sensitivity indices symmetrical design permutation matrix anova
39,WOS:000371317300019,2016,Attributing runoff changes to climate variability and human activities: uncertainty analysis using four monthly water balance models,"Li, S|Xiong, LH|Li, HY|Leung, LR|Demissie, Y",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,runoff change uncertainty assessment monthly water balance models scem bayesian model averaging
40,WOS:000320105100021,2013,Predicting yields of short-rotation hybrid poplar (Populus spp.) for the United States through model-data synthesis,"Wang, D|LeBauer, D|Dietze, M",ECOLOGICAL APPLICATIONS,bayesian meta-analysis data assimilation ecosystem demography model poplar plantation populus spp. predictive ecosystem analyzer sensitivity analysis short-rotation forestry soil carbon variance decomposition
41,WOS:000329118500044,2014,Adaptive approximation of higher order posterior statistics,"Lee, W",JOURNAL OF COMPUTATIONAL PHYSICS,nonlinear filtering data assimilation wiener chaos expansion uncertainty quantification
42,WOS:000276637100016,2010,Trace element geochemistry in topsoil from East China,"Yang, T|Zhu, ZY|Gao, QZ|Rao, ZG|Han, JW|Wu, Y",ENVIRONMENTAL EARTH SCIENCES,trace elements topsoil east china ba/nb ratio sr/nb ratio
43,WOS:000310665000051,2012,Improving NOx Cap-and-Trade System with Adjoint-Based Emission Exchange Rates,"Mesbah, SM|Hakami, A|Schott, S",ENVIRONMENTAL SCIENCE & TECHNOLOGY,
44,WOS:000276744400026,2010,One solution for cross-country transport-sustainability evaluation using a modified ELECTRE method,"Bojkovic, N|Anic, I|Pejcic-Tarle, S",ECOLOGICAL ECONOMICS,sustainable-transport indicators cross-country evaluation outranking approach modified electre method
45,WOS:000371009800003,2016,Comparison of simplified models for nitramine propellant combustion,"Whitson, LB|Son, SF",COMBUSTION THEORY AND MODELLING,nitramine combustion simplified propellant model hmx energetic materials rdx
46,WOS:000365646800004,2015,Probabilistic Approach for Determining the Material Properties of Meniscal Attachments In Vivo Using Magnetic Resonance Imaging and a Finite Element Model,"Kang, KT|Kim, SH|Son, J|Lee, YH|Chun, HJ",JOURNAL OF COMPUTATIONAL BIOLOGY,in vivo magnetic resonance imaging material property meniscal attachment probabilistic approach
47,WOS:000302873300001,2012,On the effects of improved cross-section representation in one-dimensional flow routing models applied to ephemeral rivers,"Hutton, CJ|Brazier, RE|Nicholas, AP|Nearing, M",WATER RESOURCES RESEARCH,
48,WOS:000243986100016,2007,Sensitivity analysis and identification of the best evapotranspiration and runoff options for hydrological modelling in SWAT-2000,"Kannan, N|White, SM|Worrall, F|Whelan, MJ",JOURNAL OF HYDROLOGY,swat hydrological modelling colworth curve number (cn) sensitivity stream flow
49,WOS:000165638100005,2000,Estimating the population size with a behavioral response in capture-recapture experiment,"Yip, PSF|Xi, LQ|Chao, A|Hwang, WH",ENVIRONMENTAL AND ECOLOGICAL STATISTICS,behavioral effect capture-recapture experiment estimating function population size estimation
50,WOS:000362425100002,2015,Enhancement of surface water quality using trading discharge permits and artificial aeration,"Jamshidi, S|Niksokhan, MH|Ardestani, M|Jaberi, H",ENVIRONMENTAL EARTH SCIENCES,artificial aeration discharge permit market sefidrud total maximum daily load (tmdl) waste load allocation (wla) water quality trading (wqt)
51,WOS:000405056200023,2017,Estimating a Representative Value and Proportion of True Zeros for Censored Analytical Data with Applications to Contaminated Site Assessment,"Haslauer, CP|Meyer, JR|Bardossy, A|Parker, BL",ENVIRONMENTAL SCIENCE & TECHNOLOGY,
52,WOS:000386701800004,2016,A nonlinear simulation method based on a combination of multilayer perceptron and decision trees for predicting non-deposition sediment transport,"Ebtehaj, I|Bonakdari, H|Zaji, AH",WATER SCIENCE AND TECHNOLOGY-WATER SUPPLY,bed load decision tree (dt) multilayer perceptron neural network (mlp-nn) sediment transport sensitivity analysis
53,WOS:000172373000008,2001,Validated biomarker responses influence medical surveillance of individuals exposed to genotoxic agents,"Albertini, RJ",RADIATION PROTECTION DOSIMETRY,
54,WOS:000381156600070,2016,Modeling the temporal variability of zinc concentrations in zinc roof runoff-experimental study and uncertainty analysis,"Sage, J|El Oreibi, E|Saad, M|Gromaire, MC",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,accumulation corrosion dissolution dry period model rainfall intensity wash-off zinc-roof
55,WOS:000333138800045,2014,Stochastic description of infiltration between aquifers,"Tamea, S|Butera, I",JOURNAL OF HYDROLOGY,groundwater leakage recharge pumping well poisson noise probability distribution
56,WOS:000347153700004,2015,Impact of maintenance on life cycle impact and cost assessment for residential flooring options,"Minne, E|Crittenden, JC",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,flooring life cycle costing life cycle impact assessment lifetime maintenance phase residential buildings single scoring uncertainty analysis
57,WOS:000361906400029,2015,Integrating statistical and hydrological models to identify implementation sites for agricultural conservation practices,"Giri, S|Nejadhashemi, AP|Zhang, Z|Woznicki, SA",ENVIRONMENTAL MODELLING & SOFTWARE,best management practices swat mixed effect model stream order surface plot
58,WOS:000303069100010,2012,Movie Rating and Review Summarization in Mobile Environment,"Liu, CL|Hsaio, WH|Lee, CH|Lu, GC|Jou, E",IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART C-APPLICATIONS AND REVIEWS,feature extraction natural language processing (nlp) text analysis text mining
59,WOS:000257826200002,2008,Cost sensitivity analysis by Monte Carlo simulation,"Woinaroschy, A",ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL,monte carlo simulation sensitivity analysis optimization neural networks
60,WOS:000314290400012,2013,Evaluation of SWAT sub-daily runoff estimation at small agricultural watershed in Korea,"Maharjan, GR|Park, YS|Kim, NW|Shin, DS|Choi, JW|Hyun, GW|Jeon, JH|Ok, YS|Lim, KJ",FRONTIERS OF ENVIRONMENTAL SCIENCE & ENGINEERING,soil and water assessment tool (swat) sub-daily simulation runoff rainfall
61,WOS:000296218100001,2011,SPECIAL ISSUE MULTISCALE MODELING AND UNCERTAINTY QUANTIFICATION OF HETEROGENEOUS MATERIALS,"Stefanou, G",INTERNATIONAL JOURNAL FOR MULTISCALE COMPUTATIONAL ENGINEERING,
62,WOS:000355890200019,2015,Modeling water uptake by a root system growing in a fixed soil volume,"Albrieu, JLB|Reginato, JC|Tarzia, DA",APPLIED MATHEMATICAL MODELLING,moving boundary water uptake plant root growing
63,WOS:000401452700019,2017,Effect of (quasi-)optimum model parameter sets and model characteristics on future discharge projection of two basins from Europe and Asia,"Chamorro, A|Kraft, P|Pauer, G|Exbrayat, JF|Breuer, L",CLIMATIC CHANGE,
64,WOS:000281772900009,2010,DOSE CONVERSION FACTORS FOR RADON: RECENT DEVELOPMENTS,"Marsh, JW|Harrison, JD|Laurier, D|Blanchardon, E|Paquet, F|Tirmarche, M",HEALTH PHYSICS,dosimetry internal epidemiology health effects radiation dose
65,WOS:000367716500002,2015,Upgrading Domestic-Plus Systems in Rural Senegal: An Incremental Income-Cost (I-C) Analysis,"Hall, RP|Vance, EA|van Houweling, E",WATER ALTERNATIVES-AN INTERDISCIPLINARY JOURNAL ON WATER POLITICS AND DEVELOPMENT,domestic-plus systems intermediate-level mus multiple-use water services rural water supply incremental i-c analysis senegal
66,WOS:000314783500001,2012,Application of receptor models on water quality data in source apportionment in Kuantan River Basin,"Nasir, MFM|Zali, MA|Juahir, H|Hussain, H|Zain, SM|Ramli, N",IRANIAN JOURNAL OF ENVIRONMENTAL HEALTH SCIENCE & ENGINEERING,water quality receptor modeling multiple linear regression (mlr) artificial neural network (ann)
67,WOS:000302221900012,2012,Sensitivity of Optimal Tradeoffs between Cost and Greenhouse Gas Emissions for Water Distribution Systems to Electricity Tariff and Generation,"Wu, WY|Simpson, AR|Maier, HR",JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT-ASCE,water distribution systems multiobjective optimization greenhouse gas emissions climate change sensitivity analysis genetic algorithms
68,WOS:000169434200006,2001,Modelling of groundwater mound formation resulting from transient recharge,"Rai, SN|Ramana, DV|Thiagarajan, S|Manglik, A",HYDROLOGICAL PROCESSES,groundwater modelling time varying recharge finite fourier sine transformation
69,WOS:000239075800014,2006,Sensitivity analysis of soil hydraulic properties on subsurface water flow in furrows,"Rocha, D|Abbasi, F|Feyen, J",JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,furrow irrigation sensitivity analysis soil properties hydraulic properties subsurface flow
70,WOS:000350798900001,2015,A staggered approach to shape and topology optimization using the traction method and an evolutionary-type advancing front algorithm,"Riehl, S|Steinmann, P",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,shape optimization parameter-free topological sensitivity traction method
71,WOS:000411541800036,2017,Underground structures increasing the intrinsic vulnerability of urban groundwater: Sensitivity analysis and development of an empirical law based on a groundwater age modelling approach,"Attard, G|Rossier, Y|Eisenlohr, L",JOURNAL OF HYDROLOGY,urban groundwater intrinsic vulnerability underground structures groundwater age
72,WOS:000367689000001,2016,Nonlinear reanalysis for structural modifications based on residual increment approximations,"Materna, D|Kalpakides, VK",COMPUTATIONAL MECHANICS,nonlinear reanalyis approximate reanalysis rational approximations nonlinear elasticity
73,WOS:000350331300040,2015,Health risk assessment of phthalate esters (PAEs) in drinking water sources of China,"Wang, WL|Wu, QY|Wang, C|He, T|Hu, HY",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,phthalate esters health risk assessment carcinogenic risk non-carcinogenic risk drinking water
74,WOS:000335676800006,2014,Quantifying Asymmetric Parameter Interactions in Sensitivity Analysis: Application to Reservoir Modeling,"Fenwick, D|Scheidt, C|Caers, J",MATHEMATICAL GEOSCIENCES,general sensitivity analysis parameter interaction reservoir modeling model classification
75,WOS:000325074400040,2013,Estimation of nitrate load from septic systems to surface water bodies using an ArcGIS-based software,"Wang, LY|Ye, M|Rios, JF|Fernandes, R|Lee, PZ|Hicks, RW",ENVIRONMENTAL EARTH SCIENCES,gis-based screening model nitrate transport denitrification nitrate loads sensitivity analysis morris method
76,WOS:000336254900018,2014,"Parameter Uncertainty Analysis of Surface Flow and Sediment Yield in the Huolin Basin, China","Xue, C|Chen, B|Wu, HJ",JOURNAL OF HYDROLOGIC ENGINEERING,uncertainty principles sediment overland flow china parameters uncertainty analysis swat glue sufi-2 surface flow sediment yield
77,WOS:000334870200003,2014,GENERAL EQUILIBRIUM ECOSYSTEM MODELING WITH ALTERNATIVE PREFERENCE SPECIFICATIONS,"Strong, A|Oliver, ME",NATURAL RESOURCE MODELING,general equilibrium ecosystem model cheatgrass cattle grazing behavior rangeland management
78,WOS:000342632300004,2014,Impact of numerical artifact of the forward model in the inverse solution of density-dependent flow problem,"Nassar, MK|Ginn, TR",WATER RESOURCES RESEARCH,inverse density dependence flow transport groundwater
79,WOS:000296758400021,2011,CALCULATION SCHEME OF A THERMODYNAMICAL TIME DEPENDENT MODEL OF THE HEAT REGENERATION PROCESS IN A SOLAR STIRLING ENGINE,"Tirca-Dragomirescu, G|Feidt, M|Costea, M|Dobrovicescu, A|Dobre, C|Marin, A",ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL,heat regeneration process time dependence
80,WOS:000266651200004,2009,An Uncertainty Analysis Approach to Multidisciplinary Design Optimization,"Chu, XZ|Gao, L|Li, WD|Qiu, HB|Shao, XY",CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,multidisciplinary design optimization uncertainty rough sets theory kriging
81,WOS:000388155500003,2016,GTApprox: Surrogate modeling for industrial design,"Belyaev, M|Burnaev, E|Kapushev, E|Panov, M|Prikhodko, P|Vetrov, D|Yarotsky, D",ADVANCES IN ENGINEERING SOFTWARE,approximation surrogate model surrogate-based optimization
82,WOS:000285346100015,2010,Prioritizing Biosecurity Risks Using a Participatory Decision-Making Tool,"Hurley, MV|Lowell, KE|Cook, DC|Liu, SA|Siddique, AB|Diggle, A",HUMAN AND ECOLOGICAL RISK ASSESSMENT,bio-economic model biosecurity decision-making risk uncertainty
83,WOS:000343634700007,2014,"Benzene and hydrocarbons profile from the soil light fraction of the environmental liability of the ""18 de marzo"" ex-refinery, Mexico City","Garcia Villanueva, LA|Fernandez-Villagomez, G",REVISTA INTERNACIONAL DE CONTAMINACION AMBIENTAL,remediation polluted soils benzene light-fraction hydrocarbons sensitivity analysis bulk density clay
84,WOS:000274111600006,2010,Exploring the feasibility and accuracy of Latent Semantic Analysis based text mining techniques to detect similarity between patent documents and scientific publications,"Magerman, T|Van Looy, B|Song, XY",SCIENTOMETRICS,text mining latent semantic analysis science-technology linkages patent-publication pairs author-inventor relationships
85,WOS:000360192200012,2015,Modeling the effect of soil meso- and macropores topology on the biodegradation of a soluble carbon substrate,"Vogel, LE|Makowski, D|Garnier, P|Vieuble-Gonod, L|Coquet, Y|Raynaud, X|Nunan, N|Chenu, C|Falconer, R|Pot, V",ADVANCES IN WATER RESOURCES,biodegradation lattice -boltzmann method pole scale heterogeneity spatial distribution substrate diffusion microbial habitats
86,WOS:000360216100024,2015,A flexible techno-economic model for the assessment of desalination plants driven by renewable energies,"Moser, M|Trieb, F|Fichter, T|Kern, J|Hess, D",DESALINATION AND WATER TREATMENT,concentrating solar power (csp) technology comparison techno-economic model wind power ro med pv renewable desalination med-tvc
87,WOS:000409151600011,2017,"Simulation, identification and statistical variation in cardiovascular analysis (SISCA) - A software framework for multi-compartment lumped modeling","Huttary, R|Goubergrits, L|Schutte, C|Bernhard, S",COMPUTERS IN BIOLOGY AND MEDICINE,windkessel elements lumped models od modeling multi-compartment modeling cardiovascular simulation distributed parameter modeling clinical data set coarctation of aorta patient-specific models disease-specific models multiscale modeling
88,WOS:000331442900016,2014,Life Cycle Assessment of a Lithium-Ion Battery Vehicle Pack,"Ellingsen, LAW|Majeau-Bettez, G|Singh, B|Srivastava, AK|Valoen, LO|Stromman, AH",JOURNAL OF INDUSTRIAL ECOLOGY,climate change electric vehicles environmental impact assessment industrial ecology lithium-ion battery transportation
89,WOS:000392286300027,2017,Development of a precise model for prediction of blast-induced flyrock using regression tree technique,"Hasanipanah, M|Faradonbeh, RS|Armaghani, DJ|Amnieh, HB|Khandelwal, M",ENVIRONMENTAL EARTH SCIENCES,blasting flyrock multiple linear regression regression tree sensitivity analysis
90,WOS:000361906400015,2015,Non-parametric methods for global sensitivity analysis of model output with dependent inputs,"Mara, TA|Tarantola, S|Annoni, P",ENVIRONMENTAL MODELLING & SOFTWARE,dependent inputs rosenblatt transformation variance-based sensitivity indices dependent contributions independent contributions iman & conover sampling procedure radionuclide migration
91,WOS:000312878800006,2013,Concurrent treatment of parametric uncertainty and metamodeling uncertainty in robust design,"Zhang, SL|Zhu, P|Chen, W|Arendt, P",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,parametric uncertainty metamodeling uncertainty uncertainty quantification kriging robust design
92,WOS:000397371900025,2017,A bi-level programming approach to the decision problems in a vendor-buyer eco-friendly supply chain,"Wang, MM|Zhang, R|Zhu, XX",COMPUTERS & INDUSTRIAL ENGINEERING,vendor-buyer eco-friendly supply chain bi-level programming environmental protection pricing and ordering differential evolution algorithm
93,WOS:000278741300017,2010,Lead accumulation in Westlake Longjing tea: non-edaphic genesis as revealed by regional scale estimate,"Shi, JC|Wang, G|He, Y|Wu, JJ|Xu, JM",JOURNAL OF SOILS AND SEDIMENTS,geostatistics lead (pb) non-edaphic genesis pollution sources regional scale tea
94,WOS:000360354500056,2015,Analysis of the Environmental Efficiency of the Chinese Transportation Sector Using an Undesirable Output Slacks-Based Measure Data Envelopment Analysis Model,"Song, XW|Hao, YP|Zhu, XD",SUSTAINABILITY,environmental efficiency transportation sector undesirable output sbm-dea model
95,WOS:000165284300005,2000,Structural topology design with multiple thermal criteria,"Li, Q|Steven, GP|Querin, OM|Xie, YM",ENGINEERING COMPUTATIONS,finite element analysis structural optimization heat conduction thermal stress optimality criteria
96,WOS:000173742400003,2002,Quantification on source/receptor relationship of primary pollutants and secondary aerosols from ground sources - Part II. Model description and case study,"Chen, CL|Tsuang, BJ|Pan, RC|Tu, CY|Liu, JH|Huang, PL|Bai, HL|Cheng, MT",ATMOSPHERIC ENVIRONMENT,transfer coefficient trajectory contributed concentration particulate matter sensitivity test taipei dust storm
97,WOS:000232129300007,2005,Context-dependent DEA with an application to Tokyo public libraries,"Chen, Y|Morita, H|Zhu, J",INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,data envelopment analysis (dea) attractiveness efficient evaluation context
98,WOS:000330674700001,2014,Structural Reliability Assessment by Integrating Sensitivity Analysis and Support Vector Machine,"Jiang, SF|Fu, DB|Wu, SY",MATHEMATICAL PROBLEMS IN ENGINEERING,
99,WOS:000223741600032,2004,Technical and economic survey of low enthalpy solar installations for heating sanitary water,"Khiari, B|Mabrouk, SB",DESALINATION,heating sanitary water solar central power installation economic cost mathematical model software survey profitability
100,WOS:000179022800005,2002,Recursive sensitivity analysis for constrained multi-rigid-body dynamic systems design optimization,"Hsu, Y|Anderson, KS",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,multibody dynamics design optimization sensitivity analysis recursive formulation
