# Data from Clarivate Analytics' Web of Science, retrieved 5 December 2018
# This file generated on 2018-12-12 14:21:07
item,id,year,title,AU,SO,DE
4220,WOS:000387686500009,2016,Elimination of the Effects of Low Density Elements in Topology Optimization of Buckling Structures,"Luo, Quantian|Tong, Liyong",INTERNATIONAL JOURNAL OF COMPUTATIONAL METHODS,topology optimization|buckling|local mode|low density element
4221,WOS:000330087600012,2013,COMPARATIVE ANALYSIS OF MUNICIPAL SOLID WASTE SYSTEMS: CRACOW CASE STUDY,"Stypka, Tomasz|Flaga-Maryanczyk, Agnieszka",ENVIRONMENT PROTECTION ENGINEERING,
4222,WOS:000345254600004,2014,"Hydrometric inter-laboratory tests, procedure and applications","Dramais, Guillaume|Blanquart, Bertrand|Le Coz, Jerome|Pierrefeu, Gilles|Hauet, Alexandre|Atmane, Dihia|Pobanz, Karine",HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,hydrometric|uncertainty|laboratory measurement|inter-laboratory comparison
4223,WOS:000418207900064,2017,Particle swarm optimization with fitness adjustment parameters,"Li, Shu-Fen|Cheng, Chen-Yang",COMPUTERS & INDUSTRIAL ENGINEERING,adaptive particle swarm optimization|self-adaptive parameters|fitness performance|free-parameters
4224,WOS:000273063100006,2010,Sensitivity to spatial resolution of modeling systems designing air quality control policies,"Pisoni, Enrico|Carnevale, Claudio|Volta, Marialuisa",ENVIRONMENTAL MODELLING & SOFTWARE,sensitivity analysis|multi-objective optimization|air quality control
4225,WOS:000417391100008,2017,Stability Aware Software Refactoring Using Hybrid Search Based Techniques,"Vimaladevi, M.|Zayaraz, G.",2017 INTERNATIONAL CONFERENCE ON TECHNICAL ADVANCEMENTS IN COMPUTERS AND COMMUNICATIONS (ICTACC),software stability|automated refactoring|search based software engineering|software metrics
4226,WOS:000347654900118,2015,Life cycle assessment of first-generation biofuels using a nitrogen crop model,"Gallejones, P.|Pardo, G.|Aizpurua, A.|del Prado, A.",SCIENCE OF THE TOTAL ENVIRONMENT,biofuels|life cycle assessment (lca)|nitrous oxide (n2o) emissions|modelling|energy crops|greenhouse gas (ghg)
4227,WOS:000376331500005,2016,Gaseous and Freely-Dissolved PCBs in the Lower Great Lakes Based on Passive Sampling: Spatial Trends and Air-Water Exchange,"Liu, Ying|Wang, Siyao|McDonough, Carrie A.|Khairy, Mohammed|Muir, Derek C. G.|Helm, Paul A.|Lohmann, Rainer",ENVIRONMENTAL SCIENCE & TECHNOLOGY,
4228,WOS:000342256100019,2014,Land-use suitability analysis for urban development in Beijing,"Liu, Renzhi|Zhang, Ke|Zhang, Zhijiao|Borthwick, Alistair G. L.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,urban development|land-use suitability|multi-criteria evaluation|ideal point method|ordered weighted averaging|beijing
4229,WOS:000383735300012,2016,Case Study Sensitivity Analysis of Transmission Spectra for Water Contaminant Monitoring,"Lambrakos, S. G.|Yapijakis, C.|Aiken, D.|Shabaev, A.|Ramsey, S.|Peak, J.|VoDinh, T|Lieberman, RA|Gauglitz, GG","ADVANCED ENVIRONMENTAL, CHEMICAL, AND BIOLOGICAL SENSING TECHNOLOGIES XIII",parametric model|transmission spectra|absorption coefficient|water monitoring|ozonation|near-absorption-edge|window of transparency|hyperspectral imaging
4230,WOS:000345372000007,2014,Inaction and climate stabilization uncertainties lead to severe economic risks,"Butler, Martha P.|Reed, Patrick M.|Fisher-Vanden, Karen|Keller, Klaus|Wagener, Thorsten",CLIMATIC CHANGE,
4231,WOS:000380841000003,2016,Experimental observation on factors affecting intrusion volumes during low or negative pressure events,"Yu, Tingchao|Jin, Hanfeng|Zhang, Tuqiao|Shao, Yu|Wu, Xiao",JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA,correction coefficient|intrusion|low or negative pressure events|orifice equation|sensitivity analysis
4232,WOS:000287437100013,2011,"NCNA: Integrated platform for constructing, visualizing, analyzing and sharing human-mediated nitrogen biogeochemical networks","Min, Yong|Gong, Wei|Jin, Xiaogang|Chang, Jie|Gu, Baojing|Han, Zhen|Ge, Ying",ENVIRONMENTAL MODELLING & SOFTWARE,quasi-empirical model|reconstruction|visualization|network environ analysis|urbanization
4233,WOS:000306200600006,2012,Evaluation of the uncertainty in the ozone flux effect modelling: From the experiments to the dose-response relationships,"Gerosa, Giacomo|Finco, Angelo|Marzuoli, Riccardo|Tuovinen, Juha-Pekka",ATMOSPHERIC ENVIRONMENT,ozone dose|ozone effects|vegetation|otc|flux-effects relationship|uncertainty
4234,WOS:000418736700040,2017,Uncertainty Quantification in Scale-Dependent Models of Flow in Porous Media,"Tartakovsky, A. M.|Panzeri, M.|Tartakovsky, G. D.|Guadagnini, A.",WATER RESOURCES RESEARCH,flow in porous media|randomness|uncertainty quantification|scale dependence
4235,WOS:000302827100009,2012,Factors Analysis of Mechanical Properties on AT/EPDM Rubber Composite,"Guo, Hao|Tang, Qingguo|Liang, Jinsheng|Ding, Yan|Wang, Lijuan|Du, Yulong|Liang, JS|Wang, LJ",ADVANCE IN ECOLOGICAL ENVIRONMENT FUNCTIONAL MATERIALS AND ION INDUSTRY III,attapulgite|titanate|epdm|rubber composite|mechanical property
4236,WOS:000413882400004,2017,Characterization of atmospheric black carbon and co-pollutants in urban and rural areas of Spain,"Becerril-Valle, M.|Coz, E.|Prevot, A. S. H.|Mocnik, G.|Pandis, S. N.|de la Campa, A. M. Sanchez|Alastuey, A.|Diaz, E.|Perez, R. M.|Artinano, B.",ATMOSPHERIC ENVIRONMENT,carbonaceous aerosols|black carbon|absorption angstrom exponent|source apportionment|fossil fuel|biomass burning
4237,WOS:000358254600014,2014,Combinatorial Voter Control in Elections,"Chen, Jiehua|Faliszewski, Piotr|Niedermeier, Rolf|Talmon, Nimrod|CsuhajVarju, E|Dietzfelbinger, M|Esik, Z","MATHEMATICAL FOUNDATIONS OF COMPUTER SCIENCE, PT II",
4238,WOS:000333185000026,2014,On-line Signature Verification Method by Laplacian Spectral Analysis and Dynamic Time Warping,"Li, Changting|Peng, Liangrui|Liu, Changsong|Ding, Xiaoqing|Couasnon, B|Ringger, EK",DOCUMENT RECOGNITION AND RETRIEVAL XXI,on-line signature verification|laplacian spectral analysis|dynamic time warping|mobile computing
4239,WOS:000322633600011,2013,An algorithm to estimate aircraft cruise black carbon emissions for use in developing a cruise emissions inventory,"Peck, Jay|Oluwole, Oluwayemisi O.|Wong, Hsi-Wu|Miake-Lye, Richard C.",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,
4240,WOS:000277976100012,2010,Global Sensitivity Analysis Applied to a Contamination Assessment Model of Listeria monocytogenes in Cold Smoked Salmon at Consumption,"Ellouze, Mariem|Gauchi, Jean-Pierre|Augustin, Jean-Christophe",RISK ANALYSIS,listeria monocytogenes|quantitative microbial risk assessment|sensitivity analysis
4241,WOS:000274259300001,2010,Stochastic Calibration of Riverine Water Quality Models,"Parker, Geoff T.|Droste, Ronald L.|Rennie, Colin D.",WATER ENVIRONMENT RESEARCH,water quality|model|uncertainty|calibration|stochastic
4242,WOS:000307140100002,2012,Impact of meteorology and anthropogenic emissions on the local and regional ozone weekend effect in Midwestern US,"Koo, Bonyoung|Jung, Jaegun|Pollack, Alison K.|Lindhjem, Chris|Jimenez, Michele|Yarwood, Greg",ATMOSPHERIC ENVIRONMENT,weekend ozone effect|photochemical grid model|ozone|camx|ddm
4243,WOS:000327837900011,2013,Inverse solution for parameter estimation of computer simulation by an empirical Bayesian code tuning method,"Park, Jeong-Soo|Yoon, Sanghoo|Cox, Dennis D.",INVERSE PROBLEMS IN SCIENCE AND ENGINEERING,calibration|gaussian process metamodel|maximum likelihood estimation|model validation|nuclear fusion device model|posterior probability
4244,WOS:000421348400039,2015,Impact of Data Assimilation on Cost-Accuracy Tradeoff in Multifidelity Models,"Sinsbeck, Michael|Tartakovsky, Daniel M.",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,uncertainty quantification|reduced complexity|stochastic|subsurface|porous media|unsaturated
4245,WOS:000347848900001,2015,Application of the WEPP model to determine sources of run-off and sediment in a forested watershed,"Saghafian, Bahram|Meghdadi, Amin Reza|Sima, Somayeh",HYDROLOGICAL PROCESSES,run-off|sediment yield|wepp model|unit response approach|subwatershed prioritization|kasilian watershed
4246,WOS:000325149600026,2013,Economic Costs of Childhood Lead Exposure in Low- and Middle-Income Countries,"Attina, Teresa M.|Trasande, Leonardo",ENVIRONMENTAL HEALTH PERSPECTIVES,
4247,WOS:000324007200020,2013,Robust optimal dynamic production/pricing policies in a closed-loop system,"Mahmoudzadeh, Mahdi|Sadjadi, Seyed Jafar|Mansour, Saeed",APPLIED MATHEMATICAL MODELLING,closed-loop supply chain|robust optimization|production-pricing|dynamic pricing|quadratic programming|remanufacturing
4248,WOS:000416768600001,2017,Impact of silver ions and silver nanoparticles on the plant growth and soil microorganisms,"Tomacheski, D.|Pittol, M.|Simoes, D. N.|Ribeiro, V. F.|Santana, R. M. C.",GLOBAL JOURNAL OF ENVIRONMENTAL SCIENCE AND MANAGEMENT-GJESM,microbial population|nanoparticles|silver particles|soil health|terrestrial ecotoxicity
4249,WOS:000378662500007,2016,Reliability and sensitivity analysis of the controllable repair system with warm standbys and working breakdown,"Yen, Tseng-Chang|Chen, Wu-Lin|Chen, Jia-Yu",COMPUTERS & INDUSTRIAL ENGINEERING,controllable repair system|relative sensitivity|reliability|sensitivity analysis|station breakdowns
4250,WOS:000337590300001,2013,PLS-Based Multivariate Metamodeling of Dynamic Systems,"Martens, Harald|Tondel, Kristin|Tafintseva, Valeriya|Kohler, Achim|Plahte, Erik|Vik, Jon Olav|Gjuvsland, Arne B.|Omholt, Stig W.|Abdi, H|Chin, WW|Vinzi, VE|Russolillo, G|Trinchera, L",NEW PERSPECTIVES IN PARTIAL LEAST SQUARES AND RELATED METHODS,metamodeling|complex systems|differential equations|time domain metaphors|nonlinear dynamics|multivariate subspace modeling|pls regression|chemometrics
4251,WOS:000418398500003,2017,Use of Multiple Data Assimilation Techniques in Groundwater Contaminant Transport Modeling,"Rajib, Amirul Islam|Assumaning, Godwin Appiah|Chang, Shoou-Yuh|Addai, Elvis Boamah",WATER ENVIRONMENT RESEARCH,ensemble kalman filter|data assimilation|groundwater contamination|modeling|prediction|letkf|getkf
4252,WOS:000412251900027,2017,"Evaluating model complexity in simulating supercritical CO2 dissolution, leakage, footprint, and reservoir pressure for three-dimensional hierarchical aquifer","Zhang, Mingkan|Zhang, Ye|Lichtner, Peter",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,dissolution|fingering|parallel computing|design of experiment|heterogeneity|facies model|complexity
4253,WOS:000274716800003,2010,Examination of the uncertainty in contaminant fate and transport modeling: A case study in the Venice Lagoon,"Sommerfreund, J.|Arhonditsis, G. B.|Diamond, M. L.|Frignani, M.|Capodaglio, G.|Gerino, M.|Bellucci, L. G.|Giuliani, S.|Mugnai, C.",ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,contaminant fate and transport modeling|venice lagoon|uncertainty analysis|multimedia modeling|environmental management
4254,WOS:000378953700003,2016,Model parameter uncertainty analysis for an annual field-scale P loss model,"Bolster, Carl H.|Vadas, Peter A.|Boykin, Debbie",JOURNAL OF HYDROLOGY,annual p loss estimator model (aple)|model uncertainty|confidence intervals|prediction intervals|phosphorus modeling
4255,WOS:000297595300006,2011,Sensitivity analysis of optimum solutions by updating active constraints: application in aircraft structural design,"Baldomir, Aitor|Hernandez, Santiago|Diaz, Jacobo|Fontan, Arturo",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,aircraft|feasible direction|sensitivity|optimum design
4256,WOS:000323276900011,2013,"Climate change trend in China, with improved accuracy","Yue, Tian-Xiang|Zhao, Na|Ramsey, R. Douglas|Wang, Chen-Liang|Fan, Ze-Meng|Chen, Chuan-Fa|Lu, Yi-Min|Li, Bai-Lian",CLIMATIC CHANGE,
4257,WOS:000316437200005,2013,Many objective robust decision making for complex environmental systems undergoing change,"Kasprzyk, Joseph R.|Nataraj, Shanthi|Reed, Patrick M.|Lempert, Robert J.",ENVIRONMENTAL MODELLING & SOFTWARE,multiobjective evolutionary algorithms|robust decision making|interactive visual analytics|uncertainty analysis|water supply|environmental management
4258,WOS:000394254000017,2017,Quantifying the environmental impact of a Li-rich high-capacity cathode material in electric vehicles via life cycle assessment,"Wang, Yuqi|Yu, Yajuan|Huang, Kai|Chen, Bo|Deng, Wensheng|Yao, Ying",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,environmental impact|li-rich cathode|lithium-ion battery|life cycle assessment
4259,WOS:000424574600015,2017,Multipoint Distribution of Saturation for Stochastic Nonlinear Two-Phase Transport,"Ibrahima, Fayadhoi|Tchelepi, Hamdi A.",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,multiphase flow|heterogeneous porous media|stochastic methods|stochastic partial differential equations|buckley leverett equation|multipoint statistics|cdf method|saturation
4260,WOS:000380295700031,2016,CO2 Accounting and Risk Analysis for CO2 Sequestration at Enhanced Oil Recovery Sites,"Dai, Zhenxue|Viswanathan, Hari|Middleton, Richard|Pan, Feng|Ampomah, William|Yang, Changbing|Jia, Wei|Xiao, Ting|Lee, Si-Yong|McPherson, Brian|Balch, Robert|Grigg, Reid|White, Mark",ENVIRONMENTAL SCIENCE & TECHNOLOGY,
4261,WOS:000362618700006,2015,Predictive pressure drop models for membrane channels with non-woven and woven spacers,"Johannink, Matthias|Masilamani, Kannan|Mhamdi, Adel|Roller, Sabine|Marquardt, Wolfgang",DESALINATION,membrane processes|spacer|pressure drop|modeling
4262,WOS:000401881300028,2017,Biopolymer production and end of life comparisons using life cycle assessment,"Hottle, Troy A.|Bilec, Melissa M.|Landis, Amy E.",RESOURCES CONSERVATION AND RECYCLING,bioplastic|waste|lca|compost|recycle|polylactic acid
4263,WOS:000403320300019,2017,Energetic productivity dynamics of global super-giant oilfields,"Masnadi, Mohammad S.|Brandt, Adam R.",ENERGY & ENVIRONMENTAL SCIENCE,
4264,WOS:000418858500006,2017,Direct differentiation of the quasi-incompressible fluid formulation of fluid-structure interaction using the PFEM,"Zhu, Minjie|Scott, Michael H.",COMPUTATIONAL PARTICLE MECHANICS,particle finite element method|fluid-structure interaction|sensitivity analysis
4265,WOS:000329561100008,2014,Watershed model parameter estimation and uncertainty in data-limited environments,"Fonseca, Andre|Ames, Daniel P.|Yang, Ping|Botelho, Cidalia|Boaventura, Rui|Vilar, Vitor",ENVIRONMENTAL MODELLING & SOFTWARE,hspf|glue|monte carlo simulations|watershed modeling|uncertainty assessment|sensitivity analysis
4266,WOS:000331335000028,2014,Augmenting aquatic species sensitivity distributions with interspecies toxicity estimation models,"Awkerman, Jill A.|Raimondo, Sandy|Jackson, Crystal R.|Barron, Mace G.",ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,aquatic toxicology|species sensitivity distributions|species extrapolation|risk assessment
4267,WOS:000209100600006,2012,ITERATIVE METHODS FOR SCALABLE UNCERTAINTY QUANTIFICATION IN COMPLEX NETWORKS,"Surana, Amit|Sahai, Tuhin|Banaszuk, Andrzej",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,collocation|polynomial chaos|graph decomposition|waveform relaxation
4268,WOS:000347756900075,2015,EBP2R-An innovative enhanced biological nutrient recovery activated sludge system to produce growth medium for green microalgae cultivation,"Valuerde-Perez, Borja|Ramin, Elham|Smets, Barth F.|Plosz, Benedek Gy",WATER RESEARCH,wastewater resources management|water|phosphorus and nitrogen recovery|micro-algae cultivation|process modelling|uncertainty and global sensitivity analysis
4269,WOS:000412251900021,2017,Economic assessment of packed bed chemical looping combustion and suitable benchmarks,"Mancuso, Luca|Cloete, Schalk|Chiesa, Paolo|Amini, Shahriar",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,co2 capture and storage|energy penalty|chemical looping combustion|economic assessment|co2 avoidance cost
4270,WOS:000397357100045,2017,End-of-Life in the railway sector: Analysis of recyclability and recoverability for different vehicle case studies,"Delogu, Massimo|Del Pero, Francesco|Berzi, Lorenzo|Pierini, Marco|Bonaffini, Davide",WASTE MANAGEMENT,train|railway|rolling stock|recyclability|recoverability|end-of-life|dismantling
4271,WOS:000301545100004,2012,An integrated sustainability performance assessment and benchmarking of breweries,"Tokos, Hella|Pintaric, Zorka Novak|Krajnc, Damjan",CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,breweries|sustainability assessment|composite sustainability index|benchmarking|sensitivity analysis|process integration
4272,WOS:000366787600010,2015,Estimating the fraction of absorbed photosynthetically active radiation from the MODIS data based GLASS leaf area index product,"Xiao, Zhiqiang|Liang, Shunlin|Sun, Rui|Wang, Jindi|Jiang, Bo",REMOTE SENSING OF ENVIRONMENT,glass products|fapar|lai|validation
4273,WOS:000293337000011,2011,Variations of UV irradiance at Antarctic station Concordia during the springs of 2008 and 2009,"Vitale, Vito|Petkov, Boyan|Goutail, Florence|Lanconelli, Christian|Lupi, Angelo|Mazzola, Mauro|Busetto, Maurizio|Pazmino, Andrea|Schioppo, Riccardo|Genoni, Laura|Tomasi, Claudio",ANTARCTIC SCIENCE,ozone depletion|radiation amplification factor|solar uv irradiance|uv index|uv models
4274,WOS:000311506900019,2013,Optimization methodology based on neural networks and self-adaptive differential evolution algorithm applied to an aerobic fermentation process,"Dragoi, Elena-Niculina|Curteanu, Silvia|Galaction, Anca-Irina|Cascaval, Dan",APPLIED SOFT COMPUTING,differential evolution|neural network topology|optimization|sensitivity analysis|fermentation process
4275,WOS:000401880100040,2017,Projecting biodiversity and wood production in future forest landscapes: 15 key modeling considerations,"Felton, Adam|Ranius, Thomas|Roberge, Jean-Michel|Ohman, Karin|Lamas, Tomas|Hynynen, Jari|Juutinen, Artti|Monkkonen, Mikko|Nilsson, Urban|Lundmark, Tomas|Nordin, Annika",JOURNAL OF ENVIRONMENTAL MANAGEMENT,forest dynamics|population models|natural resource management|discounting|virtual species|sensitivity analysis
4276,WOS:000298270300021,2011,Global multiquadric collocation method for groundwater contaminant source identification,"Li, Zi|Mao, Xian-zhong",ENVIRONMENTAL MODELLING & SOFTWARE,groundwater|contaminant source identification|inverse problem|radial basis collocation method|global space-time multiquadric method|sensitivity analysis
4277,WOS:000291458300007,2011,Sensitivity analysis and comparison of algorithms in preventive maintenance and replacement scheduling optimization models,"Moghaddam, Kamran S.|Usher, John S.",COMPUTERS & INDUSTRIAL ENGINEERING,preventive maintenance and replacement scheduling|optimization models|multi-component systems|sensitivity analysis|comparison of algorithms
4278,WOS:000401201900009,2017,Decoupling the lock-in effect between economic growth and CO2 emissions by structure adjustment: A final demand perspective,"Chang, Ning|Li, Ziyan",JOURNAL OF CLEANER PRODUCTION,co2 emissions|linkage analysis|sensitivity analysis|programming model|china
4279,WOS:000414818000049,2017,"An optimization model for collection, haul, transfer, treatment and disposal of infectious medical waste: Application to a Greek region","Mantzaras, Gerasimos|Voudrias, Evangelos A.",WASTE MANAGEMENT,infectious medical waste management|optimization model|cost minimization|transfer stations|infectious medical waste treatment
4280,WOS:000318289800006,2013,Dynamic factor analysis and artificial neural network for estimating pan evaporation at multiple stations in northern Taiwan,"Chang, F. J.|Sun, W.|Chung, C. H.",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,pan evaporation|artificial neural network|dynamic factor analysis|back-propagation neural network|meteorological stations
4281,WOS:000355759200002,2015,Probabilistic measures for assessing appropriateness of robust design optimization solutions,"Medina, Juan Camilo|Taflanidis, Alexandros",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,robust design optimization|probability of dominance|uncertainty quantification|model prediction error|probabilistic design
4282,WOS:000394987700003,2017,Error estimation of load identification based on linear sensitivity analysis and interval technique,"Song, Haiyang|Yu, Kaiping|Li, Xiangyang|Han, Jingyong",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,error estimation|load identification|statistical energy analysis|interval perturbation approach
4283,WOS:000284355400012,2010,Receiving water quality assessment: comparison between simplified and detailed integrated urban modelling approaches,"Mannina, Giorgio|Viviani, Gaspare",WATER SCIENCE AND TECHNOLOGY,mathematical modelling|river water quality|sensitivity analysis|uncertainty analysis|urban drainage integrated modelling
4284,WOS:000348929800036,2015,Assessing the impact of different sources of topographic data on 1-D hydraulic modelling of floods,"Ali, A. Md|Solomatine, D. P.|Di Baldassarre, G.",HYDROLOGY AND EARTH SYSTEM SCIENCES,
4285,WOS:000288879500009,2010,Parameter Sensitivity Analysis of Vibration Reduction of Double Layer Spherical Shell with Viscous Damper,"Li Yujie, |Wei Jianguo, |Sun, JH|Han, HL|Zhang, H",CIVIL ENGINEERING IN CHINA - CURRENT PRACTICE AND RESEARCH REPORT,double layer spherical shell|viscous damper|energy dissipation and vibration reduction|parameter analysis
4286,WOS:000387807200103,2016,Importance of vegetation classes in modeling CH4 emissions from boreal and subarctic wetlands in Finland,"Li, Tingting|Raivonen, Maarit|Alekseychik, Pavel|Aurela, Mika|Lohila, Annalea|Zheng, Xunhua|Zhang, Qing|Wang, Guocheng|Mammarella, Ivan|Rinne, Janne|Yu, Lijun|Xie, Baohua|Vesala, Timo|Zhang, Wen",SCIENCE OF THE TOTAL ENVIRONMENT,ch4mod(wetland)|methane
4287,WOS:000401110400018,2017,"Stream heat budget modeling with HFLUX: Model development, evaluation, and applications across contrasting sites and seasons","Glose, AnneMarie|Lautz, Laura K.|Baker, Emily A.",ENVIRONMENTAL MODELLING & SOFTWARE,stream temperature|matlab|sensitivity analysis|distributed temperature sensing
4288,WOS:000297961500002,2012,Stochastic subset optimization incorporating moving least squares response surface methodologies for stochastic sampling,"Taflanidis, Alexandros A.",ADVANCES IN ENGINEERING SOFTWARE,stochastic design|stochastic subset optimization|stochastic simulation|response surface methodologies|moving least squares|relative information entropy
4289,WOS:000213796800017,2013,Selecting Parameters for Bayesian Calibration of a Process-Based Model: A Methodology Based on Canonical Correlation Analysis,"Minunno, F.|van Oijen, M.|Cameron, D. R.|Pereira, J. S.",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,sensitivity analysis|parameter screening|canonical correlation analysis|bayesian calibration
4290,WOS:000277447500011,2010,partDSA: deletion/substitution/addition algorithm for partitioning the covariate space in prediction,"Molinaro, Annette M.|Lostritto, Karen|van der Laan, Mark",BIOINFORMATICS,
4291,WOS:000344963500019,2014,The challenge of modelling nitrogen management at the field scale: simulation and sensitivity analysis of N2O fluxes across nine experimental sites using DailyDayCent,"Fitton, N.|Datta, A.|Hastings, A.|Kuhnert, M.|Topp, C. F. E.|Cloy, J. M.|Rees, R. M.|Cardenas, L. M.|Williams, J. R.|Smith, K.|Chadwick, D.|Smith, P.",ENVIRONMENTAL RESEARCH LETTERS,dailydaycent|nitrous oxide emissions|sensitivity and uncertainty analysis|monte-carlo simulations|uk croplands and grasslands
4292,WOS:000371059600003,2016,Uncertainty propagation in orbital mechanics via tensor decomposition,"Sun, Yifei|Kumar, Mrinal",CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,space situational awareness|orbital mechanics|tensor decomposition|fokker-planck equation|uncertainty quantification|curse of dimensionality|stochastic modeling
4293,WOS:000333684400015,2014,Using remote sensing to enhance modelling of fine sediment dynamics in the Dutch coastal zone,"Kamel, A. M. Y.|El Serafy, G. Y.|Bhattacharya, B.|van Kessel, T.|Solomatine, D. P.",JOURNAL OF HYDROINFORMATICS,dutch coast|sediment dynamics|sensitivity analysis|uncertainty analysis remote sensing
4294,WOS:000335542900016,2014,Random network models and sensitivity algorithms for the analysis of ordering time and inventory state in multi-stage supply chains,"Li, Chong|Liu, Sifeng",COMPUTERS & INDUSTRIAL ENGINEERING,supply chain networks|ordering time distribution|inventory management|sensitivity analysis
4295,WOS:000298905300028,2012,Biochemical Kinetics of Cross flow Membrane Bioreactor Processes in the Treatment of Refinery Wastewater,"Rahman, M. M.|Al-Malack, M. H.",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,refinery wastewater|cross flow|membrane bioreactor|biokinetic coefficient|monod equation
4296,WOS:000391822700007,2016,Multi-criteria Satisfaction Assessment of the Spatial Distribution of Urban Emergency Shelters Based on High-Precision Population Estimation,"Yu, Jia|Wen, Jiahong",INTERNATIONAL JOURNAL OF DISASTER RISK SCIENCE,population estimation|shanghai|spatial distribution|urban emergency shelters
4297,WOS:000349899200010,2015,A practical approach for uncertainty quantification of high-frequency soil respiration using Forced Diffusion chambers,"Lavoie, Martin|Phillips, C. L.|Risk, David",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,soil respiration|variability|uncertainty|kurtosis|measurement error|random error
4298,WOS:000378703200010,2016,Effect of climate data on simulated carbon and nitrogen balances for Europe,"Blanke, Jan Hendrik|Lindeskog, Mats|Lindstrom, Johan|Lehsten, Veiko",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,climate data|sensitivity|dgvm|lpj-guess|spatial resolution|downscaling
4299,WOS:000298618300013,2012,Prediction of time variation of scour depth around spur dikes using neural networks,"Karami, Hojat|Ardeshir, Abdollah|Saneie, Mojtaba|Salamatian, S. Amin",JOURNAL OF HYDROINFORMATICS,artificial neural networks|maximum scour depth|spur dike|time development of scouring
4300,WOS:000290016400013,2011,Seasonal evaluation of the land surface scheme HTESSEL against remote sensing derived energy fluxes of the Transdanubian region in Hungary,"Wipfler, E. L.|Metselaar, K.|van Dam, J. C.|Feddes, R. A.|van Meijgaard, E.|van Ulft, L. H.|van den Hurk, B.|Zwart, S. J.|Bastiaanssen, W. G. M.",HYDROLOGY AND EARTH SYSTEM SCIENCES,
4301,WOS:000419147303061,2017,Developing and Validating Simplified Predictive Models for CO2 Geologic Sequestration,"Mishra, Srikanta|Ganesh, Priya Ravi|Schuetter, Jared|Dixon, T|Laloui, L|Twinning, S","13TH INTERNATIONAL CONFERENCE ON GREENHOUSE GAS CONTROL TECHNOLOGIES, GHGT-13",co2 sequestration|reduced-order model|simplified physics|statistical learning|box-behnken|lhs|uncertainty analysis
4302,WOS:000388601200001,2016,Relationship between irrigation water demand and yield of selected crops in Germany between 1902 and 2010: a modeling study,"Drastig, Katrin|Libra, Judy|Kraatz, Simone|Koch, Hagen",ENVIRONMENTAL EARTH SCIENCES,germany|irrigation water demand|agrohyd farmmodel|agricultural yield|potato|wheat|barley|oat
4303,WOS:000284747000026,2010,On conflict and cooperation in a two-echelon inventory model for deteriorating items,"Lin, Yi-Hsu|Lin, Chinho|Lin, Binshan",COMPUTERS & INDUSTRIAL ENGINEERING,eoq|deterioration|joint inventory model|cooperative policy
4304,WOS:000312386000035,2012,"Modelling of Impact of Detritus on Detritivorous Food Chain of Sundarban Mangrove Ecosystem, India","Roy, Madhumita|Ray, Santanu|Ghosh, Phani Bhusan|Yang, Z|Chen, B",18TH BIENNIAL ISEM CONFERENCE ON ECOLOGICAL MODELLING FOR GLOBAL CHANGE AND COUPLED HUMAN AND NATURAL SYSTEM,calibration|detritivorous fish|mangrove estuary|food web|simulation|phytoplankton|nutrient|sensitivity analysis
4305,WOS:000404127800137,2017,What Is a Sustainable Level of Timber Consumption in the EU: Toward Global and EU Benchmarks for Sustainable Forest Use,"O'Brien, Meghan|Bringezu, Stefan",SUSTAINABILITY,monitoring|global land use|safe operating space|sustainable consumption and production|targets|resource management
4306,WOS:000336397100025,2014,Streamflow modeling in a fluctuant climate using SWAT: Yass River catchment in south eastern Australia,"Saha, Partha Pratim|Zeleke, Ketema|Hafeez, Mohsin",ENVIRONMENTAL EARTH SCIENCES,swat|streamflow|hydrological modeling|australia|water balance|parasol
