,AU,DE,DOI,SO,abstract,copyright,id,keywords,title,year
16,"Kaya, H|Kaplan, M|Saygin, H",multivariate analysis high dimensional model representation sensitivity analysis,10.1016/j.comphy.2003.12.005,COMPUTER PHYSICS COMMUNICATIONS,"High Dimensional Model Representation (HDMR) is an efficient technique which decomposes a multivariate function into a constant, univariate, bivariate functions and so on. These functions are forced to be mutually orthogonal by means of an orthogonality condition. The technique which is generally used for high-dimensional input-output systems can be applied to various disciplines including sensitivity analysis, differential equations, inversion of data and so on. In this article we present a computer program that computes individual components of HDMR resolution of a given multivariate function. The program also calculates the global sensitivity indices. Lastly the results of the numerical experiments for different set of functions are introduced.", (C) 2004 Elsevier B.V. All rights reserved.,WOS:000220551400003,DIMENSIONAL MODEL REPRESENTATIONS UNCERTAINTY,A recursive algorithm for finding HDMR terms for sensitivity analysis,2004
17,"Sikorski, JJ|Brownbridge, G|Garud, SS|Mosbach, S|Karimi, IA|Kraft, M",process flow sheet model parameterisation biodiesel sensitivity analysis,10.1016/j.compchemeng.2016.06.019,COMPUTERS & CHEMICAL ENGINEERING,"This paper presents results of parameterisation of typical input-output relations within process flow sheet of a biodiesel plant and assesses parameterisation accuracy. A variety of scenarios were considered: , ,  and  input variables (such as feed flow rate or a heater's operating temperature) were changed simultaneously,  domain sizes of the input variables were considered and  different surrogates (polynomial and high dimensional model representation (HDMR) fitting) were used. All considered outputs were heat duties of equipment within the plant. All surrogate models achieved at least a reasonable fit regardless of the domain size and number of dimensions. Global sensitivity analysis with respect to  inputs indicated that only  or fewer inputs had significant influence on any one output. Interaction terms showed only minor effects in all of the cases. (C) ", Elsevier Ltd. All rights reserved.,WOS:000386248700010,ALGAE-DERIVED BIODIESEL METAMODEL GENERATION COMPUTER EXPERIMENTS SENSITIVITY-ANALYSIS CO2 CAPTURE COAGULATION PROCESSES PROCESS OPTIMIZATION SPACE EXPLORATION SURROGATE MODELS DESIGN,Parameterisation of a biodiesel plant process flow sheet model,2016
18,"Menz, WJ|Brownbridge, GPE|Kraft, M",silicon parameter estimation high dimensional model representation population balance,10.1016/j.jaerosci.2014.06.011,JOURNAL OF AEROSOL SCIENCE,"This paper presents a global sensitivity analysis of the detailed population balance model for silicon nanoparticle synthesis of Menz & Kraft [a, A new model for silicon nanoparticle synthesis, Combustion & Flame, :-. The model consists of a gas-phase kinetic model, fully coupled with a particle population balance. The sensitivity of the model to its seven adjusted parameters was analysed in this work using a High Dimensional Model Representation (HDMR). An algorithm is implemented to generate response surface polynomials with automatically selected order based on their coefficient of determination. A response surface is generated for  different experimental cases across a range of process conditions and reactor configurations. This enables the sensitivity of individual experiments to certain parameters to be assessed. The HDMR reveals that particle size was most sensitive to the heterogeneous growth process, while the particle size distribution width is also strongly dependent on the rate of nucleation. (C) ", Elsevier Ltd. All rights reserved.,WOS:000342541100016,POPULATION BALANCE MODEL NARROW SIZE DISTRIBUTION EFFICIENT STOCHASTIC ALGORITHM CHEMICAL-VAPOR-DEPOSITION LASER-DRIVEN REACTIONS THERMAL-DECOMPOSITION AEROSOL SYNTHESIS COAGULATION PROCESSES PARAMETER-ESTIMATION PARTICLE FORMATION,Global sensitivity analysis of a model for silicon nanoparticle synthesis,2014
19,"Li, LY|Lu, ZZ",correlated inputs high dimensional model representation variance contribution independent contribution correlated contribution state dependent parameter method,10.1007/s00158-017-1699-z,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,"Sensitivity analysis is indispensable to structural design and optimization. This paper focuses on sensitivity analysis for models with correlated inputs. To explore the contributions of correlated inputs to the uncertainty in a model output, the universal expressions of the variance contributions of the correlated inputs are first derived in the paper based on the high dimensional model representation (HDMR) of the model function. Then by analyzing the composition of these variance contributions, the variance contributions by an individual correlated input to the model output are further decomposed into independent contribution by the individual input itself, independent contribution by interaction between the individual input and the others, contribution purely by correlation between the individual input and the others, and contribution by interaction associated with correlation between the individual input and the others. The general expressions of these components are also derived. Based on the characteristics of these general expressions, a universal framework for estimating the various variance contributions of the correlated inputs is developed by taking the efficient state dependent parameter (SDP) method as an illustration. Numerical and engineering tests show that this decomposition of the variance contributions of the correlated inputs can provide useful information for exploring the sources of the output uncertainty and identifying the structure of the model function for the complicated models with correlated inputs. The efficiency and accuracy of the SDP-based method for estimating the various variance contributions of the correlated inputs are also demonstrated by the examples.",,WOS:000409350400013,UNCERTAINTY IMPORTANCE MEASURE MATHEMATICAL-MODELS COMPONENT FUNCTIONS RS-HDMR INDEXES OPTIMIZATION INTEGRATION VARIABLES,Variance-based sensitivity analysis for models with correlated inputs and its state dependent parameter solution,2017
20,"Wang, S|Jaffe, PR|Li, G|Wang, SW|Rabitz, HA",bioremediation groundwater modeling uncertainty analysis uranium,10.1016/S0169-7722(02)00230-9,JOURNAL OF CONTAMINANT HYDROLOGY,"Bioremediation of trace metals and radionuclides in groundwater may require the manipulation of redox conditions via the injection of a carbon source. For example, after nitrate has been reduced, soluble U(VI) can be reduced simultaneously with other electron acceptors such as Fe(Ill) or sulfate to U(IV), which may precipitate as a solid (uraninite). To simulate the numerous biogeochemical processes that will occur during the bioremediation of trace-metal-contaminated aquifers, a time-dependent one-dimensional reactive transport model has been developed. The model consists of a set of coupled mass balance equations, accounting for advection, hydrodynamic dispersion, and a kinetic formulation of the biological or chemical transformations affecting an organic substrate, electron acceptors, corresponding reduced species, and trace metal contaminants of interest, uranium in this study. This set of equations is solved numerically, using a finite difference approximation. The redox conditions of the domain are characterized by estimating the pE, based on the concentration of the dominant terminal electron acceptor and its corresponding reduced species. This pE and the concentrations of relevant species are then used by a modified version of MINTEQA, which calculates the speciation/sorption and precipitation/dissolution of the species of interest under equilibrium conditions. Kinetics of precipitation/dissolution processes are described as being proportional to the difference between the actual and calculated equilibrium concentration. A global uncertainty assessment, determined by Random Sampling High Dimensional Model Representation (RS-HDMR), was performed to attain a phenomenological understanding of the origins of output variability and to suggest input parameter refinements as well as to provide guidance for field experiments to improve the quality of the model predictions. By decomposing the model output variance into its different input contributions, RS-HDMR can identify the model inputs with the most influence on various model outputs, as well as their behavior pattern on the model output. Simulations are performed to illustrate the effect of biostimulation on the fate of uranium in a saturated aquifer, and to identify the key processes that need to be characterized with the highest accuracy prior to designing a uranium bioremediation scheme.", (C) 2003 Elsevier Science B.V. All rights reserved.,WOS:000183816200008,HETEROGENEOUS CHEMICAL-REACTIONS MULTICOMPONENT MASS-TRANSPORT SUBSURFACE ENVIRONMENTS NUMERICAL ALGORITHM REACTIVE TRANSPORT SOLUTE TRANSPORT REDOX CHEMISTRY COUPLED MODEL POROUS-MEDIA REPRESENTATIONS,Simulating bioremediation of uranium-contaminated aquifers; uncertainty assessment of model parameters,2003
21,"Wang, H|Chen, LM|Ye, F|Chen, L",composite spring-back variable stiffness global sensitivity analysis rs-hdmr d-morph,10.1007/s00158-017-1681-9,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,"This study presents a quantitative sensitivity analysis for the assessment of fiber reinforced composites (FRCs). Global sensitivity analysis (GSA) approach is based on the variance based method incorporating Random Sampling-High Dimensional Model Representation (RS-HDMR) expansion in which component functions are determined by diffeomorphic modulation under observable response preserving homotopy (D-MORPH) regression. The advantage of the D-MORPH regression lies in its capability to solve linear algebraic equations with a limited number of sample points. The main purpose is to investigate the influence of fiber path, regarded as the design variable, on the formability and structural performance of FRCs. Wherein, spring-back and load-carrying capacity are two meaningful problems to be addressed. Two typical FRCs are included that an L-shaped part with straight fiber path using autoclave manufacturing process and a variable stiffness composite cylindrical shell under pure bending. The work not only focuses on the ranking of design variables but also hopes to find out their interactions represented by the second order global sensitivity indexes. After being tested by three typical numerical functions, the GSA algorithm highlights that spring-back of FRC using autoclave manufacturing process is most sensitive to fiber orientation angles on plies close to the tool. And buckling performance of the VS cylinder is dominated by fiber orientation angles at compression/tension regions.",,WOS:000406604700013,DIMENSIONAL MODEL REPRESENTATIONS PLATES UNCERTAINTY DESIGN OPTIMIZATION PARAMETERS REGRESSION,Global sensitivity analysis for fiber reinforced composite fiber path based on D-MORPH-HDMR algorithm,2017
22,"Song, SF|Wang, L",global sensitivity analysis high dimensional model representation (hdmr) group method of data handling (gmdh) algorithm neural network (nn) sobol' sensitivity indices,10.1016/j.jcp.2017.07.027,JOURNAL OF COMPUTATIONAL PHYSICS,"Global sensitivity analysis (GSA) is a very useful tool to evaluate the influence of input variables in the whole distribution range. Sobol' method is the most commonly used among variance-based methods, which are efficient and popular GSA techniques. High dimensional model representation (HDMR) is a popular way to compute Sobol' indices, however, its drawbacks cannot be ignored. We show that modified GMDH-NN algorithm can calculate coefficients of metamodel efficiently, so this paper aims at combining it with HDMR and proposes GMDH-HDMR method. The new method shows higher precision and faster convergent rate. Several numerical and engineering examples are used to confirm its advantages.", (C) 2017 Elsevier Inc. All rights reserved.,WOS:000410899200026,COMPONENT FUNCTIONS RS-HDMR INDEXES,Modified GMDH-NN algorithm and its application for global sensitivity analysis,2017
23,"Kubicek, M|Minisci, E|Cisternino, M",sensitivity analysis uncertainty quantification high dimensional space cut-hdmr,10.1615/Int.J.UncertaintyQuantification.2015012033,INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,"In this paper, a new non-intrusive method for the propagation of uncertainty and sensitivity analysis is presented. The method is based on the cut-HDMR approach, which is here derived in a different way and new conclusions are presented. The cut-HDMR approach decomposes the stochastic space into sub-domains, which are separately interpolated via a selected interpolation technique. This leads to a dramatic reduction of necessary samples for high dimensional spaces and decreases the influence of the Curse of Dimensionality. The proposed non-intrusive method is based on the coupling of an interpolation technique with the cut-HDMR (high dimension model representation) approach. The new conclusions obtained from the new derivation of the cut-HDMR approach allow one to interpolate each stochastic domain separately, including all stochastic variables and interactions between variables. Moreover, the same conclusions allow one to neglect non-important stochastic domains and therefore, drastically reduce the number of samples to detect and interpolate the higher order interactions. A new sampling strategy is introduced, which is based on a tensor product, but it uses the idea of Smoylak sparse grid for higher domains. For this work, the multi-dimensional Lagrange interpolation technique is selected and is applied for all parts of the cut-HDMR approach. However, the nature of the method allows one to use a combination of various interpolation techniques. The sensitivity analysis is performed on the surrogate model using the Monte Carlo sampling. In this work, the Sobol's approach is followed and sensitivity indices are established for each variable and interaction. Moreover, due to the obtained conclusions, the separate surrogate models allow one to visualize the uncertainty in the high dimensional space via histograms. The usage of a histogram for each stochastic domain allows one to establish full statistical properties of a given stochastic domain. This helps the user to better understand the stochastic propagation for the model of interest. The proposed interpolation technique and sensitivity analysis approach are tested on a simple example and applied on the well-known Borehole problem. Results of the proposed method are compared to the Monte Carlo sampling using the mean value and the standard deviation. Results of the sensitivity analysis of the Borehole case are compared to the literature results and the statistical visualization of each variable is provided.",,WOS:000364104200001,IDENTIFY IMPORTANT FACTORS LARGE-SCALE SIMULATIONS STATISTICAL-ANALYSES POLYNOMIAL CHAOS SPARSE GRIDS SCATTERPLOTS,HIGH DIMENSIONAL SENSITIVITY ANALYSIS USING SURROGATE MODELING AND HIGH DIMENSIONAL MODEL REPRESENTATION,2015
24,"Ma, X|Zabaras, N",stochastic partial differential equations flow in porous media stochastic multiscale method mixed finite element method high dimensional model representation stochastic collocation method sparse grids adaptivity,10.1016/j.jcp.2011.03.001,JOURNAL OF COMPUTATIONAL PHYSICS,"A computational methodology is developed to efficiently perform uncertainty quantification for fluid transport in porous media in the presence of both stochastic permeability and multiple scales. In order to capture the small scale heterogeneity, a new mixed multiscale finite element method is developed within the framework of the heterogeneous multiscale method (HMM) in the spatial domain. This new method ensures both local and global mass conservation. Starting from a specified covariance function, the stochastic log-permeability is discretized in the stochastic space using a truncated Karhunen-Loeve expansion with several random variables. Due to the small correlation length of the covariance function, this often results in a high stochastic dimensionality. Therefore, a newly developed adaptive high dimensional stochastic model representation technique (HDMR) is used in the stochastic space. This results in a set of low stochastic dimensional subproblems which are efficiently solved using the adaptive sparse grid collocation method (ASGC). Numerical examples are presented for both deterministic and stochastic permeability to show the accuracy and efficiency of the developed stochastic multiscale method.", (C) 2011 Elsevier Inc. All rights reserved.,WOS:000291125400018,PARTIAL-DIFFERENTIAL-EQUATIONS RANDOM INPUT DATA ELLIPTIC PROBLEMS COLLOCATION METHOD MULTIPHASE FLOW VOLUME METHOD OSCILLATING COEFFICIENTS HOMOGENIZATION PROBLEMS RESERVOIR SIMULATION TRANSPORT,A stochastic mixed finite element heterogeneous multiscale method for flow in porous media,2011
25,"Ma, X|Zabaras, N",stochastic partial differential equations high-dimensional model representation stochastic collocation method sparse grids random heterogeneous media,10.1016/j.jcp.2010.01.033,JOURNAL OF COMPUTATIONAL PHYSICS,"A computational methodology is developed to address the solution of high-dimensional stochastic problems. It utilizes high-dimensional model representation (HDMR) technique in the stochastic space to represent the model output as a finite hierarchical correlated function expansion in terms of the stochastic inputs starting from lower-order to higher-order component functions HDMR is efficient at capturing the high-dimensional input-output relationship such that the behavior for many physical systems can be modeled to good accuracy only by the first few lower-order terms An adaptive version of HDMR is also developed to automatically detect the important dimensions and construct higher-order terms using only the important dimensions The newly developed adaptive sparse grid collocation (ASGC) method is incorporated into HDMR to solve the resulting sub-problems By integrating HDMR and ASGC, it is computationally possible to construct a low-dimensional stochastic reduced-order model of the high-dimensional stochastic problem and easily perform various statistic analysis on the output. Several numerical examples involving elementary mathematical functions and fluid mechanics problems are considered to illustrate the proposed method The cases examined show that the method provides accurate results for stochastic dimensionality as high as  even with large-input variability The efficiency of the proposed method is examined by comparing with Monte Carlo (MC) simulation (C)  Elsevier Inc All rights reserved",,WOS:000276784300018,RANDOM INPUT DATA VARIATIONAL MULTISCALE METHOD RANDOM POROUS-MEDIA HETEROGENEOUS MEDIA COLLOCATION METHOD MULTIDIMENSIONAL INTEGRATION UNCERTAINTY ANALYSIS NATURAL-CONVECTION POLYNOMIAL CHAOS TRANSPORT MODELS,An adaptive high-dimensional stochastic model representation technique for the solution of stochastic partial differential equations,2010
26,"Balakrishnan, S|Roy, A|Ierapetritou, MG|Flach, GP|Georgopoulos, PG",mathematical methods statistical analysis hydrology computer programs data processing,10.1016/j.hydrol.2004.10.010,JOURNAL OF HYDROLOGY,"This work presents a comparative assessment of efficient uncertainty modeling techniques, including Stochastic Response Surface Method (SRSM) and High Dimensional Model Representation (HDMR). This assessment considers improvement achieved with respect to conventional techniques of modeling uncertainty (Monte Carlo). Given that traditional methods for characterizing uncertainty are very computationally demanding, when they are applied in conjunction with complex environmental fate and transport models, this study aims to assess how accurately these efficient (and hence viable) techniques for uncertainty propagation can capture complex model output uncertainty. As a part of this effort, the efficacy of HDMR, which has primarily been used in the past as a model reduction tool, is also demonstrated for uncertainty analysis. The application chosen to highlight the accuracy of these new techniques is the steady state analysis of the groundwater flow in the Savannah River Site General Separations Area (GSA) using the subsurface Flow And Contaminant Transport (FACT) code. Uncertain inputs included three-dimensional hydraulic conductivity fields, and a two-dimensional recharge rate field. The output variables under consideration were the simulated stream baseflows and hydraulic head values. Results show that the uncertainty analysis outcomes obtained using SRSM and HDMR are practically indistinguishable from those obtained using the conventional Monte Carlo method, while requiring orders of magnitude fewer model simulations.", (c) 2004 Elsevier B.V. All rights reserved.,WOS:000229808300014,RESPONSE-SURFACE METHOD BIOLOGICAL-SYSTEMS CHEMICAL-KINETICS,A comparative assessment of efficient uncertainty analysis techniques for environmental fate and transport models: application to the FACT model,2005
27,"Luo, XP|Lu, ZZ|Xu, X",high-dimensional function estimation high-dimensional model representations (hdmr) radial basis function (rbf) interpolation reproducing kernel hilbert space (rkhs) modeling,10.1016/j.cpc.2014.07.021,COMPUTER PHYSICS COMMUNICATIONS,"An easy and effective approach is proposed to estimate the arbitrary l order HDMR approximations for complex high dimensional physical systems on the basis of the reproducing kernel Hilbert space (RKHS). With the help of Fourier transform and Dirac delta function, the corresponding explicit reproducing kernel K (x, y) is first constructed to approximate the HDMR approximations by a linear combination of K (x, y). Then the computation of the l order HDMR approximations can be given in the form of solving a system of linear equations. It can be strictly proved that this linear system is just another equivalent definition of the lth order HDMR approximations by using the corresponding reproducing kernel. And the numerical examples provide a practical evidence for the rationality and effectiveness of the proposed approach.", (c) 2014 Elsevier B.V. All rights reserved.,WOS:000344824900005,SENSITIVITY-ANALYSIS ALGORITHM OUTPUT,Reproducing kernel technique for high dimensional model representations (HDMR),2014
28,"Banerjee, I|Ierapetritou, MG",parametric programming process synthesis hdmr,10.1016/S0098-1354(03)00096-6,COMPUTERS & CHEMICAL ENGINEERING,"This paper presents a new approach towards parametric analysis of MINLP models in the context of process synthesis problems under uncertainty. The approach is based on the idea of High Dimensional Model Representation technique which utilize a reduced number of model runs to build an uncertainty propagation model that expresses the variability of optimal solution in the uncertain space. Based on this idea, a systematic procedure is developed where in the first step the possible changes in the optimal design configurations due to parametric uncertainty are identified. In the next step, the variability of optimal solution with parameter uncertainty for each design is captured. Having obtained a parametric expression of optimal objective for each design, the optimal solution can be determined by comparing the solutions for different designs. The proposed approach provides information about variation of the optimal objective and optimal design configuration over the entire uncertain space. This information can then be judiciously utilized in any decision making depending on specific process requirements. The main advantage of the proposed approach is that it does not depend on the nature or existence of a mathematical model to describe the input-output relationship of the process.", (C) 2003 Elsevier Science Ltd. All rights reserved.,WOS:000184994500011,CHEMICAL-KINETICS OPTIMIZATION UNCERTAINTY,Parametric process synthesis for general nonlinear models,2003
29,"Ziehn, T|Tomlin, AS",global sensitivity analysis high dimensional model representation random sampling matlab software graphical user interface,10.1016/j.envsoft.2008.12.002,ENVIRONMENTAL MODELLING & SOFTWARE,"The high dimensional model representation (HDMR) method is a set of tools which can be used to construct a fully functional metamodel and to calculate variance based sensitivity indices very efficiently. Extensions to the existing set of random sampling (RS)-HDMR tools have been developed in order to make the method more applicable for complex models with a large number of input parameters as often appear in environmental modelling. The HDMR software described here combines the RS-HDMR tools and its extensions in one Matlab package equipped with a graphical user interface (GUI). This makes the HDMR method easily available for all interested users. The performance of the GUI-HDMR software has been tested in this paper using two analytical test models, the Ishigami function and the Sobol' g-function. In both cases the model is highly non-linear, non-monotonic and has significant parameter interactions. The developed GUI-HDMR software copes very well with the test cases and sensitivity indices of first and second order could be calculated accurately with only low computational effort. The efficiency of the software has also been compared against other recently developed approaches and is shown to be competitive. GUI-HDMR can be applied to a wide range of applications in all fields, because in principle only one random or quasi-random set of input and output values is required to estimate all sensitivity indices up to second order. The size of the set of samples is however dependent on the problem and can be successively increased if additional accuracy is required. A brief description of its application within a range of modelling environments is given. (C) ", Elsevier Ltd. All rights reserved.,WOS:000265341800001,STREET CANYON MODEL ENVIRONMENTAL-MODELS RS-HDMR REPRESENTATIONS UNCERTAINTY PARAMETERS INDEXES OUTPUT,GUI-HDMR - A software tool for global sensitivity analysis of complex models,2009
30,"Ziehn, T|Dixon, NS|Tomlin, AS",global sensitivity analysis high dimensional model representation hdmr no2 ozone lagrangian structure function coefficient,10.1016/j.atmosenv.2009.07.060,ATMOSPHERIC ENVIRONMENT,"A combined Lagrangian stochastic model with micro-mixing and chemical sub-models is used to investigate a reactive plume of nitrogen oxides (NO.) released into a turbulent grid flow doped with ozone (O-). Sensitivities to the model input parameters are explored for different source NOx scenarios. The wind tunnel experiments of Brown and Bilger () provide the simulation conditions for the first case study where photolysis reactions are not included and the main uncertainties occur in parameters defining the turbulence scales, source size and reaction rate of NO with O-. Using nominal values of the parameters from previous studies, the model gives a good representation of the radial profile of the conserved mean scalar (Gamma) over bar (NOx) although slightly over predicts peak mean NO concentrations (Gamma) over bar (NO) compared to the experiments. The high dimensional model representation (HDMR) method is used to investigate the effects of uncertainties in model inputs on the simulation of chemical species concentrations. For this scenario, the Lagrangian velocity structure function coefficient has the largest impact on simulated (Gamma) over bar (NOx) profiles. Photolysis reactions are then included in a chemical scheme consisting of eight reactions between species NO, O, O- and NO. Independent and interactive effects of  input parameters are studied for two source NOx scenarios using HDMR, including turbulence parameters, temperature dependant rate parameters, photolysis rates, temperature, fraction of NO in total NO, at the source and background ozone concentration [O-]. For this reactive case, the variance in the predicted mean plume centre (Gamma) over bar (O) is caused by parameters describing both physical (mixing time-scale coefficient) and chemical processes (activation energy for the reaction O-+NO). The variance in predicted plume centre (Gamma) over bar (NO) and root mean square NO concentration gamma(NO)'. is Strongly influenced by the fraction of NO in the source NOx, and to a lesser extent the mixing time-scale coefficient. Adjusting the latter gives improved agreement with the Brown and Bilger experiment. Some weak parameter interactions are observed. (C) ", Elsevier Ltd. All rights reserved.,WOS:000272361800014,OBSERVATORY PHOTOCHEMISTRY EXPERIMENT PHOTOLYSIS RATE COEFFICIENT GLOBAL SENSITIVITY-ANALYSIS STREET CANYON MODEL CONCENTRATION FLUCTUATIONS HOMOGENEOUS TURBULENCE ATMOSPHERIC CHEMISTRY DIFFERENT KINDS BOUNDARY-LAYER CONSTANT,The effects of parametric uncertainties in simulations of a reactive plume using a Lagrangian stochastic model,2009
31,"Chen, S|Brune, WH|Oluwole, OO|Kolb, CE|Bacon, F|Li, GY|Rabitz, H",,10.1021/es301565w,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"Chemical mechanisms play a crucial part for the air quality modeling and pollution control decision-making. Parameters in a chemical mechanism have uncertainties, leading to the uncertainties of model predictions. A recently developed global sensitivity analysis (SA) method based on Random Sampling-High Dimensional Model Representation (RS-HDMR) was applied to the Regional Atmospheric Chemical Mechanism (RACM) within a zero-dimensional photochemical model to highlight the main uncertainty sources of atmospheric hydroxyl (OH) and hydroperoxyl (HO) radicals. This global SA approach can be applied as a routine in zero-dimensional photochemical modeling to comprehensively assess model uncertainty and sensitivity under different conditions. It also highlights the parameters to which the model is most sensitive during periods when the model/measurement OH and HO discrepancies are greatest. Uncertainties in  model parameters were assigned for measured constituents used to constrain the model, for photolysis and kinetic rate coefficients, and for product yields of the reactions. With simulations performed for the hourly field data of two typical days, modeled and measured OH and HO generally agree better for polluted conditions than for cleaner conditions, except during morning rush hour. Sensitivity analysis shows that the modeled OH and HO depend most critically on the reactions of xylenes and isoprene with OH, NO with OH, NO with HO, and internal alkenes with O- and suggests that model/measurement discrepancies in OH and HO would benefit from a closer examination of these reactions.",,WOS:000309805000041,OZONE SENSITIVITY UNCERTAINTY OUTPUT HDMR LIMITATION CALIFORNIA EMISSION,Global Sensitivity Analysis of the Regional Atmospheric Chemical Mechanism: An Application of Random Sampling-High Dimensional Model Representation to Urban Oxidation Chemistry,2012
