,AU,SO,copyright,title,year
222,"Tervonen, T.|Figueira, J. R.|Lahdelma, R.|Salminen, P.|Linkov, |Ferguson, E|Magar, VS",REAL-TIME AND DELIBERATIVE DECISION MAKING: APPLICATION TO EMERGING STRESSORS,,SMAA-III A Simulation-Based Approach for Sensitivity Analysis of ELECTRE III,2008
224,"Chen, Y.|Khan, S.|Paydar, Z.|Oxley, L|Kulasiri, D",MODSIM 2007: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,,Irrigation Intensification or Extensification Assessment Using Spatial Modelling in GIS,2007
226,"Wu, Yi-Chang|Lee, Hao-Yeh|Lee, Chung-Han|Huang, Hsiao-Ping|Chien, I-Lung|Karimi, IA|Srinivasan, R","11TH INTERNATIONAL SYMPOSIUM ON PROCESS SYSTEMS ENGINEERING, PTS A AND B",,Design and Control of Reactive Divided Wall Column for Esterification with Mixed n-Amyl alcohol and n-Hexanol Feed,2012
230,"Muzzammil, M.|Siddiqui, N. A.",PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT,,Reliability analysis of scour downstream of a ski-jump bucket,2009
231,"Rolf, KA|Strock, JS|Mulla, DJ|Gowda, PH","TOTAL MAXIMUM DAILY LOAD (TMDL): ENVIRONMENTAL REGULATIONS II, PROCEEDINGS",,Implications of conventional and organic farming practices on nonpoint source pollution and TMDLs,2003
232,"Steinbrink, Cornelius|Lehnhoff, Sebastian|Haase, J|Kakarountas, A|Grana, M|Fraile-Ardanuy, J|Debono, CJ|Quintian, H|Corchado, E",IEEE EUROCON 2015 - INTERNATIONAL CONFERENCE ON COMPUTER AS A TOOL (EUROCON),,Challenges and Necessity of Systematic Uncertainty Quantification in Smart Grid Co-Simulation,2015
234,"Fine, J|Vuilleumier, L|Reynolds, S|Roth, P|Brown, N",ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES,,Evaluating uncertainties in regional photochemicalair quality modeling,2003
237,"Upadhyaya, Pranita|Tuan Anh Nguyen, |Pokharel, Manish|Shakya, Subarna|Park, Jong Sou|Krishnan, N|Karthikeyan, M",2014 IEEE INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND COMPUTING RESEARCH (IEEE ICCIC),,Modeling & Analysis of Cost effective High availability Security Architecture for Whole of Government Systems to cater DDoS attack,2014
238,"Esmaeili, Taymaz|Sumi, Tetsuya|Kantoush, Sameh Ahmad|Kubota, Yoji|Haun, Stefan|Mynett, A",PROCEEDINGS OF THE 36TH IAHR WORLD CONGRESS,,"THREE-DIMENSIONAL NUMERICAL MODELING OF SEDIMENT FLUSHING: CASE STUDY OF DASHIDAIRA RESERVOIR, JAPAN",2015
247,"Atchley, Adam L.|Maxwell, Reed M.|Navarre-Sitchler, Alexis|Siirla, Erica R.|McCray, John E.|Oswald, SE|Kolditz, O|Attinger, S",MODELS - REPOSITORIES OF KNOWLEDGE,,"Using streamlines for highly-resolved, reactive transport for CO2 leakage contamination in groundwater",2012
259,"Stirn, Lidija Zadnik|Groselj, Petra|Boljuncic, |Neralic, L|Soric, K","KOI 2008: 12TH INTERNATIONAL CONFERENCE ON OPERATIONAL RESEARCH, PROCEEDINGS",,AHP and ANP approach based on BOCR for weighting interdependent criteria in natural resource management,2008
268,"Kumar, Akshay|Dey, Supratik|Ray, Amitava|Pradhan, B. B.|Rajesh, R|Ganesh, K|Koh, SCL",INTERNATIONAL CONFERENCE ON MODELLING OPTIMIZATION AND COMPUTING, Elsevier Ltd. Selection and/or peer-review under responsibility of Noorul Islam Centre for Higher Education,An Integrated Management-Support Methodology for the Selection of Rapid Prototyping Technologies,2012
276,"Ghasemi, Sara|Costa, Giulia|Zingaretti, Daniela|Babler, Matthaus U.|Baciocchi, Renato|Dixon, T|Laloui, L|Twinning, S","13TH INTERNATIONAL CONFERENCE ON GREENHOUSE GAS CONTROL TECHNOLOGIES, GHGT-13", Published by Elsevier Ltd.,Comparative life-cycle assessment of slurry and wet accelerated carbonation of BOF slag,2017
289,"Josselin, Didier|Rojas-Mora, Julio|Ciligot-Travain, Marc|Gervasi, O|Murgante, B|Misra, S|Borruso, G|Torre, CM|Rocha, AMAC|Taniar, D|Apduhan, BO|Stankova, E|Cuzzocrea, A","COMPUTATIONAL SCIENCE AND ITS APPLICATIONS - ICCSA 2017, PT IV",,Spatial Function of Influence on Center Optimal Location Based on L-p-Norms,2017
290,"Vanrolleghem, PA|Gillot, S",WATER SCIENCE AND TECHNOLOGY,,Robustness and economic measures as control benchmark performance criteria,2002
291,"Mezian, Miloud|Vallet, Bruno|Soheilian, Bahman|Paparoditis, Nicolas|Halounova, L|Schindler, K|Limpouch, A|Pajdla, T|Safar, |Mayer, H|Elberink, SO|Mallet, C|Rottensteiner, F|Bredif, M|Skaloud, J|Stilla, U","XXIII ISPRS CONGRESS, COMMISSION III",,UNCERTAINTY PROPAGATION FOR TERRESTRIAL MOBILE LASER SCANNER,2016
292,"Sin, G|Insel, G|Lee, DS|Vanrolleghern, PA",WATER SCIENCE AND TECHNOLOGY,,Optimal but robust N and P removal in SBRs: a model-based systematic study of operation scenarios,2004
293,"Watanabe, N.|McDermott, C. I.|Wang, W.|Taniguchi, T.|Zehner, B.|Kolditz, O.|Wang, YX",CALIBRATION AND RELIABILITY IN GROUNDWATER MODELING: MANAGING GROUNDWATER AND THE ENVIRONMENT,,Uncertainty analysis and visualization of thermo-hydro-mechanical coupled processes in a hot-dry-rock geothermal reservoir using high-performance-computing,2009
294,"Tonkovic, S|Tonkovic, |Voloder, D|Middleton, J|Jones, ML|Shrive, NG|Pande, GN",COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING - 3,,Sensitivity analysis of lower leg ischaemic muscles model,2001
297,"Hassanzadeh, Reza|Nedovic-Budic, Zorica",GEOMATICS NATURAL HAZARDS & RISK,,Where to go first: prioritization of damaged areas for allocation of Urban Search and Rescue (USAR) operations (PI-USAR model),2016
299,"Smith, T. J.|Marshall, L. A.|Anderssen, RS|Braddock, RD|Newham, LTH",18TH WORLD IMACS CONGRESS AND MODSIM09 INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,,"A conceptual precipitation-runoff modeling suite: Model selection, calibration and predictive uncertainty assessment",2009
300,"Prosser, M.|Speight, V.|Filion, Y.|Giustolisi, O|Brunone, B|Laucelli, D|Berardi, L|Campisano, A",16TH WATER DISTRIBUTION SYSTEM ANALYSIS CONFERENCE (WDSA2014): URBAN WATER HYDROINFORMATICS AND STRATEGIC PLANNING, Published by Elsevier Ltd.,Sensitivity of Energy Use to Factors in Pipe Replacement Planning for a Large Water Distribution System,2014
317,"Moradi, S.|Heidari, H.|Saeidi, M.|Nosratti, I.",GLOBAL NEST JOURNAL,,"EFFECT OF SEWAGE-CONTAMINATED WATER ON SEED PRODUCTION, HEAVY METALS ACCUMULATION AND SEEDLING EMERGENCE IN OAT",2016
325,"Pritchard, David A. G.",JOURNAL OF CELLULAR AUTOMATA,,Efficient Divide-and-Conquer Implementations of Symmetric FSAs,2010
327,"Kleidorfer, M.|Mikovits, C.|Jasper-Toennies, A.|Huttenlau, M.|Einfalt, T.|Rauch, W.|Brunone, B|Giustolisi, O|Ferrante, M|Laucelli, D|Meniconi, S|Berardi, L|Campisano, A","12TH INTERNATIONAL CONFERENCE ON COMPUTING AND CONTROL FOR THE WATER INDUSTRY, CCWI2013", Published by Elsevier Ltd.,Impact of a changing environment on drainage system performance,2014
328,"Huang, Cheng-Hung|Chen, Chi-An",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,,The Shape Identification Problem in Estimating the Geometry of A Three-Dimensional Irregular Internal Cavity,2008
342,"Obrova, Vladena|Smolikova, Lenka|Hrebicek, J|Schimak, G|Kubasek, M|Rizzoli, AE",ENVIRONMENTAL SOFTWARE SYSTEMS: FOSTERING INFORMATION SHARING,,The Comparison of Selected Risk Management Methods for Project Management,2013
344,"Behrooznia, Alireza|Azadeh, Ali|Javanmard, Habibollah|Saberi, Zahra|Pazhoheshfar, Peiman|Loster, T|Pavelka, T",6TH INTERNATIONAL DAYS OF STATISTICS AND ECONOMICS,,A HYBRID NEURO-FUZZY SIMULATION APPROACH FOR IMPROVEMENT OF NATURAL GAS PRICE FORECASTING IN INDUSTRIAL SECTORS WITH VAGUE INDICATORS,2012
383,"Bellaachia, A|Mahajan, A|Satyadas, A|Dascalu, S",PROCEEDINGS OF THE ISCA 12TH INTERNATIONAL CONFERENCE INTELLIGENT AND ADAPTIVE SYSTEMS AND SOFTWARE ENGINEERING,,Comparison of three text summarization methods,2003
388,"Jia, Jianfang|Yue, Hong","ASCC: 2009 7TH ASIAN CONTROL CONFERENCE, VOLS 1-3",,Sensitivity Analysis and Parameter Estimation of Signal Transduction Pathways Model,2009
408,"Guven, Basak",CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES,,UNCERTAINTY ANALYSIS OF A HYDRODYNAMIC SEDIMENT TRANSPORT MODEL: A CASE STUDY FROM THE GOKSU RIVER,2013
410,"Ji, Feng|Lu, Junfu|Shi, Yuchuan|Chen, Guoqing",DISASTER ADVANCES,,Prediction model of rock mass quality classification based on TBM boring parameters,2013
414,"Saul, A|Ding, AZ|Wang, YX",PROCEEDINGS OF THE INTERNATIONAL SYMPOSIUM ON WATER RESOURCES AND THE URBAN ENVIRONMENT,,Temporal variation of BOD5 in combined sewer systems during storm events,2003
416,"Luo Yu, |Liu Haijun, |Li Yan, |Shang, HQ|Luo, XX","PROCEEDINGS OF THE 4TH INTERNATIONAL YELLOW RIVER FORUM ON ECOLOGICAL CIVILIZATION AND RIVER ETHICS, VOL I",,Changing Trends and Dominated Meteorological Variables of Reference Crop Evapotranspiration in Beijing Area,2010
417,"Spatari, S|Betz, M|Florin, H|Baitz, M|Faltenbacher, M",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,,Using GaBi 3 to perform life cycle assessment and life cycle engineering,2001
423,"Cafieri, Sonia|Costa, Alberto|Hansen, Pierre",JOURNAL OF COMPLEX NETWORKS,,Adding cohesion constraints to models for modularity maximization in networks,2015
426,"Liu, Yang|Li, Yan|Zhang, H|Jin, D|Zhao, XJ","ADVANCED RESEARCH ON CIVIL ENGINEERING, MATERIALS ENGINEERING AND APPLIED TECHNOLOGY",,Study on Application of Monte Carlo Simulation in Construction Schedule Management,2014
431,"Tao Gang, |Song Huan-sheng, |Yan Yong-gang, |Jafari, Mohsen|Ma, J|Yang, LT|Ning, H|Li, A",IEEE 12TH INT CONF UBIQUITOUS INTELLIGENCE & COMP/IEEE 12TH INT CONF ADV & TRUSTED COMP/IEEE 15TH INT CONF SCALABLE COMP & COMMUN/IEEE INT CONF CLOUD & BIG DATA COMP/IEEE INT CONF INTERNET PEOPLE AND ASSOCIATED SYMPOSIA/WORKSHOPS,,Cause Analysis of Traffic Accidents Based on Degrees of Attribute Importance of Rough Set,2015
434,"Overall, R. A.|Grace, M. R.|Pollino, C. A.|Hart, B. T.|Anderssen, RS|Braddock, RD|Newham, LTH",18TH WORLD IMACS CONGRESS AND MODSIM09 INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,,A risk-based approach to the improved understanding and management of denitrification in urban stormwater treatment wetlands,2009
435,"Vlad, Elena|Bildea, Costin Sorin|Varbanov, PS|Lam, HL|Klemes, JJ|Pierucci, S|Klemes, JJ","PRES 2012: 15TH INTERNATIONAL CONFERENCE ON PROCESS INTEGRATION, MODELLING AND OPTIMISATION FOR ENERGY SAVING AND POLLUTION REDUCTION",,Reactive Distillation - a Viable Solution for Etherification of Glycerol with tert-Butyl Alcohol,2012
437,"Wild, Fridolin|Stahl, Christina|Decker, R|Lenz, HJ",ADVANCES IN DATA ANALYSIS,,Investigating unstructured texts with latent semantic analysis,2007
443,"Hurley, Michael|Lowell, Kim|Cook, David|Liu, Shuang|Siddique, Abu-Baker|Diggle, Art|Anderssen, RS|Braddock, RD|Newham, LTH",18TH WORLD IMACS CONGRESS AND MODSIM09 INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,,How Model Outputs Can Be Used To Improve Decision-Making: Using Bio-economic Model Outputs in Deliberative Multi-criteria Evaluation to Prioritize Invasive Pest Species,2009
452,"Saheb-Koussa, D.|Koussa, M.|Belhamel, M.|Haddadi, M.|Salame, C|ElCharif, H|Hassan, FE|ElTahchi, M",IMPACT OF INTEGRATED CLEAN ENERGY ON THE FUTURE OF THE MEDITERRANEAN ENVIRONMENT,,Economic and environmental analysis for grid-connected hybrid photovoltaic-wind power system in the arid region,2011
454,"Guan, Qing|Yang, Zhaosheng|Wang, Yuan|Hu, Jianmeng|Qin, Jian|Guo, MZ|Zhao, L|Wang, LP","ICNC 2008: FOURTH INTERNATIONAL CONFERENCE ON NATURAL COMPUTATION, VOL 6, PROCEEDINGS",,Research on the Coordination Optimization Method between Traffic Control and Traffic Guidance based on Genetic Algorithm,2008
459,"Saptari, VA|Youcef-Toumi, K|Priezzhev, A|Oberg, PA","OPTICAL TECHNIQUES AND INSTRUMENTATION FOR THE MEASUREMENT OF BLOOD COMPOSITION, STRUCTURE AND DYNAMICS",,Sensitivity analysis of near infrared glucose absorption signals: toward noninvasive blood glucose sensing,2000
462,"Bu, Jian-qing|Zhu, Xin-qun|Ou, JP|Li, H|Duan, ZD","STRUCTURAL HEALTH MONITORING AND INTELLIGENT INFRASTRUCTURE, VOLS 1 AND 2",,Bridge damage identification by dynamic response of the passing vehicle based on response sensitivity,2006
468,"Chibeles-Martins, Nelson|Pinto-Varela, Tania|Barbosa-Povoa, Ana Paula|Novais, A. Q.|Klemes, JJ|Varbanov, PS|Liew, PY","24TH EUROPEAN SYMPOSIUM ON COMPUTER AIDED PROCESS ENGINEERING, PTS A AND B",,Multi-Objective Meta-Heuristic Approach supported by an Improved Local Search Strategy for the Design and Planning of Supply Chain Networks,2014
470,"Jiang, R|Zeng, GM|Xie, GX|Huang, GH|Li, JB|Zeng, GM|Huang, G|Yang, Z|Jiang, Y|Liu, H|Catania, P","ENERGY & ENVIRONMENT - A WORLD OF CHALLENGES AND OPPORTUNITIES, PROCEEDINGS",,Sensitivity research on effect of uncertain parameters on optimal design of activated sludge system,2003
471,"Zhang, Yu|Pan, Ming|Wood, Eric F.|Cazenave, A|Champollion, N|Benveniste, J|Chen, J",REMOTE SENSING AND WATER RESOURCES,,On Creating Global Gridded Terrestrial Water Budget Estimates from Satellite Remote Sensing,2016
