,AU,SO,copyright,title,year
25,"Zhang, KC|Lu, ZZ|Wu, DQ|Zhang, YL",APPLIED MATHEMATICAL MODELLING, (C) 2017 Elsevier Inc. All rights reserved.,Analytical variance based global sensitivity analysis for models with correlated variables,2017
26,"Cao, C|Song, SY|Chen, JP|Zheng, LJ|Kong, YY",WATER,,An Approach to Predict Debris Flow Average Velocity,2017
27,"Le Gratiet, L|Cannamela, C|Iooss, B",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,A Bayesian Approach for Global Sensitivity Analysis of (Multifidelity) Computer Codes,2014
28,"Hantush, MM|Kalin, L|Isik, S|Yucekaya, A",JOURNAL OF HYDROLOGIC ENGINEERING,,Nutrient Dynamics in Flooded Wetlands. I: Model Development,2013
29,"Vilela, AFA|Gargano, R|Barreto, PRP",INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY," (c) 2005 Wiley Periodicals, Inc.",Quasi-classical dynamical properties and reaction rate of the Na+HF system on two different potential energy surfaces,2005
30,"Alzraiee, AH|Garcia, LA",JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,,Global Sensitivity Analysis of Variably Saturated Flow and Transport Parameters and Its Implication for Crop Yield and Root Zone Hydrosalinity,2013
31,"Medici, C|Wade, AJ|Frances, F",JOURNAL OF HYDROLOGY, (C) 2012 Elsevier B.V. All rights reserved.,Does increased hydrochemical model complexity decrease robustness?,2012
32,"Oladyshkin, S|de Barros, FPJ|Nowak, W",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Global sensitivity analysis: A flexible and efficient framework with an example from stochastic hydrogeology,2012
33,"Cucurachi, S|Heijungs, R",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2013 Elsevier B.V. All rights reserved.,Characterisation factors for life cycle impact assessment of sound emissions,2014
34,"Antucheviciene, J|Kala, Z|Marzouk, M|Vaidogas, ER",MATHEMATICAL PROBLEMS IN ENGINEERING,,Solving Civil Engineering Problems by Means of Fuzzy and Stochastic MCDM Methods: Current State and Future Research,2015
35,"Cvetkovic, V|Soltani, S|Vigouroux, G",JOURNAL OF HYDROLOGY, (C) 2015 Elsevier B.V. All rights reserved.,Global sensitivity analysis of groundwater transport,2015
36,"Medina, JC|Taflanidis, AA",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2014 Elsevier B.V. All rights reserved.,Adaptive importance sampling for optimization under uncertainty problems,2014
37,"Savolainen, J",SIMULATION MODELLING PRACTICE AND THEORY, (C) 2013 Elsevier B.V. All rights reserved.,Global sensitivity analysis of a feedback-controlled stochastic process model,2013
38,"Ciriello, V|Di Federico, V",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Similarity solutions for flow of non-Newtonian fluids in porous media revisited under parameter uncertainty,2012
39,"Harper, EB|Stella, JC|Fremier, AK",ECOLOGICAL APPLICATIONS,,Global sensitivity analysis for complex ecological models: a case study of riparian cottonwood population dynamics,2011
40,"Ahmad, A|Razali, SFM|Mohamed, ZS|El-shafie, A",WATER RESOURCES MANAGEMENT,,The Application of Artificial Bee Colony and Gravitational Search Algorithm in Reservoir Optimization,2016
41,"Wang, XJ|Wang, RX|Chen, XJ|Wang, L|Geng, XY|Fan, WC",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Interval prediction of responses for uncertain multidisciplinary system,2017
42,"Liu, YX|Xu, L|Grierson, DE",COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,,Influence of Semi-Rigid Connections and Local Joint Damage on Progressive Collapse of Steel Frameworks,2010
43,"Uddameri, V|Hernandez, EA|Singaraju, S",ENVIRONMENTAL EARTH SCIENCES,,"A successive steady-state model for simulating freshwater discharges and saltwater wedge profiles at Baffin Bay, Texas",2014
44,"Cox, BA|Whitehead, PG",JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,,"Parameter sensitivity and predictive uncertainty in a new water quality model, Q(2)",2005
45,"Galvez, ED|Capuz-Rizo, SF",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,Assessment of global sensitivity analysis methods for project scheduling,2016
46,"Ligaray, M|Kim, M|Baek, S|Ra, JS|Chun, JA|Park, Y|Boithias, L|Ribolzi, O|Chon, K|Cho, KH",WATER,,"Modeling the Fate and Transport of Malathion in the Pagsanjan-Lumban Basin, Philippines",2017
47,"Petropoulos, GP|Ireland, G|Griffiths, HM|Kennedy, MC|Ioannou-Katidis, P|Kalivas, DP",WATER,,Extending the Global Sensitivity Analysis of the SimSphere model in the Context of its Future Exploitation by the Scientific Community,2015
48,"de Andrade, MD|Nascimento, MAC|Mundim, KC|Sobrinho, AMC|Malbouisson, LAC",INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY," (C) 2008 Wiley Periodicals, Inc.",Atomic basis sets optimization using the generalized simulated annealing approach: New basis sets for the first row elements,2008
49,"Hosseini, N|Chun, KP|Lindenschmidt, KE",WATER,,Quantifying Spatial Changes in the Structure of Water Quality Constituents in a Large Prairie River within Two Frameworks of a Water Quality Model,2016
50,"Younes, A|Mara, TA|Fajraoui, N|Lehmann, F|Belfort, B|Beydoun, H",VADOSE ZONE JOURNAL,,Use of Global Sensitivity Analysis to Help Assess Unsaturated Soil Hydraulic Parameters,2013
51,"Pastres, R|Ciavatta, S",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,A comparison between the uncertainties in model parameters and in forcing functions: its application to a 3D water-quality model,2005
52,"Cai, GW|Mahadevan, S",INTERNATIONAL JOURNAL FOR MULTISCALE COMPUTATIONAL ENGINEERING,,UNCERTAINTY QUANTIFICATION OF MANUFACTURING PROCESS EFFECTS ON MACROSCALE MATERIAL PROPERTIES,2016
53,"Dhar, S|Mazumdar, A",HYDROLOGICAL PROCESSES," Copyright (C) 2009 John Wiley & Sons, Ltd.",Hydrological modelling of the Kangsabati river under changed climate scenario: case study in India,2009
54,"Donckels, BMR|Kroll, S|Van Dorpe, M|Weemaes, M",WATER SCIENCE AND TECHNOLOGY,,Global sensitivity analysis of an in-sewer process model for the study of sulfide-induced corrosion of concrete,2014
55,"Varella, H|Guerif, M|Buis, S",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Global sensitivity analysis measures the quality of parameter estimation: The case of soil parameters and a crop model,2010
56,"Duan, LB|Xiao, NC|Hu, ZH|Li, GY|Cheng, AG",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,An efficient lightweight design strategy for body-in-white based on implicit parameterization technique,2017
57,"Gauchi, JP|Bensadoun, A|Colas, F|Colbach, N",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Metamodeling and global sensitivity analysis for computer models with correlated inputs: A practical approach tested with a 3D light interception computer model,2017
58,"Fletcher, WJ|Hughes, PD",CATENA, (C) 2016 Elsevier B.V. All rights reserved.,"Anthropogenic trigger for Late Holocene soil erosion in the Jebel Toubkal, High Atlas, Morocco",2017
59,"Vezzaro, L|Mikkelsen, PS",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Application of global sensitivity analysis and uncertainty quantification in dynamic modelling of micropollutants in stormwater runoff,2012
60,"Kasprzyk, JR|Reed, PM|Characklis, GW|Kirsch, BR",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Many-objective de Novo water supply portfolio planning under deep uncertainty,2012
61,"Tijani, MN|Nton, ME",ENVIRONMENTAL GEOLOGY,,"Hydraulic, textural and geochemical characteristics of the Ajali Formation, Anambra Basin, Nigeria: implication for groundwater quality",2009
62,"Ganji, A|Maier, HR|Dandy, GC",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,A modified Sobol' sensitivity analysis method for decision-making in environmental problems,2016
63,"Tang, Y|Reed, P|van Werkhoven, K|Wagener, T",WATER RESOURCES RESEARCH,,Advancing the identification and evaluation of distributed rainfall-runoff models using global sensitivity analysis,2007
64,"Glen, G|Isaacs, K",ENVIRONMENTAL MODELLING & SOFTWARE, Published by Elsevier Ltd.,Estimating Sobol sensitivity indices using correlations,2012
65,"Le Cozannet, G|Rohmer, J|Cazenave, A|Idier, D|van de Wal, R|de Winter, R|Pedreros, R|Balouin, Y|Vinchon, C|Oliveros, C",ENVIRONMENTAL MODELLING & SOFTWARE, Published by Elsevier Ltd.,Evaluating uncertainties of future marine flooding occurrence as sea-level rises,2015
66,"Abily, M|Bertrand, N|Delestre, O|Gourbesville, P|Duluc, CM",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Spatial Global Sensitivity Analysis of High Resolution classified topographic data use in 2D urban flood modelling,2016
67,"Arnold, F|Pirjola, L|Ronkko, T|Reichl, U|Schlager, H|Lahde, T|Heikkila, J|Keskinen, J",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,First Online Measurements of Sulfuric Acid Gas in Modern Heavy-Duty Diesel Engine Exhaust: Implications for Nanoparticle Formation,2012
68,"Ogejo, JA|Senger, RS|Zhang, RH",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Global sensitivity analysis of a process-based model for ammonia emissions from manure storage and treatment structures,2010
69,"Civicioglu, P",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,Transforming geocentric cartesian coordinates to geodetic coordinates by using differential search algorithm,2012
70,"Kelleher, C|Wagener, T|McGlynn, B",WATER RESOURCES RESEARCH,,Model-based analysis of the influence of catchment properties on hydrologic partitioning across five mountain headwater subcatchments,2015
71,"Brockmann, D|Morgenroth, E",WATER SCIENCE AND TECHNOLOGY,,Comparing global sensitivity analysis for a biofilm model for two-step nitrification using the qualitative screening method of Morris or the quantitative variance-based Fourier Amplitude Sensitivity Test (FAST),2007
72,"Savage, JTS|Pianosi, F|Bates, P|Freer, J|Wagener, T",WATER RESOURCES RESEARCH,,Quantifying the importance of spatial resolution and other factors through global sensitivity analysis of a flood inundation model,2016
73,"Rohmer, J|Lecacheux, S|Pedreros, R|Quetelard, H|Bonnardot, F|Idier, D",NATURAL HAZARDS,,Dynamic parameter sensitivity in numerical modelling of cyclone-induced waves: a multi-look approach using advanced meta-modelling techniques,2016
74,"Di Maggio, J|Ricci, JCD|Diaz, MS",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Global sensitivity analysis in dynamic metabolic networks,2010
75,"Kim, J|Realff, MJ|Lee, JH",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Optimal design and global sensitivity analysis of biomass supply chain networks for biofuels under uncertainty,2011
76,"Fuks, D|Dorfman, S|Mundim, KC|Ellis, DE",INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY," (C) 2001 John Wiley & Sons, Inc.",Stochastic molecular dynamics in simulations of metalloid impurities in metals,2001
77,"Maiti, MK|Maiti, M",MATHEMATICAL AND COMPUTER MODELLING, Elsevier Ltd. All rights reserved.,Production policy for damageable items with variable cost function in an imperfect production process via genetic algorithm,2005
78,"Mara, TA|Joseph, OR",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,,Comparison of some efficient methods to evaluate the main effect of computer model factors,2008
79,"Claeys-Bruno, M|Dobrijevic, M|Phan-Tan-Luu, R|Sergent, M",CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS, (c) 2008 Elsevier B.V. All rights reserved.,A new class of supersaturated design: Application to a sensitivity study of a photochemical model,2009
80,"Lamboni, M|Iooss, B|Popelin, AL|Gamboa, F",MATHEMATICS AND COMPUTERS IN SIMULATION, Published by Elsevier B.V. All rights reserved.,Derivative-based global sensitivity measures: General links with Sobol' indices and numerical tests,2013
81,"Allaire, D|Willcox, K",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,A MATHEMATICAL AND COMPUTATIONAL FRAMEWORK FOR MULTIFIDELITY DESIGN AND ANALYSIS WITH COMPUTER MODELS,2014
82,"Zhang, Y|Chen, D|Garrard, R|Sun, HG|Lu, YH",HYDROLOGICAL PROCESSES," Copyright (c) 2016 John Wiley & Sons, Ltd.",Influence of bed clusters and size gradation on operational time distribution for non-uniform bed-load transport,2016
83,"Gassmann, M|Khodorkovsky, M|Friedler, E|Dubowski, Y|Olsson, O",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Uncertainty in the river export modelling of pesticides and transformation products,2014
84,"Kouznetsova, I|Mao, XM|Robinson, C|Barry, DA|Gerhard, JI|McCarty, PL",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Biological reduction of chlorinated solvents: Batch-scale geochemical modeling,2010
85,"Tang, KK|Congedo, PM|Abgrall, R",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2016 Elsevier Inc. All rights reserved.,Adaptive surrogate modeling by ANOVA and sparse polynomial dimensional decomposition for global sensitivity analysis in fluid simulation,2016
86,"Buchner, H|Laner, D|Rechberger, H|Fellner, J",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Dynamic Material Flow Modeling: An Effort to Calibrate and Validate Aluminum Stocks and Flows in Austria,2015
87,"Li, HY|Xie, M|Jiang, S",HYDROLOGICAL PROCESSES," Copyright (c) 2012 John Wiley & Sons, Ltd.",Recognition method for mid- to long-term runoff forecasting factors based on global sensitivity analysis in the Nenjiang River Basin,2012
88,"Mukhtar, H|Lin, YP|Shipin, OV|Petway, JR",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,,Modeling Nitrogen Dynamics in a Waste Stabilization Pond System Using Flexible Modeling Environment with MCMC,2017
89,"Sochala, P|Le Maitre, OP",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Polynomial Chaos expansion for subsurface flows with uncertain soil parameters,2013
90,"Ma, GN|Huang, JX|Wu, WB|Fan, JL|Zou, JQ|Wu, SJ",MATHEMATICAL AND COMPUTER MODELLING, Elsevier Ltd. All rights reserved.,Assimilation of MODIS-LAI into the WOFOST model for forecasting regional winter wheat yield,2013
91,"Visconti, F|de Paz, JM|Molina, MJ|Sanchez, J",JOURNAL OF ENVIRONMENTAL MANAGEMENT, Elsevier Ltd. All rights reserved.,Advances in validating SALTIRSOIL at plot scale: First results,2012
92,"Cannavo, F",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,Sensitivity analysis for volcanic source modeling quality assessment and model selection,2012
93,"Sobol, IM",MATHEMATICS AND COMPUTERS IN SIMULATION, Published by Elsevier Science B.V. All rights reserved.,Global sensitivity indices for nonlinear mathematical models and their Monte Carlo estimates,2001
94,"Solon, K|Flores-Alsina, X|Gernaey, KV|Jeppsson, U",WATER SCIENCE AND TECHNOLOGY,,"Effects of influent fractionation, kinetics, stoichiometry and mass transfer on CH4, H-2 and CO2 production for (plant-wide) modeling of anaerobic digesters",2015
95,"Guo, D|Westra, S|Maier, HR",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Sensitivity of potential evapotranspiration to changes in climate variables for different Australian climatic zones,2017
96,"Mannina, G|Cosenza, A|Viviani, G",DESALINATION AND WATER TREATMENT,,Sensitivity and uncertainty analysis of an integrated membrane bioreactor model,2016
97,"Machiwal, D|Jha, MK",ENVIRONMENTAL EARTH SCIENCES,,"Exploring hydrogeology and groundwater dynamics in a lateritic terrain of West Bengal, India, under limited data conditions",2016
98,"Halaburka, BJ|LeFevre, GH|Luthy, RG",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Evaluation of Mechanistic Models for Nitrate Removal in Woodchip Bioreactors,2017
99,"Srivastava, V|Graham, W|Munoz-Carpena, R|Maxwell, RM",JOURNAL OF HYDROLOGY, Published by Elsevier B.V.,Insights on geologic and vegetative controls over hydrologic behavior of a large complex basin - Global Sensitivity Analysis of an integrated parallel hydrologic model,2014
100,"Tatari, O|Kucukvar, M",BUILDING AND ENVIRONMENT, Elsevier Ltd. All rights reserved.,Cost premium prediction of certified green buildings: A neural network approach,2011
101,"Kim, HS|Kim, J|An, DW",ADVANCES IN ENGINEERING SOFTWARE, (C) 2008 Published by Elsevier Ltd.,Development of integrated system for progressive collapse analysis of building structures considering dynamic effects,2009
102,"Gu, BJ|Dong, XL|Peng, CH|Luo, WD|Chang, J|Ge, Y",ENVIRONMENTAL POLLUTION, Elsevier Ltd. All rights reserved.,"The long-term impact of urbanization on nitrogen patterns and dynamics in Shanghai, China",2012
103,"van Werkhoven, K|Wagener, T|Reed, P|Tang, Y",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Sensitivity-guided reduction of parametric dimensionality for multi-objective calibration of watershed models,2009
104,"Ratto, M|Young, PC|Romanowicz, R|Pappenberger, F|Saltelli, A|Pagano, A",HYDROLOGY AND EARTH SYSTEM SCIENCES,,"Uncertainty, sensitivity analysis and the role of data based mechanistic modeling in hydrology",2007
105,"Verbist, KMJ|Pierreux, S|Cornelis, WM|McLaren, R|Gabriels, D",VADOSE ZONE JOURNAL,,Parameterizing a Coupled Surface-Subsurface Three-Dimensional Soil Hydrological Model to Evaluate the Efficiency of a Runoff Water Harvesting Technique,2012
106,"Flores-Alsina, X|Gernaey, KV|Jeppsson, U",WATER SCIENCE AND TECHNOLOGY,,Global sensitivity analysis of the BSM2 dynamic influent disturbance scenario generator,2012
107,"Sami, M|Shiekhdavoodi, MJ|Pazhohanniya, M|Pazhohanniya, F",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,"Environmental comprehensive assessment of agricultural systems at the, farm level using fuzzy logic: A case study in cane farms in Iran",2014
108,"Qin, FL|Zhao, YC|Shi, XZ|Xu, SX|Yu, DS",COMPUTERS AND ELECTRONICS IN AGRICULTURE, (c) 2016 Elsevier B.V. All rights reserved.,"Sensitivity and uncertainty analysis for the DeNitrification-DeComposition model, a case study of modeling soil organic carbon dynamics at a long-term observation site with a rice-bean rotation",2016
109,"Wlostowski, AN|Gooseff, MN|Wagener, T",WATER RESOURCES RESEARCH,,Influence of constant rate versus slug injection experiment type on parameter identifiability in a 1-D transient storage model for stream solute transport,2013
110,"Brunetti, G|Simunek, J|Turco, M|Piro, P",JOURNAL OF HYDROLOGY, (C) 2017 Elsevier B.V. All rights reserved.,On the use of surrogate-based modeling for the numerical analysis of Low Impact Development techniques,2017
111,"Salviano, LR|Silva, GME|Martins, JBL|Gargano, R",INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY," (C) 2008 Wiley Periodicals, Inc.",Quantum reactive study of a potential energy surface obtained via genetic algorithm,2008
112,"Stahn, P|Busch, S|Salzmann, T|Eichler-Lebermann, B|Miegel, K",ENVIRONMENTAL EARTH SCIENCES,,Combining global sensitivity analysis and multiobjective optimisation to estimate soil hydraulic properties and representations of various sole and mixed crops for the agro-hydrological SWAP model,2017
113,"Saint-Geours, N|Lavergne, C|Bailly, JS|Grelot, F",MATHEMATICAL GEOSCIENCES,,Change of Support in Spatial Variance-Based Sensitivity Analysis,2012
114,"Isazadeh, S|Rivas, LEU|Ozcer, PO|Frigon, D",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Reduction of waste biosolids by RAS-ozonation: Model validation and sensitivity analysis for biosolids reduction and nitrification,2015
115,"Zhang, YS|Liu, YS|Yang, XF",MATHEMATICAL PROBLEMS IN ENGINEERING,,Parametric Sensitivity Analysis for Importance Measure on Failure Probability and Its Efficient Kriging Solution,2015
116,"Yassin, F|Razavi, S|Wheater, H|Sapriza-Azuri, G|Davison, B|Pietroniro, A",HYDROLOGICAL PROCESSES,,Enhanced identification of a hydrologic model using streamflow and satellite water storage data: A multicriteria sensitivity analysis and optimization approach,2017
117,"Vezzaro, L|Eriksson, E|Ledin, A|Mikkelsen, PS",WATER RESEARCH, Elsevier Ltd. All rights reserved.,"Quantification of uncertainty in modelled partitioning and removal of heavy metals (Cu, Zn) in a stormwater retention pond and a biofilter",2012
118,"Karamouz, M|Taheriyoun, M|Seyedabadi, M|Nazif, S",JOURNAL OF HYDROLOGY, (C) 2014 Elsevier B.V. All rights reserved.,Uncertainty based analysis of the impact of watershed phosphorus load on reservoir phosphorus concentration,2015
119,"Sahu, RK|Panda, S|Padhan, S",APPLIED SOFT COMPUTING, (C) 2015 Elsevier B.V. All rights reserved.,A novel hybrid gravitational search and pattern search algorithm for load frequency control of nonlinear power system,2015
120,"Arnold, RT|Troost, C|Berger, T",WATER RESOURCES RESEARCH,,Quantifying the economic importance of irrigation water reuse in a Chilean watershed using an integrated agent-based model,2015
121,"Doraghinejad, M|Nezamabadi-pour, H",INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,,Black Hole: A New Operator for Gravitational Search Algorithm,2014
122,"Baalbaki, Z|Torfs, E|Yargeau, V|Vanrolleghem, PA",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2017 Elsevier B.V. All rights reserved.,Predicting the fate of micropollutants during wastewater treatment: Calibration and sensitivity analysis,2017
123,"Wang, LY|Ye, M|Rios, JF|Fernandes, R|Lee, PZ|Hicks, RW",ENVIRONMENTAL EARTH SCIENCES,,Estimation of nitrate load from septic systems to surface water bodies using an ArcGIS-based software,2013
124,"Malaguerra, F|Chambon, JC|Bjerg, PL|Scheutz, C|Binning, PJ",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Development and Sensitivity Analysis of a Fully Kinetic Model of Sequential Reductive Dechlorination in Groundwater,2011
125,"Biswas, A|Nath, B|Bhattacharya, P|Haider, D|Kundu, AK|Mandal, U|Mukherjee, A|Chatterjee, D|Morth, CM|Jacks, G",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2012 Elsevier B.V. All rights reserved.,Hydrogeochemical contrast between brown and grey sand aquifers in shallow depth of Bengal Basin: Consequences for sustainable drinking water supply,2012
126,"Li, B|Stenstrom, MK",WATER RESEARCH, Elsevier Ltd. All rights reserved.,Practical identifiability and uncertainty analysis of the one-dimensional hindered-compression continuous settling model,2016
127,"Arnold, F|Pirjola, L|Aufmhoff, H|Schuck, T|Lahde, T|Hameri, K",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,First gaseous sulfuric acid measurements in automobile exhaust: Implications for volatile nanoparticle formation,2006
