	id	year	title	keywords	abstract	copyright	AU	SO	DE	DOI
14	WOS:000248617800003	2007	Automatic sensitivity analysis of a finite volume model for two-dimensional shallow water flows	DENSE URBAN AREA	"Given a numerical model for solving two-dimensional shallow water equations, we are interested in the robustness of the simulation by identifying the rate of change of the water depths and discharges with respect to a change in the bottom friction coefficients. Such a sensitivity analysis can be carried out by computing the corresponding derivatives. Automatic differentiation (AD) is an efficient numerical method, free of approximation errors, to evaluate derivatives of the objective function specified by the computer program, Rubar for example. In this paper AD software tool Tapenade is used to compute forward derivatives. Numerical tests were done to show the robustness of the model and to demonstrate the efficiency of these AD-derivatives."		"Souhar, O|Faure, JB|Paquier, A"	ENVIRONMENTAL FLUID MECHANICS	automatic differentiation hydraulic model sensitivity analysis uncertainty propagation steady flow	10.1007/s10652-007-9028-5
15	WOS:000241177900002	2006	Design parameterization and tool integration for CAD-based mechanism optimization		"This paper presents an open and integrated tool environment that enables engineers to effectively search, in a CAD solid model form, for a mechanism design with optimal kinematic and dynamic performance. In order to demonstrate the feasibility of such an environment, design parameterization that supports capturing design intents in product solid models must be available, and advanced modeling, simulation, and optimization technologies implemented in engineering software tools must be incorporated. In this paper, the design parameterization capabilities developed previously have been applied to support design optimization of engineering products, including a High Mobility Multi-purpose Wheeled Vehicle (HMMWV). In the proposed environment, Pro/ENGINEER and SolidWorks are supported for product model representation, DADS (Dynamic Analysis and Design System) is employed for dynamic simulation of mechanical systems including ground vehicles, and DOT (Design Optimization Tool) is included for a batch mode design optimization. In addition to the commercial tools, a number of software modules have been implemented to support the integration; e.g., interface modules for data retrieval, and model update modules for updating CAD and simulation models in accordance with design changes. Note that in this research, the overall finite difference method has been adopted to support design sensitivity analysis. (C) "	 Elsevier Ltd. All rights reserved.	"Chang, KH|Joo, SH"	ADVANCES IN ENGINEERING SOFTWARE	design optimization design parameterization computer-aided design dynamic simulation tool integration	10.1016/j.advengsoft.2006.05.005
16	WOS:000315974500021	2013	Distributed computation of large scale SWAT models on the Grid	PERSPECTIVES SYSTEMS TOOL	"The increasing interest in larger spatial and temporal scale models and high resolution input data processing comes at a price of higher computational demand. This price is evidently even higher when common modeling routines such as calibration and uncertainty analysis are involved. Likewise, methods and techniques for reducing computation time in large scale socio-environmental modeling software is growing. Recent advancements in distributed computing such as Grid infrastructure have provided further opportunity to this effort. In the interest of gaining computational efficiency, we developed generic tools and techniques for enabling the Soil and Water Assessment Tool (SWAT) model application to run on the EGEE (Enabling Grids for E-science projects in Europe) Grid. Various program components/scripts were written to split a large scale hydrological model of the Soil and Water Assessment Tool (SWAT), to submit the split models to the Grid, and to collect and merge results into single output format. A three-step procedure was applied to take advantage of the Grid. Firstly, a python script was run in order to split the SWAT model into several sub-models. Then, individual sub-models were submitted in parallel for execution on the Grid. Finally, the outputs of the sub-basins were collected and the reach routing process was performed with another script executing a modified SWAT program. We conducted experimental simulations with multiple temporal and spatial scale hydrological models on the Grid infrastructure. Results showed that, in spite of computing overheads, parallel computation of socio-environmental models on the Grid is beneficial for model applications especially with large spatial and temporal scales. In the end, we conclude by recommending methods for further reducing computational overheads while running large scale model applications on the Grid. (c) "	 Elsevier Ltd. All rights reserved.	"Yalew, S|van Griensven, A|Ray, N|Kokoszkiewicz, L|Betrie, GD"	ENVIRONMENTAL MODELLING & SOFTWARE	distributed computing grid computing hydrological models swat gridification	10.1016/j.envsoft.2012.08.002
17	WOS:000388155500003	2016	GTApprox: Surrogate modeling for industrial design	SENSITIVITY-ANALYSIS GAUSSIAN-PROCESSES REGRESSION REGULARIZATION ALGORITHM SELECTION MACHINE SPLINES SAMPLES EXPERTS	"We describe GTApprox - a new tool for medium-scale surrogate modeling in industrial design. Compared to existing software, GTApprox brings several innovations: a few novel approximation algorithms, several advanced methods of automated model selection, novel options in the form of hints. We demonstrate the efficiency of GTApprox on a large collection of test problems. In addition, we describe several applications of GTApprox to real engineering problems. (C) "	 Elsevier Ltd. All rights reserved.	"Belyaev, M|Burnaev, E|Kapushev, E|Panov, M|Prikhodko, P|Vetrov, D|Yarotsky, D"	ADVANCES IN ENGINEERING SOFTWARE	approximation surrogate model surrogate-based optimization	10.1016/j.advengsoft.2016.09.001
19	WOS:000276075900006	2010	Object-oriented design of process line simulation and optimization-A case study in papermaking	MULTIDISCIPLINARY DESIGN PAPER FRAMEWORK SYSTEM FLOW	"Simulation-based optimization for industrial process lines is discussed in this paper. Our approach combines multidisciplinary modeling, modern sensitivity analysis methodology as well as multiobjective optimization by means of object-oriented software design principles. As a result, a simulation and optimization approach that can be extended and modified due to users' needs can be developed. Our approach is illustrated by a real-world example from papermaking industry."		"Madetoja, E|Tarvainen, P"	STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION	process line optimization multiobjective optimization multidisciplinary modeling object-oriented programming	10.1007/s00158-009-0451-8
20	WOS:000361906900013	2015	A bootstrap method for estimating uncertainty of water quality trends	LOAD ESTIMATION REGRESSION STREAM VARIABLES MODELS TESTS	"Estimation of the direction and magnitude of trends in surface water quality remains a problem of great scientific and practical interest. The Weighted Regressions on Time, Discharge, and Season (WRTDS) method was recently introduced as an exploratory data analysis tool to provide flexible and robust estimates of water quality trends. This paper enhances the WRTDS method through the introduction of the WRTDS Bootstrap Test (WBT), an extension of WRTDS that quantifies the uncertainty in WRTDS-estimates of water quality trends and offers various ways to visualize and communicate these uncertainties. Monte Carlo experiments are applied to estimate the Type I error probabilities for this method. WBT is compared to other water-quality trend-testing methods appropriate for data sets of one to three decades in length with sampling frequencies of - observations per year. The software to conduct the test is in the EGRETci R-package."	 Published by Elsevier Ltd.	"Hirsch, RM|Archfield, SA|De Cicco, LA"	ENVIRONMENTAL MODELLING & SOFTWARE	water quality bootstrap trend uncertainty analysis	10.1016/j.envsoft.2015.07.017
23	WOS:000409151600011	2017	"Simulation, identification and statistical variation in cardiovascular analysis (SISCA) - A software framework for multi-compartment lumped modeling"	SENSITIVITY-ANALYSIS BLOOD-FLOW ARTERIAL WINDKESSEL PRESSURE SYSTEM HEART	"It has not yet been possible to obtain modeling approaches suitable for covering a wide range of real world scenarios in cardiovascular physiology because many of the system parameters are uncertain or even unknown. Natural variability and statistical variation of cardiovascular system parameters in healthy and diseased conditions are characteristic features for understanding cardiovascular diseases in more detail. This paper presents SISCA, a novel software framework for cardiovascular system modeling and its MATLAB implementation. The framework defines a multi-model statistical ensemble approach for dimension reduced, multi-compartment models and focuses on statistical variation, system identification and patient-specific simulation based on clinical data. We also discuss a data-driven modeling scenario as a use case example. The regarded dataset originated from routine clinical examinations and comprised typical pre and post surgery clinical data from a patient diagnosed with coarctation of aorta. We conducted patient and disease specific pre/post surgery modeling by adapting a validated nominal multi-compartment model with respect to structure and parametrization using metadata and MRI geometry. In both models, the simulation reproduced measured pressures and flows fairly well with respect to stenosis and stent treatment and by pre-treatment cross stenosis phase shift of the pulse wave. However, with post-treatment data showing unrealistic phase shifts and other more obvious inconsistencies within the dataset, the methods and results we present suggest that conditioning and uncertainty management of routine clinical data sets needs significantly more attention to obtain reasonable results in patient-specific cardiovascular modeling."		"Huttary, R|Goubergrits, L|Schutte, C|Bernhard, S"	COMPUTERS IN BIOLOGY AND MEDICINE	windkessel elements lumped models od modeling multi-compartment modeling cardiovascular simulation distributed parameter modeling clinical data set coarctation of aorta patient-specific models disease-specific models multiscale modeling	10.1016/j.compbiomed.2017.05.021
24	WOS:000258484000001	2008	Software framework for parameter updating and finite-element response sensitivity analysis	INELASTIC STRUCTURES RELIABILITY SERVICES PROGRAM	"The finite-element software framework OpenSees is extended with parameter updating and response sensitivity capabilities to support client applications such as reliability, optimization, and system identification. Using software design patterns, member properties, applied loadings, and nodal coordinates can be identified and repeatedly updated in order to create customized finite-element model updating applications. Parameters are identified using a Chain of Responsibility software pattern, where objects in the finite-element model forward a parameterization request to component objects until the request is handled. All messages to identify and update parameters are passed through a Facade that decouples client applications from the finite-element domain of OpenSees. To support response sensitivity analysis, the Strategy design pattern facilitates multiple approaches to evaluate gradients of the structural response, whereas the Visitor pattern ensures that objects in the finite-element domain make the proper contributions to the equations that govern the response sensitivity. Examples demonstrate the software design and the steps taken by representative finite-element model updating and response sensitivity applications."		"Scott, MH|Haukaas, T"	JOURNAL OF COMPUTING IN CIVIL ENGINEERING		10.1061/(ASCE)0887-3801(2008)22:5(281)
25	WOS:000321813200001	2013	Modelling of groundwater infiltration into sewer systems		"Groundwater infiltration into urban sewers represents a problem that influences costs and management of technical systems. The hydrodynamic groundwater software MODFLOW is used to analyse the influencing variables of the infiltration processes. Besides the hydraulic conductivity of the soil and the piezometric head in the vicinity of the sewer pipe, properties of the sewer trench, the shape and the size of leaks are important influencing factors. A non-linear-regression method is applied to develop a one-dimensional approach in accordance with the MODFLOW results and Darcy's law. Monte Carlo simulations and the developed one-dimensional model are used to assess the leak area and the range of pressure loss in the vicinity of the pipe leaks. By additional sensitivity analysis it was found that the infiltration factor and the conductivity of the backfill are very important for the calculation of the leak area."		"Karpf, C|Krebs, P"	URBAN WATER JOURNAL	infiltration sewer modelling parameter sensitivity monte carlo simulations	10.1080/1573062X.2012.724077
27	WOS:000307721100006	2012	Evolutionary topology optimization of periodic composites for extremal magnetic permeability and electrical permittivity	LEVEL-SET STRUCTURAL OPTIMIZATION DESIGN HOMOGENIZATION METAMATERIALS SHAPE MICROSTRUCTURES	"This paper presents a bidirectional evolutionary structural optimization (BESO) method for designing periodic microstructures of two-phase composites with extremal electromagnetic permeability and permittivity. The effective permeability and effective permittivity of the composite are obtained by applying the homogenization technique to the representative periodic base cell (PBC). Single or multiple objectives are defined to maximize or minimize the electromagnetic properties separately or simultaneously. The sensitivity analysis of the objective function is conducted using the adjoint method. Based on the established sensitivity number, BESO gradually evolves the topology of the PBC to an optimum. Numerical examples demonstrate that the electromagnetic properties of the resulting D and D microstructures are very close to the theoretical Hashin-Shtrikman (HS) bounds. The proposed BESO algorithm is computationally efficient as the solution usually converges in less than  iterations. The proposed BESO method can be implemented easily as a post-processor to standard commercial finite element analysis software packages, e.g. ANSYS which has been used in this study. The resulting topologies are clear black-and-white solutions (with no grey areas). Some interesting topological patterns such as Vigdergauz-type structure and Schwarz primitive structure have been found which will be useful for the design of electromagnetic materials."		"Huang, X|Xie, YM|Jia, B|Li, Q|Zhou, SW"	STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION	topology optimization bidirectional evolutionary structural optimization (beso) homogenization effective permeability effective permittivity	10.1007/s00158-012-0766-8
28	WOS:000243927200008	2007	Reliability-based multiobjective optimization for automotive crashworthiness and occupant safety		"This paper presents a methodology for reliability-based multiobjective optimization of large-scale engineering systems. This methodology is applied to the vehicle crashworthiness design optimization for side impact, considering both structural crashworthiness and occupant safety, with structural weight and front door velocity under side impact as objectives. Uncertainty quantification is performed using two first order reliability method-based techniques: approximate moment approach and reliability index approach. Genetic algorithm-based multiobjective optimization software GDOT, developed in-house, is used to come up with an optimal pareto front in all cases. The technique employed in this study treats multiple objective functions separately without combining them in any form. It shows that the vehicle weight can be reduced significantly from the baseline design and at the same time reduce the door velocity. The obtained pareto front brings out useful inferences about optimal design regions. A decision-making criterion is subsequently invoked to select the ""best"" subset of solutions from the obtained nondominated pareto optimal solutions. The reliability, thus computed, is also checked with Monte Carlo simulations. The optimal solution indicated by knee point on the optimal pareto front is verified with LS-DYNA simulation results."		"Sinha, K"	STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION	reliability-based multiobjective optimization uncertainty quantification form nondominated points gdot pareto optimal solution knee point automotive crashworthiness occupant safety side impact monte carlo simulation	10.1007/s00158-006-0050-x
29	WOS:000247276500009	2007	Application of non-linear automatic optimization techniques for calibration of HSPF	GLOBAL OPTIMIZATION MODELS	"Development of TMDLs (total maximum daily loads) is often facilitated by using the software system BASINS (Better Assessment Science Integrating point and Nonpoint Sources). One of the key elements of BASINS is the watershed model HSPF (Hydrological Simulation Program Fortran) developed by USEPA. Calibration of HSPF is a very tedious and time consuming task, more than  parameters are involved in the calibration process. In the current research, three non-linear automatic optimization techniques are applied and compared, as well an efficient way to calibrate HSPF is suggested. Parameter optimization using local and global optimization techniques for the watershed model is discussed. Approaches to automatic calibration of HSPF using the nonlinear parameter estimator PEST (Parameter Estimation Tool) with its Gauss-Marquardt-L evenberg (GMI-) method, Random multiple Search Method (RSM), and Shuffled Complex Evolution method developed at the University of Arizona (SCE-UA) are presented. Sensitivity analysis was conducted and the most and the least sensitive parameters were identified. It was noted that sensitivity depends on number of adjustable parameters. As more parameters were optimized simultaneously - a wider range of parameter values can maintain the model in the calibrated state. Impact of GML, RSM, and SCE-UA variables on ability to find the global minimum of the objective function (OF) was studied and the best variables are suggested. All three methods proved to be more efficient than manual HSPF calibration. Optimization results obtained by these methods are very similar, although in most cases RSM out performs GML and SCE-UA outperforms RSM. GML is a very fast method, it can perform as well as SCE-UA when the variables are properly adjusted, initial guess is good and insensitive parameters are eliminated from the optimization process. SCE-UA is very robust and convenient to use. Logical definition of key variables in most cases leads to the global minimum."		"Iskra, I|Droste, R"	WATER ENVIRONMENT RESEARCH	calibration hspf pest gauss-marquardt-levenberg method sce-ua	10.2175/106143007X156862
