AU,SO,copyright,title,year
"Dou, L|Dou, J",INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS," Copyright (C) 2009 John Wiley & Sons, Ltd.",Sensitivity analysis of lossy nonuniform multiconductor transmission lines based on the Lax-Wendroff technique,2010
"Yen, TC|Chen, WL|Chen, JY",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,Reliability and sensitivity analysis of the controllable repair system with warm standbys and working breakdown,2016
"Yang, ZJ|Chen, X|Kelly, R",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2011 John Wiley & Sons, Ltd.",A topological optimization approach for structural design of a high-speed low-load mechanism using the equivalent static loads method,2012
"Wichern, M|Lubken, M|Schlattmann, M|Gronauer, A|Horn, H",WATER SCIENCE AND TECHNOLOGY,,Investigations and mathematical simulation on decentralized anaerobic treatment of agricultural substrate from livestock farming,2008
"Andersson, B|Waernbaum, I",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,,Sensitivity analysis of violations of the faithfulness assumption,2014
"Shrestha, RR|Bardossy, A|Nestmann, F",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,,Analysis and propagation of uncertainties due to the stage-discharge relationship: a fuzzy set approach,2007
"Senapati, N|Chabbi, A|Giostri, AF|Yeluripati, JB|Smith, P",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2016 Elsevier B.V. All rights reserved.,Modelling nitrous oxide emissions from mown-grass and grain-cropping systems: Testing and sensitivity analysis of DailyDayCent using high frequency measurements,2016
"Zadeh, FK|Nossent, J|Sarrazin, F|Pianosi, F|van Griensven, A|Wagener, T|Bauwens, W",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Comparison of variance-based and moment-independent global sensitivity analysis approaches by application to the SWAT model,2017
"Kjaergaard, T|Baudin, P|Bykov, D|Eriksen, JJ|Ettenhuber, P|Kristensen, K|Larkin, J|Liakh, D|Pawlowski, F|Vose, A|Wang, YM|Jorgensen, P",COMPUTER PHYSICS COMMUNICATIONS, (C) 2016 Elsevier B.V. All rights reserved.,Massively parallel and linear-scaling algorithm for second-order Moller-Plesset perturbation theory applied to the study of supramolecular wires,2017
"Livingston, DP|Tuong, TD",ENVIRONMENTAL AND EXPERIMENTAL BOTANY, (C) 2014 Published by Elsevier B.V.,Understanding the response of winter cereals to freezing stress through freeze-fixation and 3D reconstruction of ice formation in crowns,2014
"Yan, K|Cheng, GD|Wang, BP",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Adjoint methods of sensitivity analysis for Lyapunov equation,2016
"Mashaly, AF|Alazba, AA",JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA,,Application of adaptive neuro-fuzzy inference system (ANFIS) for modeling solar still productivity,2017
"Xiao, NC|Huang, HZ|Wang, ZL|Liu, Y|Zhang, XL",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Unified uncertainty analysis by the mean value first order saddlepoint approximation,2012
"Niclos, R|Galve, JM|Valiente, JA|Estrela, MJ|Coll, C",REMOTE SENSING OF ENVIRONMENT, (C) 2011 Elsevier Inc. All rights reserved.,Accuracy assessment of land surface temperature retrievals from MSG2-SEVIRI data,2011
"Gersborg-Hansen, A|Sigmund, O|Haber, RB",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Topology optimization of channel flow problems,2005
"Elham, A|van Tooren, MJL",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Multi-fidelity wing aerostructural optimization using a trust region filter-SQP algorithm,2017
"Lin, JZ|Luo, Z|Tong, LY",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,A new multi-objective programming scheme for topology optimization of compliant mechanisms,2010
"Allen, PD|Cullington, A",JOURNAL OF SIMULATION,,An approach for generic sensor models,2012
"Farajpour, I|Atamturktur, S",JOURNAL OF COMPUTING IN CIVIL ENGINEERING,,Error and Uncertainty Analysis of Inexact and Imprecise Computer Models,2013
"Aghabeigi, M|Movahhedy, MR",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,An algorithm for geometrical uncertainty analysis in planar truss structures,2014
"Wei, P|Ma, HT|Wang, MY",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,The stiffness spreading method for layout optimization of truss structures,2014
"Lee, W",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2013 Elsevier Inc. All rights reserved.,Adaptive approximation of higher order posterior statistics,2014
"Allen, M|Maute, K",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Reliability-based design optimization of aeroelastic structures,2004
"Miehle, P|Livesley, SJ|Li, CS|Feikema, PM|Adams, MA|Arndt, SK",GLOBAL CHANGE BIOLOGY,,Quantifying uncertainty from large-scale model predictions of forest carbon dynamics,2006
"Fraldi, M|Esposito, L|Carannante, F|Cutolo, A|Nunziante, L",MATHEMATICAL PROBLEMS IN ENGINEERING,,Steady-State Thermoelastic Analytical Solutions for Insulated Pipelines,2016
"Balino, JL|Larreteguy, AE|Lorenzo, AC|Padilla, AG|Lima, FRD",APPLIED MATHEMATICAL MODELLING, (C) 2001 Elsevier Science Inc. All rights reserved.,The differential perturbative method applied to the sensitivity analysis for waterhammer problems in hydraulic networks,2001
"Hyde, KM|Maier, HR|Colby, CB",JOURNAL OF ENVIRONMENTAL MANAGEMENT, Elsevier Ltd. All rights reserved.,A distance-based uncertainty analysis approach to multi-criteria decision analysis for water resource decision making,2005
"Chowdhary, K|Najm, HN",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2016 Elsevier Inc. All rights reserved.,Bayesian estimation of Karhunen-Loeve expansions; A random subspace approach,2016
"Dutta, S|Hoffmann, E|Hahn, HH",WATER SCIENCE AND TECHNOLOGY,,Study of rotating biological contactor performance in wastewater treatment using multi-culture biofilm model,2007
"Lavoie, M|Phillips, CL|Risk, D",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,,A practical approach for uncertainty quantification of high-frequency soil respiration using Forced Diffusion chambers,2015
"Le, M|Unkelbach, J|Ayache, N|Delingette, H",MEDICAL IMAGE ANALYSIS, (C) 2016 Published by Elsevier B.V.,Sampling image segmentations for uncertainty quantification,2016
"Wang, Q|Arora, JS",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2009 John Wiley & Sons, Ltd.",Several simultaneous formulations for transient dynamic response optimization: An evaluation,2009
"Strand, JS|Goldstein, DB",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2013 Elsevier Inc. All rights reserved.,Global sensitivity analysis for DSMC simulations of hypersonic shocks,2013
"Babuska, I|Motamed, M|Tempone, R",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, Published by Elsevier B.V.,A stochastic multiscale method for the elastodynamic wave equation arising from fiber composites,2014
"Kartal, ME|Basaga, HB|Bayraktar, A",APPLIED MATHEMATICAL MODELLING, (C) 2010 Elsevier Inc. All rights reserved.,Probabilistic nonlinear analysis of CFR dams by MCS using Response Surface Method,2011
"de Gournay, F|Fehrenbach, J|Plouraboue, F",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Shape optimization for the generalized Graetz problem,2014
"Sinha, K",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Reliability-based multiobjective optimization for automotive crashworthiness and occupant safety,2007
"Jensen, HA|Munoz, A|Papadimitriou, C|Vergara, C",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2016 Elsevier B.V. All rights reserved.,An enhanced substructure coupling technique for dynamic re-analyses: Application to simulation-based problems,2016
"Zettinig, O|Mansi, T|Neumann, D|Georgescu, B|Rapaka, S|Seegerer, P|Kayvanpour, E|Sedaghat-Hamedani, F|Amr, A|Haas, J|Steen, H|Katus, H|Meder, B|Navab, N|Kamen, A|Comaniciu, D",MEDICAL IMAGE ANALYSIS, (C) 2014 Elsevier B.V. All rights reserved.,Data-driven estimation of cardiac electrical diffusivity from 12-lead ECG signals,2014
"Rafique, R|Fienen, MN|Parkin, TB|Anex, RP",WATER AIR AND SOIL POLLUTION,,Nitrous Oxide Emissions from Cropland: a Procedure for Calibrating the DayCent Biogeochemical Model Using Inverse Modelling,2013
"Zhang, W|Li, T",WATER RESOURCES MANAGEMENT,,The Influence of Objective Function and Acceptability Threshold on Uncertainty Assessment of an Urban Drainage Hydraulic Model with Generalized Likelihood Uncertainty Estimation Methodology,2015
"Papoutsis-Kiachagias, EM|Kyriacou, SA|Giannakoglou, KC",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2014 Elsevier B.V. All rights reserved.,The continuous adjoint method for the design of hydraulic turbomachines,2014
"Zeng, XK|Wu, JC|Wang, D|Zhu, XB",JOURNAL OF HYDROINFORMATICS,,The characteristics of probability distribution of groundwater model output based on sensitivity analysis,2014
"Sloan, J|Sun, YW|Carrigan, C",JOURNAL OF ENVIRONMENTAL RADIOACTIVITY, Elsevier Ltd. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).,Uncertainty quantification for discrimination of nuclear events as violations of the comprehensive nuclear-test-ban treaty,2016
"Ruiz-Perez, G|Medici, C|Latron, J|Llorens, P|Gallart, F|Frances, F",HYDROLOGICAL PROCESSES," Copyright (c) 2015 John Wiley & Sons, Ltd.",Investigating the behaviour of a small Mediterranean catchment using three different hydrological models as hypotheses,2016
"McIntyre, N|Bardossy, A",WATER,,Using Probable Maximum Precipitation to Bound the Disaggregation of Rainfall,2017
"Falco, SA|Afonso, SMB|Vaz, LE",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Analysis and optimal design of plates and shells under dynamic loads - II: optimization,2004
"Nam, DH|Mai, DT|Udo, K|Mano, A",HYDROLOGICAL PROCESSES," Copyright (c) 2013 John Wiley & Sons, Ltd.",Short-term flood inundation prediction using hydrologic-hydraulic models forced with downscaled rainfall from global NWP,2014
"Liu, WL|Wu, XG|Zhang, LM|Zheng, JJ|Teng, JY",JOURNAL OF COMPUTING IN CIVIL ENGINEERING, (C) 2017 American Society of Civil Engineers.,Global Sensitivity Analysis of Tunnel-Induced Building Movements by a Precise Metamodel,2017
"Gupta, S|Basant, N|Singh, KP",SAR AND QSAR IN ENVIRONMENTAL RESEARCH,,Qualitative and quantitative structure-activity relationship modelling for predicting blood-brain barrier permeability of structurally diverse chemicals,2015
"Sellami, H|La Jeunesse, I|Benabdallah, S|Vanclooster, M",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,,Parameter and rating curve uncertainty propagation analysis of the SWAT model for two small Mediterranean catchments,2013
"Chen, WJ|Chen, J|Liu, J|Cihlar, J",GLOBAL BIOGEOCHEMICAL CYCLES,,Approaches for reducing uncertainties in regional forest carbon balance,2000
"Yumusak, M",COMPUTERS & FLUIDS, Elsevier Ltd. All rights reserved.,Analysis and design optimization of solid rocket motors in viscous flows,2013
"Williams, M|Schwarz, PA|Law, BE|Irvine, J|Kurpius, MR",GLOBAL CHANGE BIOLOGY,,An improved analysis of forest carbon dynamics using data assimilation,2005
"Bayon, L|Otero, JA|Suarez, PM|Tasis, C",JOURNAL OF MATHEMATICAL CHEMISTRY,,Solving linear unbranched pathways with Michaelis-Menten kinetics using the Lambert W-function,2016
"Perrin, C|Oudin, L|Andreassian, V|Rojas-Serna, C|Michel, C|Mathevet, T",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,,Impact of limited streamflow data on the efficiency and the parameters of rainfall-runoff models,2007
"Lin, ZL|Radcliffe, DE",VADOSE ZONE JOURNAL,,Automatic calibration and predictive uncertainty analysis of a semidistributed watershed model,2006
"Vasan, A|Raju, KS",APPLIED SOFT COMPUTING, (C) 2008 Elsevier B.V. All rights reserved.,"Comparative analysis of Simulated Annealing, Simulated Quenching and Genetic Algorithms for optimal reservoir operation",2009
"Liu, J|Han, X|Jiang, C|Ning, HM|Bai, YC",INTERNATIONAL JOURNAL OF COMPUTATIONAL METHODS,,DYNAMIC LOAD IDENTIFICATION FOR UNCERTAIN STRUCTURES BASED ON INTERVAL ANALYSIS AND REGULARIZATION METHOD,2011
"Solon, K|Flores-Alsina, X|Gernaey, KV|Jeppsson, U",WATER SCIENCE AND TECHNOLOGY,,"Effects of influent fractionation, kinetics, stoichiometry and mass transfer on CH4, H-2 and CO2 production for (plant-wide) modeling of anaerobic digesters",2015
"Pulch, R|ter Maten, EJW",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,STOCHASTIC GALERKIN METHODS AND MODEL ORDER REDUCTION FOR LINEAR DYNAMICAL SYSTEMS,2015
"Weiss, AY|Huisinga, W",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2011 Elsevier Inc. All rights reserved.,Error-controlled global sensitivity analysis of ordinary differential equations,2011
"Wang, ZP|Poh, LH|Dirrenberger, J|Zhu, YL|Forest, S",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2017 Elsevier B.V. All rights reserved.,Isogeometric shape optimization of smoothed petal auxetic structures via computational periodic homogenization,2017
"Boussaa, D",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2009 Published by Elsevier B.V.,Optimization of temperature-dependent functionally graded material bodies,2009
"Akbari, J|Kim, NH|Ahmadi, MT",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Shape sensitivity analysis with design-dependent loadings-equivalence between continuum and discrete derivatives,2010
"Raisee, M|Kumar, D|Lacor, C",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (c) 2015 John Wiley & Sons, Ltd.",A non-intrusive model reduction approach for polynomial chaos expansion using proper orthogonal decomposition,2015
"van Bodegom, PM|Wassman, R|Metra-Corton, TM",GLOBAL BIOGEOCHEMICAL CYCLES,,A process-based model for methane emission predictions from flooded rice paddies,2001
"Ke, JC|Liu, TH|Yang, DY",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,Machine repairing systems with standby switching failure,2016
"Ganis, B|Klie, H|Wheeler, MF|Wildey, T|Yotov, I|Zhang, DX",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2008 Elsevier B.V. All rights reserved.,Stochastic collocation and mixed finite elements for flow in porous media,2008
"Shin, MJ|Guillaume, JHA|Croke, BFW|Jakeman, AJ",JOURNAL OF HYDROLOGY, (C) 2013 Elsevier B.V. All rights reserved.,Addressing ten questions about conceptual rainfall-runoff models with global sensitivity analyses in R,2013
"Buitenhuis, ET|van der Wal, P|de Baar, HJW",GLOBAL BIOGEOCHEMICAL CYCLES,,Blooms of Emiliania huxleyi are sinks of atmospheric carbon dioxide: A field and mesocosm study derived simulation,2001
"Cheng, H|Chen, J|Zhang, YB|Bi, CX|Gao, Y",ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS, Elsevier Ltd. All rights reserved.,A multi-domain boundary element formulation for acoustic frequency sensitivity analysis,2009
"Stoyanov, M|Webster, CG",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,A GRADIENT-BASED SAMPLING APPROACH FOR DIMENSION REDUCTION OF PARTIAL DIFFERENTIAL EQUATIONS WITH STOCHASTIC COEFFICIENTS,2015
"Adjali, MH|Davies, M|Rees, SW|Littler, J",BUILDING AND ENVIRONMENT, (C) 2000 Elsevier Science Ltd. All rights reserved.,Temperatures in and under a slab-on-ground floor: two- and three-dimensional numerical simulations and comparison with experimental data,2000
"Mei, YL|Wang, XM",ADVANCES IN ENGINEERING SOFTWARE, Elsevier Ltd. All rights reserved.,A level set method for structural topology optimization and its applications,2004
"Rao, V|Sandu, A",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2016 Published by Elsevier Inc.,A time-parallel approach to strong-constraint four-dimensional variational data assimilation,2016
"Tang, Y|Reed, P|Wagener, T|van Werkhoven, K",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Comparing sensitivity analysis methods to advance lumped watershed model identification and evaluation,2007
"Bingeman, AK|Kouwen, N|Soulis, ED",JOURNAL OF HYDROLOGIC ENGINEERING,,Validation of the hydrological processes in a hydrological model,2006
"de Baar, J|Roberts, S|Dwight, R|Mallol, B",COMPUTERS & FLUIDS, Elsevier Ltd. All rights reserved.,"Uncertainty quantification for a sailing yacht hull, using multi-fidelity kriging",2015
"Mudhoo, A|Mohee, R",JOURNAL OF ENVIRONMENTAL INFORMATICS,,Sensitivity Analysis and Parameter Optimization of a Heat Loss Model for a Composting System,2006
"Chatterjee, C|Forster, S|Bronstert, A",HYDROLOGICAL PROCESSES," Copyright (C) 2008 John Wiley & Sons, Ltd.",Comparison of hydrodynamic models of different complexities to model floods with emergency storage areas,2008
"Batou, A|Soize, C",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,UNCERTAINTY QUANTIFICATION IN LOW-FREQUENCY DYNAMICS OF COMPLEX BEAM-LIKE STRUCTURES HAVING A HIGH-MODAL DENSITY,2013
"Montaldo, N|Mancini, M|Rosso, R",HYDROLOGICAL PROCESSES," Copyright (C) 2004 John Wiley Sons, Ltd.",Flood hydrograph attenuation induced by a reservoir system: analysis with a distributed rainfall-runoff model,2004
"Ng, SH|Chick, SE",ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,,Reducing parameter uncertainty for stochastic systems,2006
"Graham, IG|Kuo, FY|Nuyens, D|Scheichl, R|Sloan, IH",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2011 Elsevier Inc. All rights reserved.,Quasi-Monte Carlo methods for elliptic PDEs with random coefficients and applications,2011
"Audenaert, WTM|Callewaert, M|Nopens, I|Cromphout, J|Vanhoucke, R|Dumoulin, A|Dejans, P|Van Hulle, SWH",CHEMICAL ENGINEERING JOURNAL, (C) 2010 Elsevier B.V. All rights reserved.,Full-scale modelling of an ozone reactor for drinking water treatment,2010
"Watson, TA|Doherty, JE|Christensen, S",WATER RESOURCES RESEARCH,,Parameter and predictive outcomes of model simplification,2013
"Zhao, WR|Liao, QW|Zhang, J|Yang, YA|Dai, JS|Zhao, DY",CHEMICAL ENGINEERING JOURNAL, (C) 2011 Elsevier B.V. All rights reserved.,"Oxidation of Cationic Red X-GRL by ozonation combined with UV radiation in aqueous solution: Degradation, kinetics, and modeling",2011
"Lipovetsky, S",INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,,SURF - Structural Unduplicated Reach and Frequency: Latent class TURF and Shapley Value analyses,2008
"Zhai, H|Liu, YK|Yang, K",APPLIED MATHEMATICAL MODELLING, (C) 2015 Elsevier Inc. All rights reserved.,Modeling two-stage UHL problem with uncertain demands,2016
"Cacuci, DG",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2014 Elsevier Inc. All rights reserved.,Second-order adjoint sensitivity analysis methodology (2nd-ASAM) for computing exactly and efficiently first- and second-order sensitivities in large-scale linear systems: II. Illustrative application to a paradigm particle diffusion problem,2015
"Vytyaz, I|Lee, DC|Hanumolu, PK|Moon, UK|Mayaram, K",IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,,Automated Design and Optimization of Low-Noise Oscillators,2009
"Yaji, K|Yamada, T|Yoshino, M|Matsumoto, T|Izui, K|Nishiwaki, S",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2015 Elsevier Inc. All rights reserved.u,Topology optimization in thermal-fluid flow using the lattice Boltzmann method,2016
"Jing, TT|Feng, Z|Hu, Y|Hong, XL|Hu, XD|Yan, GY",IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,,lambda-OAT: lambda-geometry obstacle-avoiding tree construction with o (n log n) complexity,2007
"Starrfelt, J|Kaste, O",ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS,,Bayesian uncertainty assessment of a semi-distributed integrated catchment model of phosphorus transport,2014
"Le Gratiet, L|Garnier, J",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,RECURSIVE CO-KRIGING MODEL FOR DESIGN OF COMPUTER EXPERIMENTS WITH MULTIPLE LEVELS OF FIDELITY,2014
"Kopriva, I|Jeric, I",CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS, (C) 2014 Elsevier B.V. All rights reserved.,Blind separation of analytes in nuclear magnetic resonance spectroscopy: Improved model for nonnegative matrix factorization,2014
"Li, Z|Mao, XZ",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Global multiquadric collocation method for groundwater contaminant source identification,2011
"Borowiak, D|Das, A",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,,Sensitivity analysis of the t-distribution under truncated normal populations,2009
"McIntyre, N|Al-Qurashi, A",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Performance of ten rainfall-runoff models applied to an arid catchment in Oman,2009
"Maneta, MP|Wallender, WW",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,,Pilot-point based multi-objective calibration in a surface-subsurface distributed hydrological model,2013
"Yang, XW|Li, YM",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Structural topology optimization on dynamic compliance at resonance frequency in thermal environments,2014
"Pai, P|Gad, E|Achar, R|Nakhla, M|Khazaka, R",INFORMS JOURNAL ON COMPUTING,,A projection-based reduction approach to computing sensitivity of steady-state response of nonlinear circuits,2006
"Gharari, S|Hrachowitz, M|Fenicia, F|Savenije, HHG",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Hydrological landscape classification: investigating the performance of HAND based landscape classifications in a central European meso-scale catchment,2011
"Marrel, A|Iooss, B|Van Dorpe, F|Volkova, E",COMPUTATIONAL STATISTICS & DATA ANALYSIS, (C) 2008 Elsevier B.V. All rights reserved.,An efficient methodology for modeling complex computer codes with Gaussian processes,2008
"Walz, O|Marks, C|Viell, J|Mitsos, A",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Systematic approach for modeling reaction networks involving equilibrium and kinetically-limited reaction steps,2017
"Smith, JE|Heath, LS",ENVIRONMENTAL MANAGEMENT,,Identifying influences on model uncertainty: An application using a forest carbon budget model,2001
"Gill, J|Divo, E|Kassab, AJ",ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS, Elsevier Ltd. All rights reserved.,Estimating thermal contact resistance using sensitivity analysis and regularization,2009
"Lee, PH|Torng, CC|Lin, YC",APPLIED MATHEMATICAL MODELLING, (C) 2011 Elsevier Inc. All rights reserved.,Determination of the optimal accelerated burn-in time under Arrhenius-Lognormal distribution assumption,2011
"Beddows, AV|Kitwiroon, N|Williams, ML|Beevers, SD",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Emulation and Sensitivity Analysis of the Community Multiscale Air Quality Model for a UK Ozone Pollution Episode,2017
"Wang, HQ|Lin, G|Li, JL",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2016 Elsevier Inc. All rights reserved.,Gaussian process surrogates for failure detection: A Bayesian experimental design approach,2016
"Cardoso, JB|Sousa, LG|Castro, JA|Valido, AJ",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Optimal design of laminated composite beam structures,2002
"Hug, T|Gujer, W|Siegrist, H",WATER RESEARCH, Elsevier Ltd. All rights reserved.,Rapid quantification of bacteria in activated sludge using fluorescence in situ hybridization and epifluorescence microscopy,2005
"Hupet, F|Vanclooster, M",JOURNAL OF HYDROLOGY, (C) 2001 Elsevier Science B.V. All rights reserved.,Effect of the sampling frequency of meteorological variables on the estimation of the reference evapotranspiration,2001
"Li, GY|Rabitz, H",JOURNAL OF MATHEMATICAL CHEMISTRY,,Analytical HDMR formulas for functions expressed as quadratic polynomials with a multivariate normal distribution,2014
