AU,year,title,journal,citations,Avg. Citations,DOI link
"Andreassian, V|Perrin, C|Michel, C|Usart-Sanchez, I|Lavabre, J",2001,Impact of imperfect rainfall knowledge on the efficiency and the parameters of watershed models,JOURNAL OF HYDROLOGY,169,9.94,https://dx.doi.org/10.1016/S0022-1694(01)00437-1
"Novotny, AA|Feijoo, RA|Taroco, E|Padra, C",2003,Topological sensitivity analysis,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,167,11.13,https://dx.doi.org/10.1016/S0045-7825(02)00599-6
"Doltsinis, I|Kang, Z",2004,Robust design of structures using optimization methods,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,153,10.93,https://dx.doi.org/10.1016/j.cma.2003.12.055
"Nossent, J|Elsen, P|Bauwens, W",2011,Sobol' sensitivity analysis of a complex environmental model,ENVIRONMENTAL MODELLING & SOFTWARE,152,21.71,https://dx.doi.org/10.1016/j.envsoft.2011.08.010
"Lindgren, LE",2006,Numerical modelling of welding,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,142,11.83,https://dx.doi.org/10.1016/j.cma.2005.08.018
"Pianosi, F|Beven, K|Freer, J|Hall, JW|Rougier, J|Stephenson, DB|Wagener, T",2016,Sensitivity analysis of environmental models: A systematic review with practical workflow,ENVIRONMENTAL MODELLING & SOFTWARE,138,69.0,https://dx.doi.org/10.1016/j.envsoft.2016.02.008
"Marzouk, YM|Najm, HN",2009,Dimensionality reduction and polynomial chaos acceleration of Bayesian inference in inverse problems,JOURNAL OF COMPUTATIONAL PHYSICS,138,15.33,https://dx.doi.org/10.1016/j.jcp.2008.11.024
"Yang, J|Reichert, P|Abbaspour, KC|Yang, H",2007,Hydrological modelling of the chaohe basin in china: Statistical model formulation and Bayesian inference,JOURNAL OF HYDROLOGY,133,12.09,https://dx.doi.org/10.1016/j.jhydrol.2007.04.006
"Filatova, T|Verburg, PH|Parker, DC|Stannard, CA",2013,Spatial agent-based models for socio-ecological systems: Challenges and prospects,ENVIRONMENTAL MODELLING & SOFTWARE,131,26.2,https://dx.doi.org/10.1016/j.envsoft.2013.03.017
"van Keulen, F|Haftka, RT|Kim, NH",2005,Review of options for structural design sensitivity analysis. Part 1: Linear systems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,129,9.92,https://dx.doi.org/10.1016/j.cma.2005.02.002
"Sandu, A|Daescu, DN|Carmichael, GR|Chai, TF",2005,Adjoint sensitivity analysis of regional air quality models,JOURNAL OF COMPUTATIONAL PHYSICS,127,9.77,https://dx.doi.org/10.1016/j.jcp.2004.10.011
"Uusitalo, L|Lehikoinen, A|Helle, I|Myrberg, K",2015,An overview of methods to evaluate uncertainty of deterministic models in decision support,ENVIRONMENTAL MODELLING & SOFTWARE,125,41.67,https://dx.doi.org/10.1016/j.envsoft.2014.09.017
"Yang, J",2011,Convergence and uncertainty analyses in Monte-Carlo based sensitivity analysis,ENVIRONMENTAL MODELLING & SOFTWARE,121,17.29,https://dx.doi.org/10.1016/j.envsoft.2010.10.007
"Jasper, K|Gurtz, J|Herbert, L",2002,Advanced flood forecasting in Alpine watersheds by coupling meteorological observations and forecasts with a distributed hydrological model,JOURNAL OF HYDROLOGY,117,7.31,https://dx.doi.org/10.1016/S0022-1694(02)00138-5
"Luo, YJ|Kang, Z|Luo, Z|Li, A",2009,Continuum topology optimization with non-probabilistic reliability constraints based on multi-ellipsoid convex model,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,115,12.78,https://dx.doi.org/10.1007/s00158-008-0329-1
"Dubourg, V|Sudret, B|Bourinet, JM",2011,Reliability-based design optimization using kriging surrogates and subset simulation,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,111,15.86,https://dx.doi.org/10.1007/s00158-011-0653-8
"Oh, HJ|Kim, YS|Choi, JK|Park, E|Lee, S",2011,"GIS mapping of regional probabilistic groundwater potential in the area of Pohang City, Korea",JOURNAL OF HYDROLOGY,109,15.57,https://dx.doi.org/10.1016/j.jhydrol.2010.12.027
"Blasone, RS|Madsen, H|Rosbjerg, D",2008,Uncertainty assessment of integrated distributed hydrological models using GLUE with Markov chain Monte Carlo sampling,JOURNAL OF HYDROLOGY,108,10.8,https://dx.doi.org/10.1016/j.jhydrol.2007.12.026
"Oudin, L|Perrin, C|Mathevet, T|Andreassian, V|Michel, C",2006,Impact of biased and randomly corrupted inputs on the efficiency and the parameters of watershed models,JOURNAL OF HYDROLOGY,108,9.0,https://dx.doi.org/10.1016/j.jhydrol.2005.07.016
"Green, CH|van Griensven, A",2008,Autocalibration in hydrologic modeling: Using SWAT2005 in small-scale watersheds,ENVIRONMENTAL MODELLING & SOFTWARE,100,10.0,https://dx.doi.org/10.1016/j.envsoft.2007.06.002
"Choi, HT|Beven, K",2007,Multi-period and multi-criteria model conditioning to reduce prediction uncertainty in an application of TOPMODEL within the GLUE framework,JOURNAL OF HYDROLOGY,97,8.82,https://dx.doi.org/10.1016/j.jhydrol.2006.07.012
"Wang, SY|Lim, KM|Khoo, BC|Wang, MY",2007,An extended level set method for shape and topology optimization,JOURNAL OF COMPUTATIONAL PHYSICS,96,8.73,https://dx.doi.org/10.1016/j.jcp.2006.06.029
"Landuyt, D|Broekx, S|D'hondt, R|Engelen, G|Aertsens, J|Goethals, PLM",2013,A review of Bayesian belief networks in ecosystem service modelling,ENVIRONMENTAL MODELLING & SOFTWARE,95,19.0,https://dx.doi.org/10.1016/j.envsoft.2013.03.011
"Kannan, N|White, SM|Worrall, F|Whelan, MJ",2007,Sensitivity analysis and identification of the best evapotranspiration and runoff options for hydrological modelling in SWAT-2000,JOURNAL OF HYDROLOGY,94,8.55,https://dx.doi.org/10.1016/j.jhydrol.2006.08.001
"Kang, BS|Park, GJ|Arora, JS",2006,A review of optimization of structures subjected to transient loads,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,94,7.83,https://dx.doi.org/10.1007/s00158-005-0575-4
"Maute, K|Allen, M",2004,Conceptual design of aeroelastic structures by topology optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,91,6.5,https://dx.doi.org/10.1007/s00158-003-0362-z
"Cho, S|Ha, SH",2009,Isogeometric shape design optimization: exact geometry and enhanced sensitivity,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,88,9.78,https://dx.doi.org/10.1007/s00158-008-0266-z
"Wagener, T|Kollat, J",2007,Numerical and visual evaluation of hydrological and environmental models using the Monte Carlo analysis toolbox,ENVIRONMENTAL MODELLING & SOFTWARE,87,7.91,https://dx.doi.org/10.1016/j.envsoft.2006.06.017
"Song, XM|Zhang, JY|Zhan, CS|Xuan, YQ|Ye, M|Xu, CG",2015,"Global sensitivity analysis in hydrological modeling: Review of concepts, methods, theoretical framework, and applications",JOURNAL OF HYDROLOGY,85,28.33,https://dx.doi.org/10.1016/j.jhydrol.2015.02.013
"Lermusiaux, PFJ",2006,Uncertainty estimation and prediction for interdisciplinary ocean dynamics,JOURNAL OF COMPUTATIONAL PHYSICS,85,7.08,https://dx.doi.org/10.1016/j.jcp.2006.02.010
"Carvalho, D|Rocha, A|Gomez-Gesteira, M|Santos, C",2012,A sensitivity study of the WRF model in wind simulation for an area of high wind energy,ENVIRONMENTAL MODELLING & SOFTWARE,82,13.67,https://dx.doi.org/10.1016/j.envsoft.2012.01.019
"Wagner, PD|Fiener, P|Wilken, F|Kumar, S|Schneider, K",2012,Comparison and evaluation of spatial interpolation schemes for daily rainfall in data scarce regions,JOURNAL OF HYDROLOGY,81,13.5,https://dx.doi.org/10.1016/j.jhydrol.2012.07.026
"Andreassian, V|Perrin, C|Michel, C",2004,Impact of imperfect potential evapotranspiration knowledge on the efficiency and parameters of watershed models,JOURNAL OF HYDROLOGY,77,5.5,https://dx.doi.org/10.1016/j.jhydrol.2003.09.030
"Lee, I|Choi, KK|Zhao, L",2011,Sampling-based RBDO using the stochastic sensitivity analysis and Dynamic Kriging method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,77,11.0,https://dx.doi.org/10.1007/s00158-011-0659-2
"Carpenter, TM|Georgakakos, KP|Sperfslagea, JA",2001,On the parametric and NEXRAD-radar sensitivities of a distributed hydrologic model suitable for operational use,JOURNAL OF HYDROLOGY,77,4.53,https://dx.doi.org/10.1016/S0022-1694(01)00476-0
"Talischi, C|Paulino, GH|Pereira, A|Menezes, IFM",2012,PolyTop: a Matlab implementation of a general topology optimization framework using unstructured polygonal finite element meshes,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,76,12.67,https://dx.doi.org/10.1007/s00158-011-0696-x
"Szeliga, D|Gawad, J|Pietrzyk, M",2006,Inverse analysis for identification of rheological and friction models in metal forming,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,76,6.33,https://dx.doi.org/10.1016/j.cma.2005.03.015
"Huan, X|Marzouk, YM",2013,Simulation-based optimal Bayesian experimental design for nonlinear systems,JOURNAL OF COMPUTATIONAL PHYSICS,75,15.0,https://dx.doi.org/10.1016/j.jcp.2012.08.013
"Di Baldassarre, G|Schumann, G|Bates, PD",2009,A technique for the calibration of hydraulic models using uncertain satellite observations of flood extent,JOURNAL OF HYDROLOGY,74,8.22,https://dx.doi.org/10.1016/j.jhydrol.2009.01.020
"Chu-Agor, ML|Munoz-Carpena, R|Kiker, G|Emanuelsson, A|Linkov, I",2011,Exploring vulnerability of coastal habitats to sea level rise through global sensitivity and uncertainty analyses,ENVIRONMENTAL MODELLING & SOFTWARE,74,10.57,https://dx.doi.org/10.1016/j.envsoft.2010.12.003
"Gan, YJ|Duan, QY|Gong, W|Tong, C|Sun, YW|Chu, W|Ye, AZ|Miao, CY|Di, ZH",2014,A comprehensive evaluation of various sensitivity analysis methods: A case study with a hydrological model,ENVIRONMENTAL MODELLING & SOFTWARE,74,18.5,https://dx.doi.org/10.1016/j.envsoft.2013.09.031
"Luo, JZ|Luo, Z|Chen, LP|Tong, LY|Wang, MY",2008,A semi-implicit level set method for structural shape and topology optimization,JOURNAL OF COMPUTATIONAL PHYSICS,73,7.3,https://dx.doi.org/10.1016/j.jcp.2008.02.003
"Holmberg, E|Torstenfelt, B|Klarbring, A",2013,Stress constrained topology optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,72,14.4,https://dx.doi.org/10.1007/s00158-012-0880-7
"Manache, G|Melching, CS",2008,Identification of reliable regression- and correlation-based sensitivity measures for importance ranking of water-quality model parameters,ENVIRONMENTAL MODELLING & SOFTWARE,72,7.2,https://dx.doi.org/10.1016/j.envsoft.2007.08.001
"Li, ZL|Shao, QX|Xu, ZX|Cai, XT",2010,Analysis of parameter uncertainty in semi-distributed hydrological models using bootstrap method: A case study of SWAT model applied to Yingluoxia watershed in northwest China,JOURNAL OF HYDROLOGY,71,8.88,https://dx.doi.org/10.1016/j.jhydrol.2010.01.025
"Warmink, JJ|Janssen, JAEB|Booij, MJ|Krol, MS",2010,Identification and classification of uncertainties in the application of environmental models,ENVIRONMENTAL MODELLING & SOFTWARE,71,8.88,https://dx.doi.org/10.1016/j.envsoft.2010.04.011
"Yen, H|Wang, XY|Fontane, DG|Harmel, RD|Arabi, M",2014,"A framework for propagation of uncertainty contributed by parameterization, input data, model structure, and calibration/validation data in watershed modeling",ENVIRONMENTAL MODELLING & SOFTWARE,70,17.5,https://dx.doi.org/10.1016/j.envsoft.2014.01.004
"Werner, MGF|Hunter, NM|Bates, PD",2005,Identifiability of distributed floodplain roughness values in flood extent estimation,JOURNAL OF HYDROLOGY,69,5.31,https://dx.doi.org/10.1016/j.jhydrol.2005.03.012
"Freni, G|Mannina, G|Viviani, G",2009,Urban runoff modelling uncertainty: Comparison among Bayesian and pseudo-Bayesian methods,ENVIRONMENTAL MODELLING & SOFTWARE,67,7.44,https://dx.doi.org/10.1016/j.envsoft.2009.03.003
"Harmel, RD|Smith, DR|King, KW|Slade, RM",2009,Estimating storm discharge and water quality data uncertainty: A software tool for monitoring and modeling applications,ENVIRONMENTAL MODELLING & SOFTWARE,66,7.33,https://dx.doi.org/10.1016/j.envsoft.2008.12.006
"Karterakis, SM|Karatzas, GP|Nikolos, IK|Papadopoulou, MP",2007,Application of linear programming and differential evolutionary optimization methodologies for the solution of coastal subsurface water management problems subject to environmental criteria,JOURNAL OF HYDROLOGY,66,6.0,https://dx.doi.org/10.1016/j.jhydrol.2007.05.027
"Razavi, S|Tolson, BA|Burn, DH",2012,Numerical assessment of metamodelling strategies in computationally intensive optimization,ENVIRONMENTAL MODELLING & SOFTWARE,66,11.0,https://dx.doi.org/10.1016/j.envsoft.2011.09.010
"Joerin, C|Beven, KJ|Iorgulescu, I|Musy, A",2002,Uncertainty in hydrograph separations based on geochemical mixing models,JOURNAL OF HYDROLOGY,66,4.12,https://dx.doi.org/10.1016/S0022-1694(01)00509-1
"Yang, X|Choi, M|Lin, G|Karniadakis, GE",2012,Adaptive ANOVA decomposition of stochastic incompressible and compressible flows,JOURNAL OF COMPUTATIONAL PHYSICS,66,11.0,https://dx.doi.org/10.1016/j.jcp.2011.10.028
"Haddad, K|Rahman, A",2012,Regional flood frequency analysis in eastern Australia: Bayesian GLS regression-based methods within fixed region and ROI framework - Quantile Regression vs. Parameter Regression Technique,JOURNAL OF HYDROLOGY,64,10.67,https://dx.doi.org/10.1016/j.jhydrol.2012.02.012
"Bastin, L|Cornford, D|Jones, R|Heuvelink, GBM|Pebesma, E|Stasch, C|Nativi, S|Mazzetti, P|Williams, M",2013,Managing uncertainty in integrated environmental modelling: The UncertWeb framework,ENVIRONMENTAL MODELLING & SOFTWARE,62,12.4,https://dx.doi.org/10.1016/j.envsoft.2012.02.008
"Xiang, YJ|Arora, JS|Abdel-Malek, K",2010,Physics-based modeling and simulation of human walking: a review of optimization-based and other approaches,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,61,7.62,https://dx.doi.org/10.1007/s00158-010-0496-8
"Teng, J|Jakeman, AJ|Vaze, J|Croke, BFW|Dutta, D|Kim, S",2017,"Flood inundation modelling: A review of methods, recent advances and uncertainty analysis",ENVIRONMENTAL MODELLING & SOFTWARE,61,61.0,https://dx.doi.org/10.1016/j.envsoft.2017.01.006
"Yin, XL|Chen, W|To, A|McVeigh, C|Liu, WK",2008,Statistical volume element method for predicting micro structure-constitutive property relations,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,61,6.1,https://dx.doi.org/10.1016/j.cma.2008.01.008
"Dotto, CBS|Kleidorfer, M|Deletic, A|Rauch, W|McCarthy, DT|Fletcher, TD",2011,Performance and sensitivity analysis of stormwater models using a Bayesian approach and long-term high resolution data,ENVIRONMENTAL MODELLING & SOFTWARE,60,8.57,https://dx.doi.org/10.1016/j.envsoft.2011.03.013
"Venkataraman, S|Haftka, RT",2004,Structural optimization complexity: what has Moore's law done for us?,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,59,4.21,https://dx.doi.org/10.1007/s00158-004-0415-y
"Chen, SK|Chen, W",2011,A new level-set based approach to shape and topology optimization under geometric uncertainty,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,58,8.29,https://dx.doi.org/10.1007/s00158-011-0660-9
"Gano, SE|Renaud, JE|Martin, JD|Simpson, TW",2006,Update strategies for kriging models used in variable fidelity optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,58,4.83,https://dx.doi.org/10.1007/s00158-006-0025-y
"Tartakovsky, DM|Xiu, DB",2006,Stochastic analysis of transport in tubes with rough walls,JOURNAL OF COMPUTATIONAL PHYSICS,57,4.75,https://dx.doi.org/10.1016/j.jcp.2006.02.029
"Higdon, D|Nakhleh, C|Gattiker, J|Williams, B",2008,A Bayesian calibration approach to the thermal problem,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,56,5.6,https://dx.doi.org/10.1016/j.cma.2007.05.031
"Ramlau, R|Ring, W",2007,A Mumford-Shah level-set approach for the inversion and segmentation of X-ray tomography data,JOURNAL OF COMPUTATIONAL PHYSICS,56,5.09,https://dx.doi.org/10.1016/j.jcp.2006.06.041
"Pandey, A|Chowdary, VM|Mal, BC|Billib, M",2008,Runoff and sediment yield modeling from a small agricultural watershed in India using the WEPP model,JOURNAL OF HYDROLOGY,55,5.5,https://dx.doi.org/10.1016/j.jhydrol.2007.10.010
"Wodo, O|Ganapathysubramanian, B",2011,"Computationally efficient solution to the Cahn-Hilliard equation: Adaptive implicit time schemes, mesh sensitivity analysis and the 3D isoperimetric problem",JOURNAL OF COMPUTATIONAL PHYSICS,55,7.86,https://dx.doi.org/10.1016/j.jcp.2011.04.012
"Vanuytrecht, E|Raes, D|Willems, P",2014,Global sensitivity analysis of yield output from the water productivity model,ENVIRONMENTAL MODELLING & SOFTWARE,54,13.5,https://dx.doi.org/10.1016/j.envsoft.2013.10.017
"Confalonieri, R|Bellocchi, G|Tarantola, S|Acutis, M|Donatelli, M|Genovese, G",2010,"Sensitivity analysis of the rice model WARM in Europe: Exploring the effects of different locations, climates and methods of analysis on model sensitivity to crop parameters",ENVIRONMENTAL MODELLING & SOFTWARE,54,6.75,https://dx.doi.org/10.1016/j.envsoft.2009.10.005
"Hartley, P|Pillinger, I",2006,Numerical simulation of the forging process,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,54,4.5,https://dx.doi.org/10.1016/j.cma.2005.03.013
"Srikanth, A|Zabaras, N",2000,Shape optimization and preform design in metal forming processes,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,53,2.94,https://dx.doi.org/10.1016/S0045-7825(00)00213-9
"Pingen, G|Waidmann, M|Evgrafov, A|Maute, K",2010,A parametric level-set approach for topology optimization of flow domains,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,52,6.5,https://dx.doi.org/10.1007/s00158-009-0405-1
"O'Hagan, A",2012,"Probabilistic uncertainty specification: Overview, elaboration techniques and their application to a mechanistic model of carbon flux",ENVIRONMENTAL MODELLING & SOFTWARE,52,8.67,https://dx.doi.org/10.1016/j.envsoft.2011.03.003
"Stisen, S|McCabe, MF|Refsgaard, JC|Lerer, S|Butts, MB",2011,Model parameter analysis using remotely sensed pattern information in a multi-constraint framework,JOURNAL OF HYDROLOGY,50,7.14,https://dx.doi.org/10.1016/j.jhydrol.2011.08.030
"Zhuang, CG|Xiong, ZH|Ding, H",2007,A level set method for topology optimization of heat conduction problem under multiple load cases,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,50,4.55,https://dx.doi.org/10.1016/j.cma.2006.08.005
"Le Coz, J|Renard, B|Bonnifait, L|Branger, F|Le Boursicaud, R",2014,Combining hydraulic knowledge and uncertain gaugings in the estimation of hydrometric rating curves: A Bayesian approach,JOURNAL OF HYDROLOGY,50,12.5,https://dx.doi.org/10.1016/j.jhydrol.2013.11.016
"Mannina, G|Viviani, G",2010,An urban drainage stormwater quality model: Model development and uncertainty quantification,JOURNAL OF HYDROLOGY,50,6.25,https://dx.doi.org/10.1016/j.jhydrol.2009.11.047
"Baroni, G|Tarantola, S",2014,A General Probabilistic Framework for uncertainty and global sensitivity analysis of deterministic models: A hydrological case study,ENVIRONMENTAL MODELLING & SOFTWARE,50,12.5,https://dx.doi.org/10.1016/j.envsoft.2013.09.022
"Tryoen, J|Le Maitre, O|Ndjinga, M|Ern, A",2010,Intrusive Galerkin methods with upwinding for uncertain nonlinear hyperbolic systems,JOURNAL OF COMPUTATIONAL PHYSICS,48,6.0,https://dx.doi.org/10.1016/j.jcp.2010.05.007
"Ratto, M|Castelletti, A|Pagano, A",2012,Emulation techniques for the reduction and sensitivity analysis of complex environmental models,ENVIRONMENTAL MODELLING & SOFTWARE,48,8.0,https://dx.doi.org/10.1016/j.envsoft.2011.11.003
"McIntyre, N|Jackson, B|Wade, AJ|Butterfield, D|Wheater, HS",2005,Sensitivity analysis of a catchment-scale nitrogen model,JOURNAL OF HYDROLOGY,48,3.69,https://dx.doi.org/10.1016/j.jhydrol.2005.04.010
"Wang, C|Duan, QY|Gong, W|Ye, AZ|Di, ZH|Miao, CY",2014,An evaluation of adaptive surrogate modeling based optimization with two benchmark problems,ENVIRONMENTAL MODELLING & SOFTWARE,47,11.75,https://dx.doi.org/10.1016/j.envsoft.2014.05.026
"Moens, D|Vandepitte, D",2007,Interval sensitivity theory and its application to frequency response envelope analysis of uncertain structures,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,47,4.27,https://dx.doi.org/10.1016/j.cma.2007.01.006
"Zambrano-Bigiarini, M|Rojas, R",2013,A model-independent Particle Swarm Optimisation software for model calibration,ENVIRONMENTAL MODELLING & SOFTWARE,47,9.4,https://dx.doi.org/10.1016/j.envsoft.2013.01.004
"Ozelkan, EC|Duckstein, L",2001,Fuzzy conceptual rainfall-runoff models,JOURNAL OF HYDROLOGY,46,2.71,https://dx.doi.org/10.1016/S0022-1694(01)00430-9
"Youn, BD|Xi, ZM",2009,Reliability-based robust design optimization using the eigenvector dimension reduction (EDR) method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,46,5.11,https://dx.doi.org/10.1007/s00158-008-0239-2
"Munk, DJ|Vio, GA|Steven, GP",2015,Topology and shape optimization methods using evolutionary algorithms: a review,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,45,15.0,https://dx.doi.org/10.1007/s00158-015-1261-9
"Demarty, J|Ottle, C|Braud, I|Olioso, A|Frangi, JP|Bastidas, LA|Gupta, HV",2004,Using a multiobjective approach to retrieve information on surface properties used in a SVAT model,JOURNAL OF HYDROLOGY,45,3.21,https://dx.doi.org/10.1016/j.jhydrol.2003.10.003
"Zabaras, N|Ganapathysubramanian, B",2008,A scalable framework for the solution of stochastic inverse problems using a sparse grid collocation approach,JOURNAL OF COMPUTATIONAL PHYSICS,45,4.5,https://dx.doi.org/10.1016/j.jcp.2008.01.019
"Xiu, DB|Sherwin, SJ",2007,Parametric uncertainty analysis of pulse wave propagation in a model of a human arterial network,JOURNAL OF COMPUTATIONAL PHYSICS,44,4.0,https://dx.doi.org/10.1016/j.jcp.2007.05.020
"Huang, MY|Liang, X",2006,On the assessment of the impact of reducing parameters and identification of parameter uncertainties for a hydrologic model with applications to ungauged basins,JOURNAL OF HYDROLOGY,44,3.67,https://dx.doi.org/10.1016/j.jhydrol.2005.07.010
"Chen, H|Wood, MD|Linstead, C|Maltby, E",2011,Uncertainty analysis in a GIS-based multi-criteria analysis tool for river catchment management,ENVIRONMENTAL MODELLING & SOFTWARE,43,6.14,https://dx.doi.org/10.1016/j.envsoft.2010.09.005
"Cho, S|Jung, HS",2003,Design sensitivity analysis and topology optimization of displacement-loaded non-linear structures,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,43,2.87,https://dx.doi.org/10.1016/S0045-7825(03)00274-3
"Convertino, M|Munoz-Carpena, R|Chu-Agor, ML|Kiker, GA|Linkov, I",2014,Untangling drivers of species distributions: Global sensitivity and uncertainty analyses of MAXENT,ENVIRONMENTAL MODELLING & SOFTWARE,43,10.75,https://dx.doi.org/10.1016/j.envsoft.2013.10.001
"Schwarz, S|Maute, K|Ramm, E",2001,Topology and shape optimization for elastoplastic structural response,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,43,2.53,https://dx.doi.org/10.1016/S0045-7825(00)00227-9
"Gao, T|Zhang, WH",2010,Topology optimization involving thermo-elastic stress loads,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,43,5.38,https://dx.doi.org/10.1007/s00158-010-0527-5
"Post, J|Hattermann, FF|Krysanova, V|Suckow, F",2008,Parameter and input data uncertainty estimation for the assessment of long-term soil organic carbon dynamics,ENVIRONMENTAL MODELLING & SOFTWARE,42,4.2,https://dx.doi.org/10.1016/j.envsoft.2007.05.010
"Kavetski, D|Kuczera, G|Franks, SW",2006,Calibration of conceptual hydrological models revisited: 2. Improving optimisation and analysis,JOURNAL OF HYDROLOGY,42,3.5,https://dx.doi.org/10.1016/j.jhydrol.2005.07.013
"Christie, M|Demyanov, V|Erbas, D",2006,Uncertainty quantification for porous media flows,JOURNAL OF COMPUTATIONAL PHYSICS,41,3.42,https://dx.doi.org/10.1016/j.jcp.2006.01.026
"Glen, G|Isaacs, K",2012,Estimating Sobol sensitivity indices using correlations,ENVIRONMENTAL MODELLING & SOFTWARE,40,6.67,https://dx.doi.org/10.1016/j.envsoft.2012.03.014
"Allen, M|Maute, K",2005,Reliability-based shape optimization of structures undergoing fluid-structure interaction phenomena,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,40,3.08,https://dx.doi.org/10.1016/j.cma.2004.12.028
"Doltsinis, I|Kang, Z|Cheng, GD",2005,Robust design of non-linear structures using optimization methods,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,40,3.08,https://dx.doi.org/10.1016/j.cma.2004.02.027
