AU,year,title,journal,citations,Avg. Citations,abstract,DOI,DOI link
"Gersborg-Hansen, A | Sigmund, O | Haber, RB",2005,Topology optimization of channel flow problems,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,137,10.54,"This paper describes a topology design method for simple two-dimensional flow problems. We consider steady, incompressible laminar viscous flows at low-to-moderate Reynolds numbers. This makes the flow problem nonlinear and hence a nontrivial extension of the work of Borrvall and Petersson (). Further, the inclusion of inertia effects significantly alters the physics, enabling solutions of new classes of optimization problems, such as velocity-driven switches, that are not addressed by the earlier method. Specifically, we determine optimal layouts of channel flows that extremize a cost function which measures either some local aspect of the velocity field or a global quantity, such as the rate of energy dissipation. We use the finite element method to model the flow, and we solve the optimization problem with a gradient-based math-programming algorithm that is driven by analytical sensitivities. Our target application is optimal layout design of channels in fluid network systems. Using concepts borrowed from topology optimization of compliant mechanisms in solid mechanics, we introduce a method for the synthesis of fluidic components, such as switches, diodes, etc.",10.1007/s00158-004-0508-7,https://dx.doi.org/10.1007/s00158-004-0508-7
"Gersborg-Hansen, A | Bendsoe, MP | Sigmund, O",2006,Topology optimization of heat conduction problems using the finite volume method,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,122,10.17,"This note addresses the use of the finite volume method (FVM) for topology optimization of a heat conduction problem. Issues pertaining to the proper choice of cost functions, sensitivity analysis, and example test problems are used to illustrate the effect of applying the FVM as an analysis tool for design optimization. This involves an application of the FVM to problems with nonhomogeneous material distributions, and the arithmetic and harmonic averages have here been used to provide a unique value for the conductivity at element boundaries. It is observed that when using the harmonic average, checkerboards do not form during the topology optimization process.",10.1007/s00158-005-0584-3,https://dx.doi.org/10.1007/s00158-005-0584-3
"Zhang, XS | Srinivasan, R | Bosch, D",2009,Calibration and uncertainty analysis of the SWAT model using Genetic Algorithms and Bayesian Model Averaging,Applications_JOURNAL OF HYDROLOGY,113,12.56,"In this paper, the Genetic Algorithms (GA) and Bayesian Model Averaging (BMA) were used to simultaneously conduct calibration and uncertainty analysis for the Soil and Water Assessment Tool (SWAT), In this combined method, several SWAT models with different structures are first selected; next GA is used to calibrate each model using observed streamflow data; finally, BMA is applied to combine the ensemble predictions and provide uncertainty interval estimation. This method was tested in two contrasting basins, the Little River Experimental Basin in Georgia, USA, and the Yellow River Headwater Basin in China. The results obtained in the two case studies show that this combined method can provide deterministic predictions better than or comparable to the best calibrated model using GA. The .% and % uncertainty intervals estimated by this method were analyzed. The differences between the percentage of coverage of observations and the corresponding expected coverage percentage are within % for both calibration and validation periods in these two test basins. This combined methodology provides a practical and flexible tool to attain reliable deterministic simulation and uncertainty analysis of SWAT.",10.1016/j.jhydrol.2009.06.023,https://dx.doi.org/10.1016/j.jhydrol.2009.06.023
"Oh, HJ | Kim, YS | Choi, JK | Park, E | Lee, S",2011,"GIS mapping of regional probabilistic groundwater potential in the area of Pohang City, Korea",Applications_JOURNAL OF HYDROLOGY,109,15.57,"This study analyzed the relationships between groundwater specific capacity (SPC) and its related hydrological factors to assess the sensitivity of each factor and map the regional groundwater potential for the area of Pohang City, Korea, using a geographic information system (GIS) and a probability model. All related factors including topography, geology, lineament, and soil data were collected and entered into a spatial database. SPC data were collected from well locations, and SPC values of >= . m()/d/m, corresponding to a yield of  m()/d, were input to a spatial database. SPC data were then randomly selected in a / ratio to train and validate the model. A frequency-ratio model and sensitivity analysis were used to determine the relationships between SPC and its related factors and the importance of SPC-related factors. Sensitivity analysis allows for comparison of the combined effects of all factors except for one. The validation of the groundwater potential map overlain by all factors showed .% accuracy. In the sensitivity analysis, the best accuracy was obtained by omitting ground elevation data (.%), and the worst accuracy resulted when soil texture was not included (.%). The results show that soil texture had the greatest effect on the groundwater potential and ground elevation had the least effect. Such information and the maps generated from it can be applied to groundwater management and groundwater resource exploration.",10.1016/j.jhydrol.2010.12.027,https://dx.doi.org/10.1016/j.jhydrol.2010.12.027
"Blasone, RS | Madsen, H | Rosbjerg, D",2008,Uncertainty assessment of integrated distributed hydrological models using GLUE with Markov chain Monte Carlo sampling,Applications_JOURNAL OF HYDROLOGY,108,10.8,"In recent years, there has been an increase in the application of distributed, physically-based and integrated hydrological models. Many questions regarding how to property calibrate and validate distributed models and assess the uncertainty of the estimated parameters and the spatially-distributed responses are, however, still quite unexplored. Especially for complex models, rigorous parameterization, reduction of the parameter space and use of efficient and effective algorithms are essential to facilitate the calibration process and make it more robust. Moreover, for these models multi-site validation must complement the usual time validation. In this study, we develop, through an application, a comprehensive framework for multi-criteria calibration and uncertainty assessment of distributed physically-based, integrated hydrological, models. A revised version of the generalized likelihood uncertainty estimation (GLUE) procedure based on Markov chain Monte Carlo sampling is applied in order to improve the performance of the methodology in estimating parameters and posterior output distributions. The description of the spatial variations of the hydrological. processes is accounted for by defining a measure of model performance that includes multiple criteria and spatially-distributed information. An initial sensitivity analysis is conducted on the model to avoid overparameterisation and to increase the robustness of the approach. It is demonstrated that the employed methodology increases the identifiability of the parameters and results in satisfactory multi-variable simulations and uncertainty estimates. However, the parameter uncertainty atone cannot explain the total uncertainty at all the sites, due to limitations in the distributed data included in the model. calibration. The study also indicates that property distributed information of discharge is particularly crucial in model calibration and validation.",10.1016/j.jhydrol.2007.12.026,https://dx.doi.org/10.1016/j.jhydrol.2007.12.026
"Gunawan, S | Azarm, S",2005,Multi-objective robust optimization using a sensitivity region concept,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,104,8.0,"In multi-objective design optimization, it is quite desirable to obtain solutions that are ""multi-objectively"" optimum and insensitive to uncontrollable (noisy) parameter variations. We call such solutions robust Pareto solutions. In this paper we present a method to measure the multi-objective sensitivity of a design alternative, and an approach to use such a measure to obtain multi-objectively robust Pareto optimum solutions. Our sensitivity measure does not require a presumed probability distribution of uncontrollable parameters and does not utilize gradient information; therefore, it is applicable to multi-objective optimization problems that have non-differentiable and/or discontinuous objective functions, and also to problems with large parameter variations. As a demonstration, we apply our robust optimization method to an engineering example, the design of a vibrating platform. We show that the solutions obtained for this example are indeed robust.",10.1007/s00158-004-0450-8,https://dx.doi.org/10.1007/s00158-004-0450-8
"Ma, X | Zabaras, N",2010,An adaptive high-dimensional stochastic model representation technique for the solution of stochastic partial differential equations,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,103,12.88,"A computational methodology is developed to address the solution of high-dimensional stochastic problems. It utilizes high-dimensional model representation (HDMR) technique in the stochastic space to represent the model output as a finite hierarchical correlated function expansion in terms of the stochastic inputs starting from lower-order to higher-order component functions HDMR is efficient at capturing the high-dimensional input-output relationship such that the behavior for many physical systems can be modeled to good accuracy only by the first few lower-order terms An adaptive version of HDMR is also developed to automatically detect the important dimensions and construct higher-order terms using only the important dimensions The newly developed adaptive sparse grid collocation (ASGC) method is incorporated into HDMR to solve the resulting sub-problems By integrating HDMR and ASGC, it is computationally possible to construct a low-dimensional stochastic reduced-order model of the high-dimensional stochastic problem and easily perform various statistic analysis on the output. Several numerical examples involving elementary mathematical functions and fluid mechanics problems are considered to illustrate the proposed method The cases examined show that the method provides accurate results for stochastic dimensionality as high as  even with large-input variability The efficiency of the proposed method is examined by comparing with Monte Carlo (MC) simulation (C)  Elsevier Inc All rights reserved",10.1016/j.jcp.2010.01.033,https://dx.doi.org/10.1016/j.jcp.2010.01.033
"Takezawa, A | Nishiwaki, S | Kitamura, M",2010,Shape and topology optimization based on the phase field method and sensitivity analysis,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,100,12.5,"This paper discusses a structural optimization method that optimizes shape and topology based oil the phase field method. The proposed method has the same functional capabilities as a structural optimization method based oil the level set method incorporating perimeter control functions. The advantage of the method is the simplicity of computation, since extra operations such as re-initialization of functions are not required Structural shapes are represented by the phase field function defined in the design domain, and optimization of this function is performed by solving a time-dependent reaction diffusion equation. The artificial double Well potential function used in the equation is derived from sensitivity analysis The proposed method is applied to two-dimensional linear elastic and vibration optimization problems Such as the minimum compliance problem, a compliant mechanism design problem and the eigenfrequency maximization problem. The numerical examples provided Illustrate the convergence of the various objective functions and the effect that perimeter control has oil the optimal configurations (C)  Elsevier Inc All rights reserved.",10.1016/j.jcp.2009.12.017,https://dx.doi.org/10.1016/j.jcp.2009.12.017
"Choi, HT | Beven, K",2007,Multi-period and multi-criteria model conditioning to reduce prediction uncertainty in an application of TOPMODEL within the GLUE framework,Applications_JOURNAL OF HYDROLOGY,97,8.82,"A new approach to multi-criteria model evaluation is presented. The approach is consistent with the equifinality thesis and is developed within the Generalised Likelihood Uncertainty Estimation (GLUE) framework. The predictions of Monte Carlo realisations of TOP-MODEL parameter sets are evaluated using a number of performance measures calibrated for both global (annual) and seasonal ( day) periods. The seasonal periods were clustered using a Fuzzy C-means algorithm, into  types representing different hydrological conditions. The model shows good performance on a classical efficiency measure at the global level, but no model realizations were found that were behavioural over all multi-period clusters and all performance measures, raising questions about what should be considered as an acceptable model performance. Prediction uncertainties can still be calculated by allowing that different clusters require different parameter sets. Variations in parameter distributions between clusters, as well as examination of where observed discharges depart from model prediction bounds, give some indication of model structure deficiencies.",10.1016/j.jhydrol.2006.07.012,https://dx.doi.org/10.1016/j.jhydrol.2006.07.012
"Doostan, A | Ghanem, RG | Red-Horse, J",2007,Stochastic model reduction for chaos representations,Applications_COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,97,8.82,"This paper addresses issues of model reduction of stochastic representations and computational efficiency of spectral stochastic Galerkin schemes for the solution of partial differential equations with stochastic coefficients. In particular, an algorithm is developed for the efficient characterization of a lower dimensional manifold occupied by the solution to a stochastic partial differential equation (SPDE) in the Hilbert space spanned by Wiener chaos. A description of the stochastic aspect of the problem on two well-separated scales is developed to enable the stochastic characterization on the fine scale using algebraic operations on the coarse scale. With such algorithms at hand, the solution of SPDE's becomes both computationally manageable and efficient. Moreover, a solid foundation is thus provided for the adaptive error control in stochastic Galerkin procedures. Different aspects of the proposed methodology are clarified through its application to an example problem from solid mechanics.",10.1016/j.cma.2006.10.047,https://dx.doi.org/10.1016/j.cma.2006.10.047
"Sieber, A | Uhlenbrook, S",2005,Sensitivity analyses of a distributed catchment model to verify the model structure,Applications_JOURNAL OF HYDROLOGY,95,7.31,"Sensitivity analyses are valuable tools for identifying important model parameters, testing the model conceptualization, and improving the model structure. They help to apply the model efficiently and to enable a focussed planning of future research and field measurement. Two different methods were used for sensitivity analyses of the complex process-oriented model TACD (tracer aided catchment model, distributed) that was applied to the meso-scale Brugga basin ( km()) and the sub-basin St Wilhelmer Talbach (. km()). Five simulations periods were investigated: two summer events, two snow melt induced events and one summer low flow period. The model was applied using  different parameter sets, which were generated by Monte Carlo simulations using latin hypercube sampling. The regional sensitivity analysis (RSA) allowed determining the most significant parameters for the complete simulation periods using a graphical method. The results of the regression-based sensitivity analysis were more detailed and complex. The temporal variability of the simulation sensitivity could be observed continuously and the significance of the parameters could be determined in a quantitative way. A dependency of the simulation sensitivity on initial- and boundary conditions and the temporal and spatial variability of the sensitivity to some model parameters was revealed by the regression-based sensitivity analysis. Thus, the difficulty of transferring the results to different time periods or model applications in other catchments became obvious. The analysis of the temporal course of the simulation sensitivity to parameter values in conjunction with simulated and measured additional data sets (precipitation, temperature, reservoir volumes etc.) gave further insight into the internal model behaviour and demonstrated the plausibility of the model structure and process conceptionalizations.",10.1016/j.jhydrol.2005.01.004,https://dx.doi.org/10.1016/j.jhydrol.2005.01.004
"Kang, Z | Luo, YJ",2009,Non-probabilistic reliability-based topology optimization of geometrically nonlinear structures using convex models,Applications_COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,94,10.44,"This paper describes a non-probabilistic reliability-based topology optimization method for the design of continuum structures undergoing large deformations. The variation of the structural system is treated with the multi-ellipsoid convex model, which is a realistic description of the parameters being inherently uncertain-but-bounded or lacking sufficient probabilistic data. The formulation of the optimal design is established as a volume minimization problem with non-probabilistic reliability constraints on the geometrically nonlinear structural behaviour. In order to circumvent numerical difficulties in solving the nested double-loop optimization problem, a performance measure-based approach is employed to transform the constraint on the reliability index into one on the concerned performance. In conjunction with an efficient adjoint variable scheme for the sensitivity analysis of reliability constraints, the optimization problem is solved by gradient-based mathematical programming methods. Three numerical examples for the optimization design of planar structures are presented to illustrate the validity and applicability of the proposed method. The obtained optimal solutions show the importance of incorporating various uncertainties in the design problem. Moreover, it is also revealed that the geometrical nonlinearity needs to be accounted for to ensure satisfaction of the reliability constraints in the optimal design of structures with large deformation.",10.1016/j.cma.2009.06.001,https://dx.doi.org/10.1016/j.cma.2009.06.001
"Eckhardt, K | Breuer, L | Frede, HG",2003,Parameter uncertainty and the significance of simulated land use change effects,Applications_JOURNAL OF HYDROLOGY,92,6.13,"Uncertainty in parameters characterising different land covers leads to uncertainty in model predictions of land use change effects. In this study, a new approach is presented which allows a model to be assessed to see whether it is suitable for investigating land use change scenarios in the sense that different land covers can be significantly distinguished in their effects on model output. It consists of the following steps: (a) The uncertainty in land cover-dependent parameters is quantified. (b) The model of an artificial catchment with representative characteristics and uniform land cover is established.",10.1016/S0022-1694(02)00395-5,https://dx.doi.org/10.1016/S0022-1694(02)00395-5
"Lee, SH | Chen, W",2009,A comparative study of uncertainty propagation methods for black-box-type problems,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,91,10.11,"A wide variety of uncertainty propagation methods exist in literature; however, there is a lack of good understanding of their relative merits. In this paper, a comparative study on the performances of several representative uncertainty propagation methods, including a few newly developed methods that have received growing attention, is performed. The full factorial numerical integration, the univariate dimension reduction method, and the polynomial chaos expansion method are implemented and applied to several test problems. They are tested under different settings of the performance nonlinearity, distribution types of input random variables, and the magnitude of input uncertainty. The performances of those methods are compared in moment estimation, tail probability calculation, and the probability density function construction, corresponding to a wide variety of scenarios of design under uncertainty, such as robust design, and reliability-based design optimization. The insights gained are expected to direct designers for choosing the most applicable uncertainty propagation technique in design under uncertainty.",10.1007/s00158-008-0234-7,https://dx.doi.org/10.1007/s00158-008-0234-7
"Zou, T | Mahadevan, S",2006,A direct decoupling approach for efficient reliability-based design optimization,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,89,7.42,"This paper develops an efficient methodology to perform reliability-based design optimization (RBDO) by decoupling the optimization and reliability analysis iterations that are nested in traditional formulations. This is achieved by approximating the reliability constraints based on the reliability analysis results. The proposed approach does not use inverse first-order reliability analysis as other existing decoupled approaches, but uses direct reliability analysis. This strategy allows a modular approach and the use of more accurate methods, including Monte-Carlo-simulation (MCS)-based methods for highly nonlinear reliability constraints where first-order reliability approximation may not be accurate. The use of simulation-based methods also enables system-level reliability estimates to be included in the RBDO formulation. The efficiency of the proposed RBDO approach is further improved by identifying the potentially active reliability constraints at the beginning of each reliability analysis. A vehicle side impact problem is used to examine the proposed method, and the results show the usefulness of the proposed method.",10.1007/s00158-005-0572-7,https://dx.doi.org/10.1007/s00158-005-0572-7
"Youn, BD | Choi, KK | Du, L",2005,Adaptive probability analysis using an enhanced hybrid mean value method,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,88,6.77,"This paper proposes an adaptive probability analysis method that can effectively generate the probability distribution of the output performance function by identifying the propagation of input uncertainty to output uncertainty. The method is based on an enhanced hybrid mean value (HMV+) analysis in the performance measure approach (PMA) for numerical stability and efficiency in search of the most probable point (MPP). The HMV+ method improves numerical stability and efficiency especially for highly nonlinear output performance functions by providing steady convergent behavior in the MPP search. The proposed adaptive probability analysis method approximates the MPP locus, and then adaptively refines this locus using an a posteriori error estimator. Using the fact that probability levels can be easily set a priori in PMA, the MPP locus is approximated using the interpolated moving least-squares method. For refinement of the approximated MPP locus, additional probability levels are adaptively determined through an a posteriori error estimator. The adaptive probability analysis method will determine the minimum number of necessary probability levels, while ensuring accuracy of the approximated MPP locus. Several examples are used to show the effectiveness of the proposed adaptive probability analysis method using the enhanced HMV+ method.",10.1007/s00158-004-0452-6,https://dx.doi.org/10.1007/s00158-004-0452-6
